Cancer,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,Direction
ACC,39,40,-0.355614203779334,0.384604138276695,0.74021834205603,6.30535735986894e-09,7.70654788428427e-09,****,Higher in High
BLCA,203,203,-0.401284236326185,0.523283624261416,0.924567860587601,7.24515939368402e-42,3.41557514273675e-41,****,Higher in High
BRCA,547,548,-0.43571202336341,0.461155338706095,0.896867362069505,8.07764934376653e-100,2.66562428344296e-98,****,Higher in High
CESC,152,152,-0.347210292924467,0.438827486498422,0.786037779422888,1.28582217475544e-24,2.82880878446196e-24,****,Higher in High
CHOL,17,18,0.0185585352757338,0.245177310580161,0.226618775304427,0.172938653597815,0.172938653597815,ns,Higher in High
COAD,228,228,-0.327500405379442,0.4135575589692,0.741057964348642,9.37587786072652e-35,3.43782188226639e-34,****,Higher in High
DLBC,24,24,-0.432429373811878,0.51787169564262,0.950301069454497,5.21594606696775e-05,5.55245871644953e-05,****,Higher in High
ESCA,81,81,-0.557421946314301,0.546092647248715,1.10351459356302,2.88107714215942e-18,5.59267915830947e-18,****,Higher in High
GBM,80,81,-0.506006239043009,0.529368014984369,1.03537425402738,2.57602625208916e-17,4.72271479549679e-17,****,Higher in High
HNSC,251,251,-0.456880679881241,0.519779196031385,0.976659875912626,2.92878145556937e-45,1.93299576067578e-44,****,Higher in High
KICH,32,33,-0.42400204691106,0.387669640891011,0.811671687802071,1.91401422774363e-06,2.17801619019102e-06,****,Higher in High
KIRC,266,266,-0.202381018454503,0.194222072992347,0.396603091446849,5.27605946408394e-20,1.08818726446731e-19,****,Higher in High
KIRP,145,145,-0.371324554261165,0.236939157212664,0.608263711473829,2.50156755599404e-11,3.4396553894918e-11,****,Higher in High
LAML,75,75,-0.362921996596988,0.428344824180429,0.791266820777417,2.04652011196826e-08,2.41197013196259e-08,****,Higher in High
LGG,257,257,-0.49116178742904,0.394740816281557,0.885902603710597,4.87411198587522e-50,5.36152318446274e-49,****,Higher in High
LIHC,185,186,-0.442284685612007,0.441489347702996,0.883774033315003,3.73771448709046e-29,1.02787148394988e-28,****,Higher in High
LUAD,258,258,-0.378774968400586,0.421337329197351,0.800112297597936,9.11370490753979e-37,3.75940327436017e-36,****,Higher in High
LUSC,250,251,-0.36475096352221,0.465039258492147,0.829790222014357,3.00840925758651e-47,2.48193763750887e-46,****,Higher in High
MESO,43,44,-0.347734659411997,0.382485073707359,0.730219733119356,1.47005716740825e-09,1.86584178940278e-09,****,Higher in High
OV,189,189,-0.405715115326881,0.458249871092538,0.863964986419419,2.61191764634786e-26,6.15666302353423e-26,****,Higher in High
PAAD,89,89,-0.323011000591774,0.407931129364669,0.730942129956443,1.22203086517629e-09,1.61308074203271e-09,****,Higher in High
PCPG,89,90,-0.42634553332137,0.319603828737388,0.745949362058758,6.52815331426145e-12,9.79222997139218e-12,****,Higher in High
PRAD,248,249,-0.303634777649262,0.302169075054452,0.605803852703714,3.13964670372192e-29,9.41894011116577e-29,****,Higher in High
READ,83,83,-0.31634942129978,0.498884948899917,0.815234370199697,1.66507442135768e-12,2.74737279524017e-12,****,Higher in High
SARC,129,130,-0.403645263807282,0.587422965953139,0.991068229760421,6.71507091857351e-29,1.70459492548404e-28,****,Higher in High
SKCM,234,235,-0.421214008743817,0.528303443267901,0.949517452011717,9.60313319875972e-45,5.28172325931785e-44,****,Higher in High
STAD,187,188,-0.425609837124254,0.491760289646595,0.917370126770848,2.16822686038704e-32,7.15514863927723e-32,****,Higher in High
TGCT,75,75,-0.333462017149049,0.453141712812916,0.786603729961965,5.89224608081077e-12,9.25924384127406e-12,****,Higher in High
THCA,252,252,-0.270444152628844,0.186748856833643,0.457193009462487,1.62316548357931e-11,2.32888960687466e-11,****,Higher in High
THYM,60,60,-0.583138487236068,0.580682115375702,1.16382060261177,7.09906121877214e-13,1.23299484326042e-12,****,Higher in High
UCEC,272,273,-0.486208354994975,0.506728807997548,0.992937162992522,1.2681722496423e-61,2.09248421190979e-60,****,Higher in High
UCS,28,29,-0.325098539817837,0.410348696909003,0.73544723672684,0.000895877632174616,0.000923873808180073,***,Higher in High
UVM,40,40,-0.139472715792748,0.480302159875869,0.619774875668616,2.49202404749173e-05,2.7412264522409e-05,****,Higher in High
