Cancer,Feature,size,Effect,ES,Direction,nMoreExtreme,leadingEdge,P,FDR,NES,Feature_Display,Significance,FDR_significance_rule
ACC,HALLMARK_ADIPOGENESIS,200,1.68706215285366,0.618422339654661,Enriched in High,0,CHUK;UBQLN1;SLC19A1;NMT1;IMMT;UCK1;GPAT4;ATL2;AK2;ESYT1;RIOK3;CRAT;MTCH2;PEX14;SAMM50;DLAT;RNF11;UBC;G3BP2;SDHB;COQ5;RMDN3;ACLY;PTCD3;SDHC;MGST3;AGPAT3;PFKFB3;PREB;UQCR11;PHLDB1;APLP2;PFKL;CPT2;ACOX1;NDUFAB1;PPP1R15B;MIGA2;ECHS1;RETSAT;CAT;SLC5A6;TALDO1;ACADM;IDH1;RREB1;ABCB8;BCL2L13;GADD45A;NDUFS3;CMPK1;BAZ2A;SLC25A1;DRAM2;ELMOD3;CYC1;MAP4K3;ARL4A;MRPL15;MDH2;GHITM;DLD;COL4A1;ITSN1;BCKDHA;DBT;FZD4;STOM;GPHN;ARAF;NKIRAS1;LAMA4;CS;JAGN1;LIFR;COX8A;TANK;SCP2;ATP1B3;SUCLG1;CDKN2C;LPCAT3;TKT;MCCC1;GPD2;ECH1;NDUFB7;QDPR;GBE1;PPM1B;ADIPOR2;POR;SLC66A3;YWHAG;SCARB1;VEGFB;PEMT;ESRRA;RTN3;PRDX3;COQ3;UQCR10;ITGA7;GRPEL1;PHYH;SORBS1;ALDOA;TOB1;ACO2;ANGPTL4;SOD1;HIBCH;MGLL;UQCRC1;CD151;DHRS7;CIDEA;PDCD4;MTARC2;CAVIN1;COQ9;ACAA2;LPL;DHRS7B;DECR1;BCL6;ME1;IDH3A;REEP5;ATP5PO;PGM1;ABCA1;ACADS;DHCR7;CMBL;DNAJB9;HADH;FAH;LIPE;CHCHD10;UQCRQ;SSPN;SOWAHC;ELOVL6;SPARCL1;SLC25A10;CD302;ETFB,9.99900009999e-05,0.000138888888888889,1.68706215285366,Adipogenesis,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_ALLOGRAFT_REJECTION,200,1.06929505924335,0.391968933213214,Enriched in High,2196,BRCA1;DEGS1;EIF3J;EIF3A;ABCE1;DARS1;ABI1;AKT1;CD47;TRAF2;BCL10;GLMN;MTIF2;EIF4G3;GALNT1;STAT1;ACVR2A;RARS1;EIF3D;UBE2N;HIF1A;MAP3K7;CSK;MRPL3;RPS3A;RPS9;WARS1;JAK2;SOCS5;EIF5A;RPS19;AARS1;NME1;IFNGR2;TAP2;BCAT1;ELF4;NCK1;NPM1;UBE2D1;DYRK3;RPL9;APBB1;CDKN2A;TAP1;TAPBP;FLNA;RIPK2;EGFR;BCL3;INHBA;TGFB2;IL27RA;IKBKB;F2R;CD1D;RPL39;CCL22;MMP9;IL11;LIF;GCNT1;TGFB1;RPL3L;TLR1;ICAM1;SRGN;IL4R;CCND3;LYN;IL4;THY1;IFNGR1,0.21967803219678,0.228831283538313,1.06929505924335,Allograft Rejection,"","Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_ANDROGEN_RESPONSE,100,1.60900615063758,0.605302182479947,Enriched in High,0,CENPN;GNAI3;XRCC5;RAB4A;ELK4;XRCC6;ADRM1;CDK6;UAP1;PGM3;UBE2J1;MYL12A;LMAN1;AKT1;CAMKK2;TMEM50A;RRP12;PTPN21;ZBTB10;PIAS1;ELOVL5;PA2G4;AKAP12;STK39;VAPA;ACSL3;APPBP2;RPS6KA3;SRF;NCOA4;ACTN1;TSC22D1;ABHD2;NGLY1;H1-0;SMS;SRP19;LIFR;SEC24D;ITGAV;NDRG1;DBI;CCND1;B4GALT1;IDI1;ARID5B;ADAMTS1;HOMER2;PLPP1;PDLIM5;SORD;HMGCR;GPD1L;GSR;ZMIZ1;CDC14B;PMEPA1;UBE2I;HMGCS1;NKX3-1;SPCS3;PTK2B;ABCC4;FADS1;DNAJB9;DHCR24;INSIG1;MERTK;ANKH;ELL2,9.99900009999e-05,0.000138888888888889,1.60900615063758,Androgen Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_ANGIOGENESIS,36,1.19788016367878,0.478190011593948,Enriched in High,1322,PTK2;VAV2;VEGFA;NRP1;ITGAV;JAG1;APP;MSX1;COL3A1;COL5A2;LRPAP1;LPL;FSTL1;FGFR1;PDGFA;STC1;JAG2;TNFRSF21;KCNJ8;SPP1;LUM,0.132405924739792,0.143919483412817,1.19788016367878,Angiogenesis,"","Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_APICAL_JUNCTION,197,1.4704571126661,0.539130647170674,Enriched in High,0,SYMPK;DHX16;TIAL1;ARPC2;PTEN;MAPK14;TAOK2;PTK2;RHOF;ITGB1;GTF2F1;MYH9;ITGA9;INPPL1;TUBG1;TSC1;CRAT;MPZL1;NECTIN2;ARHGEF6;TJP1;YWHAH;AKT2;MYL12B;NECTIN3;ADAM9;MAP4K2;FBN1;BMP1;VAV2;EXOC4;ACTN4;PLCG1;NF2;SHC1;MAP3K20;CERCAM;NECTIN1;MYH10;PKD1;CAP1;RSU1;DLG1;ACTN1;CD276;HRAS;PBX2;PARD6G;SGCE;CLDN15;CDK8;PFN1;TSPAN4;FSCN1;SORBS3;PIK3R3;ACTB;EVL;IKBKG;LDLRAP1;VASP;TMEM8B;CTNNA1;VCL;ICAM5;NF1;PIK3CB;B4GALT1;AMH;SLIT2;STX4;ACTG1;GNAI1;RASA1;CD99;CLDN6;ITGA2;THBS3;WASL;ZYX;IRS1;GNAI2;MVD;VCAM1;EPB41L2;EGFR;ACTG2;ADAM15;NLGN2;JUP;PARVA;CDH11;HADH;CLDN7;CD34;CTNND1;INSIG1;WNK4;CLDN9;NRXN2;NRTN;GAMT;PECAM1;MAPK11;MMP9,9.99900009999e-05,0.000138888888888889,1.4704571126661,Apical Junction,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_APICAL_SURFACE,44,1.24495130458661,0.489435518766311,Enriched in High,682,BRCA1;ADAM10;CROCC;NCOA6;DCBLD2;EPHB4;GATA3;AKAP7;FLOT2;SLC34A3;APP;TMEM8B;ADIPOR2;SULF2;B4GALT1;EFNA5;LYPD3;ATP8B1;PLAUR;SCUBE1;GSTM3;CX3CL1;LYN;THY1,0.0683136627325465,0.0794344915494727,1.24495130458661,Apical Surface,"","Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_APOPTOSIS,161,1.50532341851359,0.555417477705094,Enriched in High,0,WEE1;BRCA1;SPTAN1;PSEN1;CASP7;CDK2;PTK2;PPP3R1;CASP9;RELA;DIABLO;SLC20A1;CASP2;PPP2R5B;TOP2A;DFFA;DAP3;CREBBP;PEA15;CASP3;RHOT2;BCL10;CTNNB1;MCL1;CFLAR;BCL2L2;ETF1;BAX;ROCK1;ADD1;PSEN2;VDAC2;RETSAT;LMNA;DNAJA1;GADD45A;RNASEL;RHOB;PPT1;SMAD7;CASP8;MADD;H1-0;DNM1L;BNIP3L;DNAJC3;CDKN1B;IGF2R;JUN;XIAP;ATF3;APP;HMGB2;BCL2L11;BID;CCND1;CDC25B;CTH;NEDD9;TIMP2;BCAP31;TAP1;BTG3;TGFBR3;BIK;GCH1;CASP6;SOD1;BTG2;GSR;SC5D;ERBB2;PDCD4;ISG20;DAP;CAV1;EGR3;TGFB2;TNFRSF12A;TSPO;PDGFRB;GSN;EMP1;F2R;CYLD;CASP4;GPX1,9.99900009999e-05,0.000138888888888889,1.50532341851359,Apoptosis,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_BILE_ACID_METABOLISM,111,1.36669109097641,0.511692622414246,Enriched in High,2,GNPAT;PEX13;HACL1;ABCD3;PXMP2;NEDD4;SLC35B2;BCAR3;PEX19;PEX11A;ATXN1;HSD17B11;RETSAT;CAT;IDH1;PEX16;PEX26;ALDH9A1;SLC23A2;SCP2;NPC1;OPTN;PEX6;PECR;IDI1;ACSL1;ABCA2;RXRA;MLYCD;BMP6;PHYH;AMACR;LONP2;PEX7;PEX1;SOD1;PNPLA8;NR1H4;GCLM;HSD17B4;ABCD1;ABCA1;SULT2B1;APOA1;ABCA5;PFKM;FADS1;FADS2;DHCR24;LIPE;PRDX5;CROT;SLC27A5;ISOC1;PEX12,0.0002999700029997,0.000405364868918514,1.36669109097641,Bile Acid Metabolism,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,1.56538162421462,0.596925634305886,Enriched in High,0,STX5;ATXN2;CHKA;CTNNB1;GUSB;FASN;PMVK;NFIL3;SREBF2;ATF5;PLSCR1;PNRC1;JAG1;ATF3;ECH1;LDLR;IDI1;FDPS;TMEM97;ABCA2;ACTG1;GNAI1;ANXA5;ANTXR2;FDFT1;HSD17B7;TP53INP1;HMGCR;GPX8;MVD;CYP51A1;ETHE1;SC5D;LSS;NSDHL;STARD4;SQLE;LPL;ACAT2;HMGCS1;LGMN;DHCR7;TNFRSF12A;ERRFI1;ALCAM;FADS2;TRIB3;CBS;PLAUR;ACSS2;PCYT2;SCD;MVK,9.99900009999e-05,0.000138888888888889,1.56538162421462,Cholesterol Homeostasis,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
ACC,HALLMARK_COAGULATION,138,1.15088598920137,0.427128426549515,Enriched in High,720,PREP;CASP9;RABIF;SPARC;ARF4;GNG12;RAC1;ADAM9;FBN1;BMP1;DUSP14;GNB2;PEF1;WDR1;MMP14;CAPN2;MAFF;CTSV;LTA4H;PRSS23;SIRT2;FN1;FURIN;USP11;CTSK;ITGA2;S100A1;ANG;MMP15;MSRB2;SH2B2;DUSP6;F12;THBS1;DPP4;HTRA1;ITGB3;APOA1;LGMN;PROC;LAMP2;MMP10;GSN;P2RY1;MASP2;CTSB;KLF7;C8G;LEFTY2;PECAM1;MMP9;FYN;CTSO;SERPINE1;GP1BA;TMPRSS6;VWF;CRIP2;TIMP3;MMP1;PDGFB;MMP11;LRP1,0.0720927907209279,0.0819236258192363,1.15088598920137,Coagulation,"","Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
