Cancer,Feature,size,Effect,ES,Direction,nMoreExtreme,leadingEdge,P,FDR,NES,Feature_Display,Significance,FDR_significance_rule
THCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.50744122235362,0.689953677664264,Enriched in High,0,DCP1A;CNOT6;CNOT2;NFYA;NOP14;NOLC1;SDAD1;DCP2;EDC4;EXOSC10;EXOSC2;MTREX;CNOT4;EXOC2;GEMIN4;NFYB;GOSR2;SLC30A5;KIF5B;EIF2S1;DCTN1;EIF4E;EIF4G1;DKC1;ATF6;KHSRP;DDX10;SSR1;PAIP1;PARN;EXOSC9;FKBP14;NOP56;YWHAZ;EIF4A3;EIF4A2;IARS1;PDIA6;SEC31A;ALDH18A1;SPCS3;SERP1;SHC1;ERN1;DNAJC3;SRPRA;SEC11A;EIF2AK3;EEF2;TARS1;HYOU1;LSM1;ZBTB17;EDEM1;NPM1;VEGFA;DNAJA4;CXXC1;TSPYL2;WIPI1;FUS;DNAJB9;XPOT;EIF4A1;ERO1A;HSPA9;POP4;CKS1B;ASNS;PREB;TATDN2;HSPA5;HSP90B1;PDIA5;ARFGAP1;NHP2;ATP6V0D1;SPCS1;WFS1;CALR;CEBPG,9.99900009999e-05,0.000192288463461346,1.50744122235362,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
PRAD,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.52464258340781,0.701437361976907,Enriched in High,0,CNOT2;DCP1A;IARS1;CNOT6;EXOSC10;SDAD1;PAIP1;ERN1;MTREX;NFYA;EXOC2;ATF6;DCP2;CNOT4;NOP14;KHSRP;EIF4E;EIF2AK3;PARN;ALDH18A1;NOLC1;EIF2S1;EDC4;XPOT;KIF5B;EDEM1;SEC31A;EIF4G1;HSPA9;DCTN1;DKC1;EXOSC2;GOSR2;SHC1;EIF4A2;DDX10;SLC30A5;HYOU1;YWHAZ;PDIA6;TARS1;EXOSC9;FKBP14;CEBPG;NFYB;ERO1A;EIF4A3;SRPRA;ASNS;DNAJC3;HSPA5;EEF2;NPM1;WIPI1;SPCS3;SEC11A;SSR1;CKS1B;GEMIN4;MTHFD2;FUS;SERP1;NOP56;DNAJB9;EIF4A1;DNAJA4;CALR;PDIA5;DDIT4;NABP1;POP4;HSP90B1;PSAT1;SLC7A5;STC2;VEGFA;PREB;IFIT1;SPCS1;KDELR3;LSM1;NHP2;SLC1A4;RRP9,9.99900009999e-05,0.000161290322580645,1.52464258340781,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
UVM,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.65250010649982,0.635976504935958,Enriched in High,0,KIF5B;DCP2;PAIP1;DDX10;CNOT6;CEBPG;ERO1A;SLC30A5;EXOSC9;EIF4E;MTREX;NFYB;CNOT2;SPCS3;SDAD1;FKBP14;NABP1;EDEM1;DNAJB9;XPOT;EIF2AK3;TARS1;CNOT4;EIF4A1;MTHFD2;ATF6;EIF2S1;DNAJC3;IARS1;HSP90B1;EXOSC2;DCP1A;HSPA9;PARN;DKC1;SSR1;SPCS1;NFYA;POP4;GOSR2;YWHAZ;NOLC1;SERP1;CKS1B;HERPUD1;NPM1;ATF3;ERN1;DNAJA4;SRPRB;NOP14;FUS;VEGFA;EXOSC10;TSPYL2;HSPA5;PDIA6;EXOC2;ASNS;PREB;DDIT4;NOP56;SEC11A;LSM1;IFIT1;PSAT1;SEC31A;EXOSC1;EIF4A2,9.99900009999e-05,0.00024997500249975,1.65250010649982,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
PCPG,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.5961535295065,0.683054542076207,Enriched in High,0,CNOT2;CNOT6;KIF5B;MTREX;EDC4;CNOT4;DCTN1;SDAD1;EXOC2;DCP1A;KHSRP;IARS1;SLC30A5;NFYB;NFYA;PAIP1;DCP2;NOP14;EXOSC2;EIF4E;DKC1;TARS1;NOLC1;SEC31A;PARN;XPOT;GEMIN4;ATF6;DDX10;EXOSC10;NOP56;EXOSC9;EIF2S1;PREB;HYOU1;GOSR2;SEC11A;PDIA6;ALDH18A1;FUS;EIF4G1;ASNS;SRPRA;EDEM1;EEF2;POP4;WFS1;SLC1A4;EIF4A2;DNAJC3;CKS1B;NPM1;HERPUD1;HSPA9;NHP2;CXXC1;SHC1;DDIT4;LSM1;CALR;SSR1;ATP6V0D1;CEBPG;EIF2AK3;FKBP14;YWHAZ;DNAJB9;WIPI1;HSPA5;DNAJA4;SPCS3;TATDN2;PSAT1;ERN1;EIF4A1;ZBTB17;TSPYL2;EIF4A3;IMP3;MTHFD2;IFIT1;HSP90B1;SPCS1;PDIA5;EXOSC1;ARFGAP1;XBP1;TUBB2A,9.99900009999e-05,0.000217391304347826,1.5961535295065,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
KIRC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.6406137852405,0.730904452750132,Enriched in High,0,DCP1A;EXOSC10;NOP14;CNOT6;NOLC1;CNOT2;NFYA;GOSR2;SDAD1;DCP2;EDC4;GEMIN4;CNOT4;EXOSC9;ATF6;KIF5B;MTREX;DKC1;EXOC2;EDEM1;DCTN1;EXOSC2;IARS1;KHSRP;EIF4G1;SEC31A;EIF2S1;SLC30A5;NFYB;NOP56;ERN1;SSR1;EIF4A3;TARS1;PAIP1;SRPRA;XPOT;EIF2AK3;EIF4E;PDIA6;SEC11A;DNAJC3;YWHAZ;PARN;EIF4A2;WIPI1;CKS1B;FUS;DDX10;TATDN2;SHC1;CXXC1;HYOU1;SPCS3;CEBPG;SLC1A4;FKBP14;LSM1;POP4;SERP1;HSPA9;HSPA5;IFIT1;ALDH18A1;HSP90B1;EEF2;NPM1;ZBTB17;BAG3;ERO1A;PREB;WFS1;SPCS1;VEGFA;EIF4A1;TSPYL2;CALR;IMP3;ASNS;EXOSC1;ATP6V0D1;DDIT4;XBP1;RRP9;PDIA5;MTHFD2;NABP1;STC2;ATF4;ARFGAP1;NHP2;HERPUD1;DNAJB9,9.99900009999e-05,0.0001470441191175,1.6406137852405,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
BRCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.56884051674165,0.73282525128915,Enriched in High,0,IARS1;CNOT6;EXOSC2;NOLC1;EXOSC10;NOP14;EXOSC9;PAIP1;KIF5B;NFYA;EIF4G1;DCP1A;EDC4;EIF2S1;EIF4E;MTREX;XPOT;SDAD1;CNOT4;ATF6;DKC1;HSPA9;NFYB;PARN;DCTN1;DCP2;YWHAZ;CKS1B;CNOT2;GEMIN4;MTHFD2;KHSRP;SLC30A5;SSR1;DDX10;TARS1;EIF4A3;PDIA6;NOP56;CEBPG;EIF2AK3;EDEM1;EIF4A2;EXOC2;NPM1;SEC31A;HYOU1;ALDH18A1;GOSR2;HSP90B1;SHC1;DNAJA4;TATDN2;DNAJC3;PREB;ERN1;POP4;SERP1;SPCS3;FUS;SEC11A;SLC1A4;HSPA5;LSM1;EIF4A1;ASNS;NHP2;WIPI1;SRPRB;ERO1A;CALR;SPCS1;SRPRA;CXXC1;VEGFA;H2AX;FKBP14;SLC7A5;LSM4;WFS1,9.99900009999e-05,0.000263315884267403,1.56884051674165,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
UCEC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.59802201607337,0.73865785289686,Enriched in High,0,EIF2S1;CNOT2;DCP1A;DDX10;NFYB;EXOSC10;XPOT;DCP2;DKC1;NFYA;SDAD1;CNOT6;EXOSC9;PAIP1;KHSRP;NOLC1;MTREX;IARS1;TARS1;EIF4G1;EXOSC2;CNOT4;CKS1B;NOP14;HSPA9;GEMIN4;NOP56;YWHAZ;ATF6;EIF4A3;EIF4E;KIF5B;SSR1;EIF2AK3;EIF4A2;GOSR2;NPM1;EXOC2;MTHFD2;SLC30A5;PDIA6;HYOU1;NHP2;CEBPG;DCTN1;EDEM1;SPCS1;HSP90B1;EDC4;FUS;LSM1;LSM4;HSPA5;PARN;PSAT1;EIF4A1;SEC11A;PREB;SPCS3;DNAJC3;FKBP14;VEGFA;SHC1;CALR;H2AX;TATDN2;SERP1;ASNS;ALDH18A1;SEC31A;POP4;ATF4;DNAJB9;SRPRB;BANF1;SRPRA;NABP1;RRP9;ZBTB17;IFIT1;BAG3;EXOSC5;CXXC1;EXOSC1;ERN1;STC2;ERO1A,9.99900009999e-05,0.000192307692307692,1.59802201607337,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
TGCT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.68556018275017,0.653525231628095,Enriched in High,0,DCP2;DCTN1;MTREX;CNOT4;PAIP1;NFYA;EXOC2;KIF5B;EXOSC10;NOLC1;ALDH18A1;EIF4A1;SDAD1;CNOT6;SLC30A5;EIF4E;EIF2S1;CEBPG;EEF2;DNAJB9;PREB;EDEM1;HYOU1;EDC4;NFYB;DCP1A;CXXC1;BAG3;GOSR2;SSR1;LSM1;KHSRP;PARN;RRP9;SEC31A;EXOSC2;YWHAZ;EIF2AK3;ZBTB17;ATF6;WFS1;EIF4A3;IARS1;NOP56;ASNS;MTHFD2;HSPA9;EIF4G1;CNOT2;XPOT;POP4;EIF4A2;GEMIN4;EXOSC9;DNAJC3;NOP14;SRPRA;ERN1;NHP2;FKBP14;DKC1;DDX10;TARS1;DNAJA4;ARFGAP1;SRPRB;LSM4;IMP3;DDIT4;SERP1;HSPA5;EXOSC5;XBP1;CKS1B;SEC11A;NPM1;PDIA6;TATDN2;FUS;SLC7A5,9.99900009999e-05,0.000335949450329516,1.68556018275017,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
LAML,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.66166256844995,0.637470703397286,Enriched in High,0,CNOT6;IARS1;SDAD1;EXOC2;EXOSC2;MTREX;PARN;DKC1;EIF2S1;GOSR2;NOP14;PAIP1;EXOSC10;TARS1;EXOSC9;ALDH18A1;DCP2;NFYB;DCP1A;ATF6;NOLC1;NFYA;SLC30A5;GEMIN4;SEC31A;NOP56;FUS;DDX10;HSPA9;XPOT;KIF5B;EIF4A3;NPM1;DCTN1;SSR1;EIF2AK3;EDC4;EIF4E;EIF4A2;CNOT4;CKS1B;KHSRP;SRPRB;POP4;TATDN2;EXOSC5;CEBPG;EDEM1;CNOT2;IMP3;LSM1;NHP2;EIF4G1;SRPRA;EEF2;EXOSC1;SPCS3;RRP9;LSM4;SERP1,9.99900009999e-05,0.000258023748716464,1.66166256844995,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
KIRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,1.6655343991195,0.693832912946248,Enriched in High,0,CNOT4;CNOT6;DCP2;NFYB;CNOT2;SLC30A5;SDAD1;NFYA;EXOSC2;EXOSC10;KHSRP;YWHAZ;GOSR2;DKC1;FKBP14;DCP1A;MTREX;NOLC1;PARN;EDC4;KIF5B;PAIP1;CEBPG;SSR1;GEMIN4;ATF6;EXOC2;NOP14;SPCS3;EXOSC9;FUS;SHC1;SRPRA;CKS1B;DNAJC3;EIF4A3;EIF4G1;ALDH18A1;NOP56;EIF2S1;EDEM1;POP4;ERN1;EIF4E;PDIA5;SEC31A;PDIA6;SEC11A;DCTN1;XPOT;IARS1;HSP90B1;EIF4A2;ASNS;TARS1;EIF2AK3;SERP1;LSM1;DNAJB9;ERO1A;HYOU1;HSPA5;CXXC1;PREB;ARFGAP1;CALR;ZBTB17;EIF4A1;SPCS1;TATDN2;NHP2;WIPI1;DDX10;XBP1;TSPYL2;BANF1;WFS1;NPM1;EEF2;KDELR3;IFIT1;RRP9;DDIT4;SRPRB;LSM4;H2AX;IMP3;SLC1A4;HSPA9;EXOSC1;NABP1;EXOSC5;YIF1A,9.99900009999e-05,0.000178553573214107,1.6655343991195,Unfolded Protein Response,***,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001"
