Cancer,Feature,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Direction,Category,Row,EffectPlot,SigLabel
ACC,Genomic instability,39,40,-0.577132394492115,0.546748655278304,1.12388104977042,2.45461160317647e-08,2.94553392381176e-07,Higher in High,Genome maintenance,12,1.12388104977042,***
BLCA,Genomic instability,203,203,-0.457006090545184,0.566864731250111,1.02387082179529,1.63407799352892e-36,1.9608935922347e-35,Higher in High,Genome maintenance,12,1.02387082179529,***
BRCA,Genomic instability,547,548,-0.388196705353244,0.508790481362389,0.896987186715633,6.81269908619335e-62,8.17523890343201e-61,Higher in High,Genome maintenance,12,0.896987186715633,***
CESC,Genomic instability,152,152,-0.359114402213331,0.419539255100059,0.778653657313391,9.23696419902791e-16,1.10843570388335e-14,Higher in High,Genome maintenance,12,0.778653657313391,***
CHOL,Genomic instability,17,18,0.0293409555778394,-0.00367553313632515,-0.0330164887141646,0.351399290322426,0.702798580644853,Lower in High,Genome maintenance,12,-0.0330164887141646,""
COAD,Genomic instability,228,228,-0.294748445793876,0.461187148229399,0.755935594023275,2.17735177265752e-28,2.61282212718902e-27,Higher in High,Genome maintenance,12,0.755935594023275,***
DLBC,Genomic instability,24,24,-0.375615679032502,0.400850743424213,0.776466422456714,0.00042949856560221,0.00257699139361326,Higher in High,Genome maintenance,12,0.776466422456714,**
ESCA,Genomic instability,81,81,-0.54810372738053,0.587965404157289,1.13606913153782,7.82189542735001e-14,9.38627451282001e-13,Higher in High,Genome maintenance,12,1.13606913153782,***
GBM,Genomic instability,80,81,-0.427497711704154,0.554076334950794,0.981574046654948,7.34798063203103e-13,8.81757675843723e-12,Higher in High,Genome maintenance,12,0.981574046654948,***
HNSC,Genomic instability,251,251,-0.340182993002087,0.461101477149985,0.801284470152072,4.77816982682366e-31,5.7338037921884e-30,Higher in High,Genome maintenance,12,0.801284470152072,***
KICH,Genomic instability,32,33,-0.420846557485459,0.0622166878931625,0.483063245378622,0.000323721785044647,0.00388466142053576,Higher in High,Genome maintenance,12,0.483063245378622,**
KIRC,Genomic instability,266,266,-0.150006513065701,0.132914888390931,0.282921401456632,5.08748626603084e-08,2.03499450641234e-07,Higher in High,Genome maintenance,12,0.282921401456632,***
KIRP,Genomic instability,145,145,-0.505137893911189,0.208887913991973,0.714025807903162,4.90115157247901e-08,2.94069094348741e-07,Higher in High,Genome maintenance,12,0.714025807903162,***
LAML,Genomic instability,75,75,-0.21648907103234,0.332349271994989,0.548838343027329,0.000216801980333563,0.00260162376400276,Higher in High,Genome maintenance,12,0.548838343027329,**
