Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,EffectScaledWithinFeature,PlotValue
TGCT,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,77,79,0.664344529480041,0.794034061557519,0.129689532077478,4.81506159730672e-06,6.4200821297423e-06,****,P=4.82e-06,FDR=6.42e-06,TumorPurity,2.41399384609146,2.41399384609146
GBM,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,85,84,0.696429311982231,0.804813545630967,0.108384233648736,1.94611542593694e-10,2.59482056791592e-10,****,P=1.95e-10,FDR=2.59e-10,TumorPurity,1.84380617449281,1.84380617449281
CESC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,155,154,0.765288657546983,0.831929182601767,0.0666405250547839,2.39451381786649e-07,3.96676530586491e-07,****,P=2.39e-07,FDR=3.97e-07,TumorPurity,0.726631116528428,0.726631116528428
STAD,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,204,198,0.637503580686757,0.72368718595638,0.0861836052696235,1.56000006303247e-05,3.12000012606493e-05,****,P=1.56e-05,FDR=3.12e-05,TumorPurity,1.2496570408465,1.2496570408465
ACC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,39,40,0.855206937603903,0.907570889395198,0.0523639517912955,0.00191221780960946,0.00254962374614594,**,P=0.00191,FDR=0.00255,TumorPurity,0.344551227117712,0.344551227117712
UCEC,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,280,297,0.820697502539484,0.878793757114728,0.0580962545752439,1.2445575900209e-10,1.65941012002787e-10,****,P=1.24e-10,FDR=1.66e-10,TumorPurity,0.497963224054054,0.497963224054054
LUAD,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,298,299,0.56761816356591,0.630769780891295,0.0631516173253855,2.33648755550551e-05,3.11531674067401e-05,****,P=2.34e-05,FDR=3.12e-05,TumorPurity,0.633258466466672,0.633258466466672
BRCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,605,621,0.656230677251942,0.715936842583977,0.0597061653320351,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,TumorPurity,0.54104880996906,0.54104880996906
BLCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,212,219,0.769497252464686,0.822331845382429,0.0528345929177435,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,TumorPurity,0.357146862374617,0.357146862374617
THCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,287,284,0.786246359402541,0.832627658889614,0.046381299487073,3.15276785516511e-06,4.20369047355348e-06,****,P=3.15e-06,FDR=4.20e-06,TumorPurity,0.18443919682918,0.18443919682918
