Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,Feature_rank,Feature_strength
BRCA,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,0.137007772777177,0.637032122294016,9.22270661538253e-17,4.79580743999892e-15,0.500024349516839,0.500024349516839,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
BRCA,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.301688449697558,-0.152860082281164,2.62628037498678e-12,6.82832897496562e-11,0.148828367416394,0.148828367416394,****,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
BRCA,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,-0.278743897871501,0.130243943585884,9.4479462988211e-09,1.22823301884674e-07,0.408987841457385,0.408987841457385,****,Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
BRCA,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.515571926547244,-0.410759245963772,1.72912225896225e-07,1.49857262443395e-06,0.104812680583471,0.104812680583471,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
BRCA,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.917791330734373,0.408535753729837,6.32831299161133e-06,4.11340344454736e-05,-0.509255577004536,-0.509255577004536,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
BRCA,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,0.93332082536021,0.383909583243352,9.36129217495242e-05,0.000486787193097526,-0.549411242116858,-0.549411242116858,***,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
BRCA,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,0.119423774214329,-0.0163729794144418,0.103676425589306,0.25672257764971,-0.13579675362877,-0.13579675362877,"",Higher in Low,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
BRCA,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,0.676751325059473,0.51502865594865,0.196238824099658,0.40512240949404,-0.161722669110823,-0.161722669110823,"",Higher in Low,"Basophils
(xCell)",Basophils,18,0.770950567705175
CESC,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.643957145233118,-0.815674198712742,3.9350254133644e-07,2.04621321494949e-05,-1.45963134394586,-1.45963134394586,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
CESC,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-0.315027293869527,0.084522616772079,1.86290775664234e-05,0.000484356016727008,0.399549910641606,0.399549910641606,***,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
CESC,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.658548621931539,-0.506303304238252,3.38729232773567e-05,0.00058713067014085,0.152245317693287,0.152245317693287,***,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
CESC,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.040978864763182,0.281643644834144,5.00659804727687e-05,0.000650857746145993,0.322622509597326,0.322622509597326,***,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
CESC,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,0.775282608489366,-0.250185705908836,0.000629465750806223,0.00467603129170337,-1.0254683143982,-1.0254683143982,**,Higher in Low,"Basophils
(xCell)",Basophils,18,0.770950567705175
CESC,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.45984572906173,-0.304824454616815,0.00158125751391114,0.00913615452481993,0.155021274444915,0.155021274444915,**,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
CESC,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,1.31514654572327,0.152331403040328,0.0023321732413275,0.012127300854903,-1.16281514268294,-1.16281514268294,*,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
CESC,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,0.695640150777528,1.04371658014569,0.0165748469393633,0.0718243367372408,0.348076429368161,0.348076429368161,"",Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
HNSC,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,0.210269338189853,1.29920201541694,2.14213803426307e-15,1.11391177781679e-13,1.08893267722709,1.08893267722709,****,Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,15,0.274341342294552
HNSC,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.504518469845446,-0.226603905253818,1.43201106033669e-12,3.72322875687539e-11,0.277914564591628,0.277914564591628,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
HNSC,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,1.32189550409277,-0.428086171273409,8.6739136466136e-10,1.50347836541302e-08,-1.74998167536618,-1.74998167536618,****,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
HNSC,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.44962441043351,-0.303216319921884,8.91347799031088e-07,9.27001710992331e-06,0.146408090511627,0.146408090511627,****,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
HNSC,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-0.334469447470908,-0.15923862919056,0.000133935002817413,0.000994945735215071,0.175230818280348,0.175230818280348,***,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
HNSC,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.535608701194916,-0.535566469400716,0.0124974208670261,0.0499896834681043,4.22317942008199e-05,4.22317942008199e-05,*,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
HNSC,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.433517161044916,0.0133500597249011,0.0383357115277092,0.110747611080049,-0.420167101320015,-0.420167101320015,"",Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
HNSC,Basophils_xCell,Basophils,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,-0.394122799663402,-0.326410806512173,0.801771602857291,0.938663621119733,0.0677119931512289,0.0677119931512289,"",Higher in High,"Basophils
(xCell)",Basophils,18,0.770950567705175
KIRP,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-0.0447104239230899,1.44605699980719,3.60306824370115e-19,9.4011595047277e-18,1.49076742373028,1.49076742373028,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,26,0.430056075000469
KIRP,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.532698066658623,-0.012267112275162,3.61583057874142e-19,9.4011595047277e-18,0.520430954383461,0.520430954383461,****,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,15,0.101275921222628
KIRP,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.714996290123368,-0.434251809716841,7.55482958058047e-14,1.30950379396728e-12,0.280744480406527,0.280744480406527,****,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,17,0.20020690832769
KIRP,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.490482504548879,-0.113724412994496,1.35927227867818e-12,1.76705396228163e-11,0.376758091554383,0.376758091554383,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,20,0.228435581079708
KIRP,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.196504655347247,-0.848584329978401,6.16664862674718e-05,0.000291514298718958,-1.04508898532565,-1.04508898532565,***,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,17,0.992393287098344
KIRP,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,1.33184630572247,0.588619974605507,0.0107228066548388,0.0368652681077366,-0.743226331116965,-0.743226331116965,*,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,15,0.811814733302377
