Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Direction
BRCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,DYSFUNCTION,547,548,-0.136344838537948,-0.262276760430688,-0.12593192189274,5.02535009083259e-52,2.51267504541629e-51,****,P=5.03e-52,FDR=2.51e-51,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.12642785342492,-1.39161601000583,-1.26518815658091,Higher in Low
BRCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,MDSC,547,548,0.0242669936886075,0.0357993516624955,0.011532357973888,9.8235700017266e-33,2.45589250043165e-32,****,P=9.82e-33,FDR=2.46e-32,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,0.0224193896091293,0.732020883611726,0.709601494002596,Higher in High
BRCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,605,621,0.0221347125687237,0.024269764576027,0.00213505200730338,0.00037614383570828,0.000626906392847134,***,P=3.76e-04,FDR=6.27e-04,Tregs_quantiseq__quanTIseq,***,Tregs,3,0.0151061726920464,0.0100027166865107,0.702663096132241,0.916110309945919,0.213447213813678,Higher in High
BRCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,TAMM2,547,548,-0.00120135958518582,-0.00207646263455027,-0.00087510304936445,0.0258451616601435,0.0323064520751793,*,P=0.0258,FDR=0.0323,TAM M2__TIDEpy,*,TAM M2,4,-0.00146509210153543,0.00972154656472386,0.0271286584489147,-0.0628881967436425,-0.0900168551925572,Higher in Low
GBM,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,MDSC,80,81,0.0073516648610786,0.0289287868409986,0.02157712197992,2.90283558178787e-10,1.45141779089394e-09,****,P=2.90e-10,FDR=1.45e-09,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-1.01840353964243,0.309265791113308,1.32766933075574,Higher in High
GBM,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,DYSFUNCTION,80,81,-0.0677177263508925,-0.161664987707184,-0.0939472613562915,2.15331182834569e-06,5.38327957086424e-06,****,P=2.15e-06,FDR=5.38e-06,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.563041569850971,-0.380809366629048,-0.943850936480019,Higher in Low
GBM,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,85,84,0,0,0,0.0104720019521347,0.0174533365868912,*,P=0.0105,FDR=0.0175,Tregs_quantiseq__quanTIseq,*,Tregs,3,0.0151061726920464,0.0100027166865107,-1.51020699330793,-1.51020699330793,0,No difference
GBM,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,TAMM2,80,81,-0.00280325862736689,0.00310647006763842,0.00590972869500531,0.0157038322767369,0.0196297903459211,*,P=0.0157,FDR=0.0196,TAM M2__TIDEpy,*,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.13764955163484,0.470250503738004,0.607900055372843,Higher in High
HNSC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,DYSFUNCTION,251,251,-0.0184416051052189,-0.0642809656783163,-0.0458393605730974,4.8120309166312e-24,2.4060154583156e-23,****,P=4.81e-24,FDR=2.41e-23,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.05809924915305,0.597569343544839,-0.460529905608215,Higher in Low
HNSC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,MDSC,251,251,0.0153993790802007,0.0275779732017864,0.0121785941215857,5.80522419937181e-22,1.45130604984295e-21,****,P=5.81e-22,FDR=1.45e-21,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.523216861763952,0.226148411417463,0.749365273181415,Higher in High
