Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
ACC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,MDSC,39,40,0.0203461024761047,0.0343246969924014,0.0139785945162967,0.000934761948751032,0.00233690487187758,***,P=9.35e-04,FDR=0.00234,MDSC,0.0245951802567663,0.0169871580848144,-0.250134705254792,0.572757178514325,0.822891883769117,**
ACC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,DYSFUNCTION,39,40,-0.154103137837477,-0.295210432717038,-0.141107294879561,0.000290929340508366,0.00145464670254183,***,P=2.91e-04,FDR=0.00145,T-cell dysfunction,-0.121938022256179,0.112465199954439,-0.286000608137708,-1.54067578709729,-1.25467517895958,**
ACC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,TAMM2,39,40,-0.0035241798059831,0.00174892460434175,0.00527310441032485,0.324386593485185,0.324386593485185,ns,P=0.324,FDR=0.324,TAM M2,-0.00262703812671226,0.00966502050581696,-0.0928235670820247,0.452762901891445,0.54558646897347,""
ACC,Tregs_xCell,Tregs,Immune suppression,xCell,IOBR::deconvo_tme(method='xcell'),TREGS,39,40,0,0,0,0.11374607171008,0.189576786183467,ns,P=0.114,FDR=0.19,Tregs,1.97988101305249e-23,2.93537158995162e-23,-0.674490759476595,-0.674490759476595,0,""
BLCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,MDSC,203,203,0.0285194598703588,0.0370931526978239,0.0085736928274651,1.92028457241234e-08,4.80071143103084e-08,****,P=1.92e-08,FDR=4.80e-08,MDSC,0.0245951802567663,0.0169871580848144,0.231014487179029,0.735730625373417,0.504716138194388,****
BLCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,DYSFUNCTION,203,203,-0.0786432132922456,-0.138508153040923,-0.0598649397486774,3.2019589828267e-14,1.60097949141335e-13,****,P=3.20e-14,FDR=1.60e-13,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.384961828027445,-0.147335627300332,-0.532297455327777,****
BLCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,TAMM2,203,203,-0.00289690889772666,-0.00608253075461432,-0.00318562185688766,0.1352318362763,0.149021641066316,ns,P=0.135,FDR=0.149,TAM M2,-0.00262703812671226,0.00966502050581696,-0.0279224209459236,-0.357525638545966,-0.329603217600043,""
BLCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,212,219,0.0128387238264297,0.0139814166078666,0.00114269278143692,0.149021641066316,0.149021641066316,ns,P=0.149,FDR=0.149,Tregs,1.97988101305249e-23,2.93537158995162e-23,4.37379848956067e+20,4.76308234900408e+20,38928385944340800000,""
BRCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,MDSC,547,548,0.0242669936886075,0.0357993516624955,0.011532357973888,9.8235700017266e-33,2.45589250043165e-32,****,P=9.82e-33,FDR=2.46e-32,MDSC,0.0245951802567663,0.0169871580848144,-0.0193196864666951,0.659567147711725,0.67888683417842,****
BRCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,DYSFUNCTION,547,548,-0.136344838537948,-0.262276760430688,-0.12593192189274,5.02535009083259e-52,2.51267504541629e-51,****,P=5.03e-52,FDR=2.51e-51,T-cell dysfunction,-0.121938022256179,0.112465199954439,-0.128100214889636,-1.24784144990061,-1.11974123501098,****
BRCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,TAMM2,547,548,-0.00120135958518582,-0.00207646263455027,-0.00087510304936445,0.0258451616601435,0.0323064520751793,*,P=0.0258,FDR=0.0323,TAM M2,-0.00262703812671226,0.00966502050581696,0.14750910674927,0.0569657862423176,-0.0905433205069522,*
BRCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,605,621,0.0221347125687237,0.024269764576027,0.00213505200730338,0.00037614383570828,0.000626906392847134,***,P=3.76e-04,FDR=6.27e-04,Tregs,1.97988101305249e-23,2.93537158995162e-23,7.54068501735704e+20,8.2680382473917e+20,72735323003466400000,***
CESC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,MDSC,152,152,0.0174369348111245,0.0359936380883975,0.018556703277273,1.37763249817303e-13,6.19134700949733e-13,****,P=1.38e-13,FDR=6.19e-13,MDSC,0.0245951802567663,0.0169871580848144,-0.421391583565758,0.671004400778539,1.0923959843443,****
CESC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,DYSFUNCTION,152,152,-0.0720512284353716,-0.157094545862469,-0.0850433174270969,2.47653880379893e-13,6.19134700949733e-13,****,P=2.48e-13,FDR=6.19e-13,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.443575380126623,-0.312599129513244,-0.756174509639867,****
CESC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,TAMM2,152,152,-0.02207826819836,-0.0102596644242692,0.0118186037740909,5.17483745305963e-06,8.62472908843272e-06,****,P=5.17e-06,FDR=8.62e-06,TAM M2,-0.00262703812671226,0.00966502050581696,-2.01253893459832,-0.78971651358248,1.22282242101584,****
CESC,Tregs_xCell,Tregs,Immune suppression,xCell,IOBR::deconvo_tme(method='xcell'),TREGS,155,154,0,2.64791678587358e-23,2.64791678587358e-23,0.374442432045682,0.468053040057102,ns,P=0.374,FDR=0.468,Tregs,1.97988101305249e-23,2.93537158995162e-23,-0.674490759476595,0.227581330795703,0.902072090272299,""
CHOL,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,MDSC,17,18,0.0221605918914888,0.0310669586698405,0.0089063667783517,0.141909061056916,0.35477265264229,ns,P=0.142,FDR=0.355,MDSC,0.0245951802567663,0.0169871580848144,-0.143319344714516,0.380980643187139,0.524299987901656,""
