Cancer,FDR_sig_count,mean_abs_difference,mean_signed_difference
KIRP,6,0.287189336959425,0.287189336959425
LGG,6,0.163707998522789,0.163707998522789
LIHC,6,0.142755682922196,0.142755682922196
MESO,5,1.17030984487466,1.17030984487466
KIRC,5,0.741825773975464,0.737181417563335
LUSC,5,0.48816924295843,0.0965117270337242
THCA,5,0.346306477733883,0.333560238485187
OV,5,0.307412399127499,0.236492383977666
UCEC,5,0.288174664225993,0.180818939921873
SKCM,4,0.406699791905912,0.33403865310387
SARC,4,0.361194293518826,0.293066013164444
CESC,4,0.296564991860707,0.22005327133982
BRCA,4,0.287064360457035,0.13292666120768
PRAD,4,0.210063301347807,0.204665410303755
PAAD,3,0.535902465380039,0.535902465380039
ESCA,3,0.411767507892919,0.361519425369174
GBM,3,0.376910297697647,0.269259601130437
HNSC,3,0.334865946299918,0.334865946299918
TGCT,3,0.334724547030713,0.195935852226269
LUAD,3,0.279692472933874,0.275261179281392
LAML,3,0.118132287121829,0.0432515095599481
STAD,2,0.209742252972744,0.08618775084998
READ,2,0.176412385894091,0.176060571969868
UVM,2,0.175107995487788,0.0768440153319183
ACC,2,0.149398944778495,0.149398944778495
COAD,2,0.115911041360586,0.0874838971445441
THYM,1,0.211366399626512,0.0409396795404337
KICH,1,0.189823713567733,0.180428209655185
CHOL,0,0.528398907772418,0.528398907772418
UCS,0,0.275392707958873,0.208739118867975
DLBC,0,0.26550775341796,0.155366714385453
PCPG,0,0.158953926319228,0.14703256380019
BLCA,0,0.0995861550832154,0.0172408827261273
