Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Diff_Z_plot
KIRP,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,159,164,0.13868925718581,0.175062181049648,0.0363729238638383,0.00926113814669397,0.0162069917567145,**,P=0.00926,FDR=0.0162,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,*,EMT,6,0.241641011165224,0.174611943421512,-0.589603162086624,-0.381295968711918,0.208307193374706,0.208307193374706
LGG,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,261,271,-0.0591415796340146,-0.0200250912556296,0.039116488378385,1.50743311599645e-06,4.22081272479007e-06,****,P=1.51e-06,FDR=4.22e-06,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,****,EMT,6,0.241641011165224,0.174611943421512,-1.72257741884902,-1.49855787235123,0.224019546497791,0.224019546497791
LIHC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,212,212,0.0207382962443285,0.0487981434572295,0.0280598472129009,0.0112648157289317,0.0212347709156014,*,P=0.0113,FDR=0.0212,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,*,EMT,6,0.241641011165224,0.174611943421512,-1.26510655910655,-1.10440823192989,0.160698327176651,0.160698327176651
MESO,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,43,44,0.412641084170164,0.538765852046382,0.126124767876218,0.0226394124574218,0.0396189718004881,*,P=0.0226,FDR=0.0396,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,*,EMT,6,0.241641011165224,0.174611943421512,0.979314871905111,1.70162953953214,0.722314667627025,0.722314667627025
KIRC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,306,307,0.197695406615745,0.195262526318553,-0.00243288029719221,0.874062222866393,0.9412977784715,ns,P=0.874,FDR=0.941,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,"",EMT,6,0.241641011165224,0.174611943421512,-0.251675822904018,-0.265608892140405,-0.0139330692363869,-0.0139330692363869
THCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,287,284,0.214265947513676,0.207589010694085,-0.00667693681959175,0.59301325285772,0.754744140000735,ns,P=0.593,FDR=0.755,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,"",EMT,6,0.241641011165224,0.174611943421512,-0.156776581917221,-0.195015299663309,-0.0382387177460876,-0.0382387177460876
LUAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,298,299,0.27157800356605,0.278547836831338,0.00696983326528838,0.613102581074527,0.832404422457592,ns,P=0.613,FDR=0.832,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,"",EMT,6,0.241641011165224,0.174611943421512,0.171448709717173,0.211364841046534,0.039916131329361,0.039916131329361
LUSC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,276,275,0.420489785505028,0.298898849429787,-0.121590936075242,2.55122555547636e-13,1.78585788883345e-12,****,P=2.55e-13,FDR=1.79e-12,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,****,EMT,6,0.241641011165224,0.174611943421512,1.02426426758257,0.327914787170906,-0.696349480411667,-0.696349480411667
KIRP,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,159,164,0.366805196334353,0.40553440029226,0.0387292039579074,3.99991917399944e-05,9.33314473933204e-05,****,P=4.00e-05,FDR=9.33e-05,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,****,TGF-beta signaling,5,0.400800247476954,0.124292585081538,-0.273508279840663,0.0380887790868659,0.311597058927529,0.311597058927529
LGG,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,261,271,0.612835287056794,0.638638986663675,0.0258036996068801,0.000827690128790704,0.00144845772538373,***,P=8.28e-04,FDR=0.00145,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,**,TGF-beta signaling,5,0.400800247476954,0.124292585081538,1.70593474615353,1.91353924315513,0.207604497001597,0.207604497001597
LIHC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,212,212,0.39057960061817,0.418652306409833,0.0280727057916634,7.58612860423497e-05,0.000177009667432149,****,P=7.59e-05,FDR=1.77e-04,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,***,TGF-beta signaling,5,0.400800247476954,0.124292585081538,-0.0822305437776427,0.143629315627862,0.225859859405505,0.225859859405505
MESO,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,43,44,0.186251739843223,0.202103652064222,0.0158519122209987,0.724598582494823,0.780336934994424,ns,P=0.725,FDR=0.78,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,"",TGF-beta signaling,5,0.400800247476954,0.124292585081538,-1.72615693440588,-1.59861986362568,0.127537070780207,0.127537070780207
KIRC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,306,307,0.256212650067416,0.291566097754399,0.0353534476869825,0.00131510893534322,0.00263021787068644,**,P=0.00132,FDR=0.00263,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,**,TGF-beta signaling,5,0.400800247476954,0.124292585081538,-1.16328417591995,-0.878846872891855,0.284437303028096,0.284437303028096
THCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,287,284,0.524951116314876,0.563163392038104,0.0382122757232275,8.08904246947603e-09,2.83116486431661e-08,****,P=8.09e-09,FDR=2.83e-08,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,****,TGF-beta signaling,5,0.400800247476954,0.124292585081538,0.998859817393586,1.30629791354518,0.307438096151592,0.307438096151592
LUAD,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,298,299,0.336024668647038,0.334372337817071,-0.00165233082996696,0.70578944896168,0.832404422457592,ns,P=0.706,FDR=0.832,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,"",TGF-beta signaling,5,0.400800247476954,0.124292585081538,-0.521154007597652,-0.534447888555096,-0.0132938809574444,-0.0132938809574444
LUSC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,276,275,0.272642698054312,0.33743636558351,0.0647936675291979,6.18077902194366e-09,2.88436354357371e-08,****,P=6.18e-09,FDR=2.88e-08,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,****,TGF-beta signaling,5,0.400800247476954,0.124292585081538,-1.03109569519829,-0.509796154387455,0.521299540810838,0.521299540810838
KIRP,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,159,164,25.602725,50.32174375,24.71901875,3.29210393015824e-11,2.30447275111077e-10,****,P=3.29e-11,FDR=2.30e-10,Fibroblasts_MCPcounter__MCP-counter,****,Fibroblasts,3,259.138346022727,349.011119540398,-0.66913518781368,-0.598309310453235,0.0708258773604454,0.0708258773604454
LGG,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,261,271,18.3099875,27.366775,9.0567875,6.94810780121754e-24,9.72735092170456e-23,****,P=6.95e-24,FDR=9.73e-23,Fibroblasts_MCPcounter__MCP-counter,****,Fibroblasts,3,259.138346022727,349.011119540398,-0.690030618049839,-0.664080764326191,0.0259498537236481,0.0259498537236481
LIHC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,212,212,24.28068125,36.11924375,11.8385625,9.17098963475272e-06,4.2797951628846e-05,****,P=9.17e-06,FDR=4.28e-05,Fibroblasts_MCPcounter__MCP-counter,****,Fibroblasts,3,259.138346022727,349.011119540398,-0.672923158098813,-0.639002856317054,0.0339203017817594,0.0339203017817594
MESO,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,43,44,623.3490875,1311.67373125,688.32464375,0.000345732261993591,0.00161341722263676,***,P=3.46e-04,FDR=0.00161,Fibroblasts_MCPcounter__MCP-counter,**,Fibroblasts,3,259.138346022727,349.011119540398,1.04355053775046,3.01576461693634,1.97221407918588,1.97221407918588
KIRC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,306,307,85.8457625,125.136825,39.2910625,6.96532148815426e-07,2.43786252085399e-06,****,P=6.97e-07,FDR=2.44e-06,Fibroblasts_MCPcounter__MCP-counter,****,Fibroblasts,3,259.138346022727,349.011119540398,-0.49652453409201,-0.383946279990132,0.112578254101878,0.112578254101878
THCA,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,287,284,62.2612625,70.23795625,7.97669375,0.0249513575541436,0.0499027151082872,*,P=0.025,FDR=0.0499,Fibroblasts_MCPcounter__MCP-counter,*,Fibroblasts,3,259.138346022727,349.011119540398,-0.564099744965113,-0.541244617138515,0.0228551278265984,0.0228551278265984
LUAD,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,298,299,195.02011875,260.060275,65.04015625,0.000224267052163373,0.00104657957676241,***,P=2.24e-04,FDR=0.00105,Fibroblasts_MCPcounter__MCP-counter,**,Fibroblasts,3,259.138346022727,349.011119540398,-0.18371399558032,0.00264154614468097,0.186355541725001,0.186355541725001
LUSC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,276,275,384.3254625,227.2489375,-157.076525,1.55479386868099e-05,3.62785236025564e-05,****,P=1.55e-05,FDR=3.63e-05,Fibroblasts_MCPcounter__MCP-counter,****,Fibroblasts,3,259.138346022727,349.011119540398,0.35869091117248,-0.0913707522119106,-0.45006166338439,-0.45006166338439
