Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
BRCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,CAF,547,548,0.0740706348236289,0.0890250461480717,0.0149544113244428,3.02433300219293e-05,0.000141135540102337,****,P=3.02e-05,FDR=1.41e-04,CAF,0.0394390710931143,0.0312357940078499,1.10871405163613,1.58747285381943,0.47875880218331,***
BRCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,605,621,0.391706336918605,0.362419807167523,-0.0292865297510823,0.00014148878084461,0.000408787325452691,***,P=1.41e-04,FDR=4.09e-04,EMT,0.266999790790937,0.124680700020625,1.00020729837929,0.765315051654356,-0.234892246724933,***
BRCA,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,605,621,0.0594085892366407,0.0491337746228231,-0.0102748146138175,0.00647961667100681,0.0151191055656826,**,P=0.00648,FDR=0.0151,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.71690844908609e+21,1.41996626867194e+21,-2.96942180414149e+20,*
BRCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,EXCLUSION,547,548,0.699165321903578,0.859688108154711,0.160522786251133,2.80336115802264e-10,1.96235281061585e-09,****,P=2.80e-10,FDR=1.96e-09,Exclusion score,0.518559332003667,0.260469451282052,0.693386456687929,1.30966903977407,0.616282583086141,****
BRCA,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,605,621,0,2.14817821494694e-22,2.14817821494694e-22,0.000145995473375961,0.000408787325452691,***,P=1.46e-04,FDR=4.09e-04,Fibroblasts,1.197275,1.775079915,-0.674490759476595,-0.674490759476595,0,***
BRCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,605,621,0.217759638134322,0.260828482929497,0.043068844795175,1.02682300559526e-16,1.43755220783336e-15,****,P=1.03e-16,FDR=1.44e-15,TGF-beta signaling,0.409022218252099,0.142799140816971,-1.33938186899124,-1.03777749974383,0.301604369247413,****
CESC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,CAF,152,152,0.014489927398224,0.0237886248957101,0.0092986974974861,4.58248664048416e-07,3.20774064833891e-06,****,P=4.58e-07,FDR=3.21e-06,CAF,0.0394390710931143,0.0312357940078499,-0.798735696893771,-0.501042047897711,0.29769364899606,****
CESC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,155,154,0.213956168367099,0.173876587723072,-0.040079580644027,0.0854686510431618,0.239312222920853,ns,P=0.0855,FDR=0.239,EMT,0.266999790790937,0.124680700020625,-0.425435712304016,-0.746893489148362,-0.321457776844346,""
CESC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,155,154,5.64507,7.20554333333333,1.56047333333333,3.38729232773567e-05,0.000158073641960998,****,P=3.39e-05,FDR=1.58e-04,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.63142543918628e+23,2.08240229034522e+23,4.50976851158943e+22,***
CESC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,EXCLUSION,152,152,0.156277404676518,0.432113830534413,0.275836425857895,2.25360026047305e-11,3.15504036466226e-10,****,P=2.25e-11,FDR=3.16e-10,Exclusion score,0.518559332003667,0.260469451282052,-1.39088067926571,-0.331883455214274,1.05899722405144,****
CESC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,155,154,99.53005,107.8492375,8.31918749999998,0.309829300598776,0.542201276047858,ns,P=0.31,FDR=0.542,Fibroblasts,1.197275,1.775079915,55.396252399149,60.0829075912337,4.68665519208469,""
CESC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,155,154,0.414465284344895,0.443720990012582,0.0292557056676872,0.000147327005508786,0.000515644519280751,***,P=1.47e-04,FDR=5.16e-04,TGF-beta signaling,0.409022218252099,0.142799140816971,0.0381169386710246,0.24299005975783,0.204873121086805,***
HNSC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,CAF,251,251,0.0190257718902388,0.0356902350814383,0.0166644631911995,9.55151390295917e-10,6.68605973207142e-09,****,P=9.55e-10,FDR=6.69e-09,CAF,0.0394390710931143,0.0312357940078499,-0.653522660501135,-0.12001731125304,0.533505349248095,****
