Cancer	Feature	Median_Low	Median_High	High_minus_Low_effect	FDR	Significance
PRAD	MSI score	1	1	0	0.99918502256394	""
LIHC	MSI score	3.09696904694688e-44	1.82031743208186e-55	-3.09696904692868e-44	0.147344522531381	""
LGG	MSI score	1	1	0	7.22385566866413e-05	****
KIRC	MSI score	5.17474947404324e-12	6.11589949658965e-11	5.59842454918532e-11	0.888958005886028	""
UVM	MSI score	1	1	0	0.244472146213465	""
STAD	MSI score	2.09970048009193e-26	2.62397805987075e-30	-2.09943808228594e-26	0.822464762256654	""
COAD	MSI score	1	1	0	0.90602766035686	""
PAAD	MSI score	5.9260472282516e-28	4.13299538404217e-28	-1.79305184420943e-28	0.620885207834922	""
BLCA	MSI score	8.87992959474157e-20	2.21220111412993e-27	-8.87992937352146e-20	0.181902014179134	""
UCEC	MSI score	0.976358201017482	0.999999999910312	0.0236417988928305	0.251221905143531	""
KIRP	MSI score	1.6154407637987e-18	1.62896105751649e-05	1.62896105751633e-05	0.0309523183855484	*
PCPG	MSI score	0.999985769638115	0.999999994227927	1.42245898119286e-05	0.192144430127954	""
OV	MSI score	0.00641393278250511	8.69700952092352e-13	-0.00641393278163541	0.0611367855917383	""
BRCA	MSI score	7.23504154923231e-08	2.65865758712592e-05	2.65142254557668e-05	0.574237513325297	""
KICH	MSI score	1	1	0	0.272416232415335	""
THCA	MSI score	0.0616554000564867	0.999999751056434	0.938344350999947	0.00535297351931858	**
HNSC	MSI score	0.997224628679541	0.986318722260923	-0.010905906418618	0.371903751407284	""
LUAD	MSI score	3.43226040243883e-41	2.81248076477474e-40	2.46925472453086e-40	0.980683700538743	""
READ	MSI score	0.99999999997314	0.996922028242642	-0.00307797173049806	0.282603114904959	""
THYM	MSI score	1	1	0	0.17992508454725	""
LAML	MSI score	1	1	0	0.00212109244037984	**
ACC	MSI score	0.999999935582439	1	6.44175609521014e-08	0.034735319478971	*
ESCA	MSI score	1.80582043977578e-20	2.29189153521234e-32	-1.80582043977349e-20	0.35095921337602	""
TGCT	MSI score	0.999888026355296	1	0.000111973644704055	0.0647021056728027	""
CESC	MSI score	1.9940061078995e-06	0.999995488833394	0.999993494827286	0.0467032209026977	*
MESO	MSI score	3.49657668247224e-07	9.45092878661486e-11	-3.49563158959358e-07	0.970048359479116	""
SKCM	MSI score	1.90848725749918e-44	1.60034683129915e-30	1.60034683129913e-30	0.000146020261642758	***
DLBC	MSI score	1.86530044753669e-15	7.50972002939388e-21	-1.86529293781666e-15	0.869520643396726	""
CHOL	MSI score	2.26529001528821e-08	2.92854123320436e-28	-2.26529001528821e-08	0.462690490318058	""
UCS	MSI score	3.64782634415089e-38	3.66527452132099e-23	3.66527452132099e-23	0.926599507093341	""
GBM	MSI score	0.000400897622445537	0.999980757334353	0.999579859711907	0.0599468196825904	""
SARC	MSI score	8.32896512109137e-48	4.65772382236491e-25	4.65772382236491e-25	0.000641184957841478	***
LUSC	MSI score	1.08432255338617e-28	2.23064561953589e-25	2.2295612969825e-25	0.500998583924187	""
PRAD	BTLA	0.244399574869029	0.501923147066438	0.257523572197408	9.49960106862786e-15	****
LIHC	BTLA	0.155360453471027	0.202699773054645	0.0473393195836173	0.012259831266266	*
LGG	BTLA	0.142609487298665	0.179256247190507	0.0366467598918424	0.00418182761205084	**
KIRC	BTLA	0.633382523126151	0.790355013710841	0.15697249058469	0.00222600798545822	**
UVM	BTLA	0	0.0628105815573269	0.0628105815573269	7.66527109569063e-05	****
STAD	BTLA	0.693170112800605	0.767357580304632	0.0741874675040264	0.398204751059513	""
COAD	BTLA	0.45557935025282	0.589859343936004	0.134279993683183	0.0150619957091176	*
PAAD	BTLA	0.584192858109738	0.766038096234986	0.181845238125249	0.136900398156999	""
BLCA	BTLA	0.386303562890707	0.358283722852818	-0.0280198400378889	0.877664958683952	""
UCEC	BTLA	0.395666080894878	0.449851865190906	0.0541857842960283	0.197250552383755	""
KIRP	BTLA	0.303926836480695	0.475084849347376	0.171158012866681	1.69759466028264e-06	****
PCPG	BTLA	0.0872591123304736	0.150169706295702	0.0629105939652283	0.0296890186213776	*
OV	BTLA	0.565109696531834	0.616017767668783	0.050908071136949	0.0611367855917383	""
BRCA	BTLA	0.720103317115971	0.763071576815482	0.0429682596995104	0.467756807451335	""
KICH	BTLA	0.153217559711381	0.234010733108401	0.0807931733970195	0.0219653314402834	*
THCA	BTLA	0.45543901456305	0.373508860788816	-0.0819301537742346	0.810194552930556	""
HNSC	BTLA	0.431676441392633	0.503704839532312	0.0720283981396789	0.0612569037751636	""
LUAD	BTLA	1.18441925646015	1.06977089748646	-0.114648358973687	0.166134846308296	""
READ	BTLA	0.403158629742864	0.418567779299712	0.0154091495568474	0.401711800811716	""
THYM	BTLA	1.61931661441902	1.56564377345165	-0.0536728409673704	0.652855695027702	""
LAML	BTLA	2.42169458118029	2.54512819931654	0.123433618136252	0.359035022354767	""
ACC	BTLA	0.13815914522947	0.162205191447697	0.0240460462182263	0.42669723106541	""
ESCA	BTLA	0.506601942191015	0.439257996650418	-0.0673439455405969	0.725537718136614	""
TGCT	BTLA	2.05474430752802	2.08277070363544	0.0280263961074225	0.763111973720248	""
CESC	BTLA	0.554343265662764	0.480108975827568	-0.0742342898351962	0.630741123288822	""
MESO	BTLA	0.643948519302828	0.640862689963982	-0.00308582933884605	0.976295384034329	""
SKCM	BTLA	0.783663958611669	0.592540756001954	-0.191123202609715	0.508489244041518	""
DLBC	BTLA	2.81450514472131	3.92947202308421	1.1149668783629	0.233932636190113	""
CHOL	BTLA	0.307015072609799	0.210264166313091	-0.0967509062967086	0.939628144702672	""
UCS	BTLA	0.176705732542904	0.229218742449247	0.0525130099063434	0.993631985161221	""
GBM	BTLA	0.253263199259806	0.250040027950834	-0.00322317130897154	0.807477746249644	""
SARC	BTLA	0.460899736265383	0.378955461140906	-0.0819442751244761	0.156899708726109	""
LUSC	BTLA	0.967639602691836	0.765110361879585	-0.202529240812252	0.00176829512838659	**
PRAD	PDCD1	1.12789687512679	1.27130614379734	0.143409268670547	0.00224662249076203	**
LIHC	PDCD1	0.651906426905485	1.09188529908055	0.439978872175063	1.49591642173392e-06	****
LGG	PDCD1	0.22909566135538	0.414027259124902	0.184931597769522	1.50563124287492e-08	****
KIRC	PDCD1	2.03732938725181	1.97998872955873	-0.0573406576930877	0.681909377079911	""
UVM	PDCD1	0.227916556800519	0.418061305496385	0.190144748695867	0.0640114124229473	""
STAD	PDCD1	1.83833865417355	2.26204477236639	0.423706118192846	0.0224936278638771	*
COAD	PDCD1	1.56168974140537	1.64048211169989	0.0787923702945177	0.15131300384077	""
PAAD	PDCD1	1.70030654014439	1.99031391435623	0.29000737421184	0.0645779939677839	""
BLCA	PDCD1	1.24761292742674	1.49021069545115	0.242597768024411	0.101771459844411	""
UCEC	PDCD1	2.03527049548212	1.73777327725894	-0.297497218223179	0.0533176799035128	""
KIRP	PDCD1	1.00079326414484	1.3368570369522	0.336063772807357	0.0309523183855484	*
PCPG	PDCD1	0.463569644739569	0.518333701528504	0.0547640567889343	0.921424438781949	""
OV	PDCD1	1.33405334415552	1.42679738385102	0.0927440396955024	0.318164322036455	""
BRCA	PDCD1	1.38521012917473	1.37222778347286	-0.0129823457018734	0.367419516913017	""
KICH	PDCD1	0.329546412073798	0.54220851432284	0.212662102249042	0.120659094189381	""
THCA	PDCD1	1.65750281690645	1.50487453207931	-0.152628284827136	0.300933625689033	""
HNSC	PDCD1	1.76515280594604	2.04970043452097	0.284547628574927	0.168832456252006	""
LUAD	PDCD1	2.26180141131895	2.38203083270076	0.120229421381814	0.166134846308296	""
READ	PDCD1	1.308069580542	1.51641864163387	0.208349061091865	0.39889895361795	""
THYM	PDCD1	4.48887396078735	4.95438287651601	0.465508915728659	0.00195244690646799	**
LAML	PDCD1	1.79335490051183	1.7542033956764	-0.0391515048354347	0.998449192216749	""
ACC	PDCD1	0.377512488485005	0.275404440359602	-0.102108048125403	0.42957314761307	""
ESCA	PDCD1	1.6156517047923	1.67057222388006	0.0549205190877611	0.802576407224485	""
TGCT	PDCD1	3.29917137804795	3.26053758632773	-0.0386337917202226	0.894399533359727	""
CESC	PDCD1	2.19993926779604	2.23162180700518	0.0316825392091453	0.228559016601268	""
MESO	PDCD1	2.60869098413692	2.51891145274712	-0.0897795313898051	0.976295384034329	""
SKCM	PDCD1	2.8456690618683	1.93960272035604	-0.906066341512257	0.000875335055879938	***
DLBC	PDCD1	5.25911653060066	5.1820029756952	-0.0771135549054618	0.869520643396726	""
CHOL	PDCD1	1.12572173417941	2.28009518947445	1.15437345529504	0.939628144702672	""
UCS	PDCD1	1.58192574624768	1.35230655290634	-0.229619193341341	0.926599507093341	""
GBM	PDCD1	0.903886664751233	0.836169877684235	-0.0677167870669984	0.458321321159678	""
SARC	PDCD1	1.69698819201995	1.12690679728017	-0.570081394739782	0.0242344463124804	*
LUSC	PDCD1	2.32613186222908	2.06695024392463	-0.259181618304458	0.0206144201595999	*
PRAD	CD274	1.15364272760602	1.44927082553272	0.295628097926696	2.02751104674115e-08	****
LIHC	CD274	0.773946812640332	1.07901963303484	0.305072820394506	1.56179387750664e-07	****
LGG	CD274	1.34067619898311	1.4490066392182	0.108330440235095	0.0581835779682791	""
KIRC	CD274	2.31740534564724	2.6426553678895	0.325250022242264	3.56872107715353e-11	****
UVM	CD274	1.05191433060532	1.57656991798537	0.524655587380049	9.79946157503691e-05	****
STAD	CD274	1.70999580212384	2.41454926951413	0.704553467390294	2.05610917507751e-09	****
COAD	CD274	1.54276769333305	1.86817311870569	0.325405425372635	0.00215892411959161	**
PAAD	CD274	1.86211411139865	2.42015561764825	0.558041506249601	8.9404513753718e-08	****
BLCA	CD274	1.70809875459298	2.42945528388071	0.721356529287734	4.74311072660574e-07	****
UCEC	CD274	1.06918223524879	1.45785691041377	0.388674675164982	4.02312282055085e-06	****
KIRP	CD274	2.109494290869	2.05235623910634	-0.0571380517626583	0.965302865583549	""
PCPG	CD274	1.95973324098642	2.9768951535174	1.01716191253098	3.26718912612662e-05	****
OV	CD274	1.34936527759421	1.60390163062243	0.254536353028216	0.000111855374747095	***
BRCA	CD274	1.93606310190092	2.1823109180257	0.246247816124775	1.02634358578334e-06	****
KICH	CD274	2.11954256902194	2.80026834001733	0.680725770995392	0.00858206082642845	**
