Cancer,Net_FDR_weighted_direction,Mean_scaled_effect,N_high,N_low,N_sig
PRAD,101.65382235403,0.451261834347071,19,1,20
LIHC,96.8809258106299,0.554707329822999,22,0,22
LGG,87.0307471829087,0.191424534142219,18,0,18
KIRC,65.5249872518981,0.535058095530189,16,0,16
UVM,50.2957437441467,0.582200417562808,16,0,16
STAD,50.2939484356222,0.681871775900126,14,0,14
COAD,40.3046545506323,0.254014046969176,14,0,14
PAAD,36.9850397840713,0.742480295466084,15,0,15
BLCA,29.6355012475547,0.307602749911003,10,0,10
UCEC,28.3208826468768,-0.0116940339094672,7,2,9
KIRP,27.1099915440412,0.0621410843898786,8,1,9
PCPG,26.8941101424116,0.101954612630303,9,0,9
OV,23.7055255495566,0.081605751490659,6,0,6
BRCA,22.1524752881186,-0.155911357015776,7,2,9
KICH,21.2808646719905,0.451610201701255,10,0,10
THCA,19.7315396510141,-0.336665744547869,5,0,5
HNSC,18.0164965840183,0.172125383616281,7,0,7
LUAD,17.4364579913281,-0.0744341225570287,5,1,6
READ,16.7487466342035,0.31897644708552,7,0,7
THYM,13.0811673790052,-0.243431445033511,6,3,9
LAML,11.9769660576533,-0.0133284218169209,3,0,3
ACC,11.6434463806877,-0.337852979191823,3,0,3
ESCA,5.61994673490769,-0.123173133635453,1,0,1
TGCT,4.99392733979838,0.0095235285583428,2,0,2
CESC,4.56219931004225,-0.494952349981343,3,0,3
MESO,2.71806323746807,-0.0610595443989916,1,0,1
SKCM,2.41614026119279,-0.81607052081436,3,7,10
DLBC,1.41719031822388,0.351983911363746,1,0,1
CHOL,0,0.0111378676394231,0,0,0
UCS,0,-0.374086880269932,0,0,0
GBM,-18.4617746475759,-0.725943602174211,2,9,11
SARC,-20.8070111172557,-1.28726519212828,2,11,13
LUSC,-46.054241715288,-1.1536047732159,1,15,16
