Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
ACC,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JM-01A,StromalScore,-1253.26459648218,High,StromalScore
ACC,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JM-01A,ImmuneScore,-1064.32101469281,High,ImmuneScore
ACC,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JM-01A,ESTIMATEScore,-2317.58561117499,High,ESTIMATEScore
ACC,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JM-01A,TumorPurity,0.965146821547687,High,TumorPurity
ACC,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5KZ-01A,StromalScore,-388.480886516179,High,StromalScore
ACC,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5KZ-01A,ImmuneScore,-142.685913431244,High,ImmuneScore
ACC,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5KZ-01A,ESTIMATEScore,-531.166799947423,High,ESTIMATEScore
ACC,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5KZ-01A,TumorPurity,0.864310693747483,High,TumorPurity
ACC,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J7-01A,StromalScore,-941.849194409981,High,StromalScore
ACC,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J7-01A,ImmuneScore,-566.42972634913,High,ImmuneScore
ACC,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J7-01A,ESTIMATEScore,-1508.27892075911,High,ESTIMATEScore
ACC,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J7-01A,TumorPurity,0.927327292011478,High,TumorPurity
ACC,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K5-01A,StromalScore,-1074.75658478832,High,StromalScore
ACC,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K5-01A,ImmuneScore,-441.245262275185,High,ImmuneScore
ACC,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K5-01A,ESTIMATEScore,-1516.0018470635,High,ESTIMATEScore
ACC,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K5-01A,TumorPurity,0.927750960885152,High,TumorPurity
ACC,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JC-01A,StromalScore,-592.590025680443,Low,StromalScore
ACC,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JC-01A,ImmuneScore,-23.2078426897562,Low,ImmuneScore
ACC,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JC-01A,ESTIMATEScore,-615.797868370199,Low,ESTIMATEScore
ACC,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JC-01A,TumorPurity,0.870492020246388,Low,TumorPurity
ACC,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J2-01A,StromalScore,-370.441363237771,High,StromalScore
ACC,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J2-01A,ImmuneScore,-294.58277040942,High,ImmuneScore
ACC,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J2-01A,ESTIMATEScore,-665.024133647192,High,ESTIMATEScore
ACC,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J2-01A,TumorPurity,0.874025698503591,High,TumorPurity
ACC,TCGA-PK-A5H9-01A-11R-A29S-07,TCGA-PK-A5H9-01A,StromalScore,-127.055383452122,High,StromalScore
ACC,TCGA-PK-A5H9-01A-11R-A29S-07,TCGA-PK-A5H9-01A,ImmuneScore,247.643575298793,High,ImmuneScore
ACC,TCGA-PK-A5H9-01A-11R-A29S-07,TCGA-PK-A5H9-01A,ESTIMATEScore,120.588191846671,High,ESTIMATEScore
ACC,TCGA-PK-A5H9-01A-11R-A29S-07,TCGA-PK-A5H9-01A,TumorPurity,0.812313608542771,High,TumorPurity
ACC,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JK-01A,StromalScore,-64.2042176320143,Low,StromalScore
ACC,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JK-01A,ImmuneScore,1418.8428908275,Low,ImmuneScore
ACC,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JK-01A,ESTIMATEScore,1354.63867319549,Low,ESTIMATEScore
ACC,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JK-01A,TumorPurity,0.693952371676889,Low,TumorPurity
ACC,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J1-01A,StromalScore,-889.906530200866,Low,StromalScore
ACC,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J1-01A,ImmuneScore,-86.5881518518261,Low,ImmuneScore
ACC,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J1-01A,ESTIMATEScore,-976.494682052692,Low,ESTIMATEScore
ACC,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J1-01A,TumorPurity,0.895319160242305,Low,TumorPurity
ACC,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JR-01A,StromalScore,-716.539968464715,Low,StromalScore
ACC,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JR-01A,ImmuneScore,256.250924648156,Low,ImmuneScore
ACC,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JR-01A,ESTIMATEScore,-460.289043816559,Low,ESTIMATEScore
ACC,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JR-01A,TumorPurity,0.859031216215595,Low,TumorPurity
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,StromalScore,-1038.78317751946,Low,StromalScore
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,ImmuneScore,-559.02358334301,Low,ImmuneScore
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,ESTIMATEScore,-1597.80676086247,Low,ESTIMATEScore
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,TumorPurity,0.932165355548075,Low,TumorPurity
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,StromalScore,-893.503278019274,Low,StromalScore
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,ImmuneScore,-286.362633727435,Low,ImmuneScore
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,ESTIMATEScore,-1179.86591174671,Low,ESTIMATEScore
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,TumorPurity,0.908215344578265,Low,TumorPurity
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,StromalScore,-401.982292739709,High,StromalScore
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,ImmuneScore,-642.91745154475,High,ImmuneScore
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,ESTIMATEScore,-1044.89974428446,High,ESTIMATEScore
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,TumorPurity,0.899746496415304,High,TumorPurity
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,StromalScore,-378.488924987466,Low,StromalScore
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,ImmuneScore,341.272358451269,Low,ImmuneScore
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,ESTIMATEScore,-37.2165665361969,Low,ESTIMATEScore
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,TumorPurity,0.825604154924757,Low,TumorPurity
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,StromalScore,-1179.58170524674,High,StromalScore
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,ImmuneScore,-774.687824548161,High,ImmuneScore
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,ESTIMATEScore,-1954.2695297949,High,ESTIMATEScore
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,TumorPurity,0.949824154391217,High,TumorPurity
