Cancer,Feature_Display,y,span,Significance
TGCT,ESTIMATEScore,6067.66932004725,6984.74104401008,****
TGCT,ImmuneScore,4042.2900205933,4531.91116618231,**
TGCT,StromalScore,2580.79122580297,3411.27890865255,****
TGCT,TumorPurity,1.05971888150208,0.66201019103575,****
GBM,ESTIMATEScore,6067.66932004725,6037.72360144799,****
GBM,ImmuneScore,4042.2900205933,3639.35788918759,****
GBM,StromalScore,2580.79122580297,2784.43122309113,****
GBM,TumorPurity,1.05971888150208,0.593894777521371,****
CESC,ESTIMATEScore,6067.66932004725,7172.96267095998,****
CESC,ImmuneScore,4042.2900205933,4548.78445079967,****
CESC,StromalScore,2580.79122580297,3205.15244734816,****
CESC,TumorPurity,1.05971888150208,0.634739391961662,****
STAD,ESTIMATEScore,6067.66932004725,7228.93850390283,****
STAD,ImmuneScore,4042.2900205933,4115.62520007549,***
STAD,StromalScore,2580.79122580297,3882.38624469837,****
STAD,TumorPurity,1.05971888150208,0.727009355944258,****
ACC,ESTIMATEScore,6067.66932004725,6157.08462836379,**
ACC,ImmuneScore,4042.2900205933,3146.2301887119,**
ACC,StromalScore,2580.79122580297,3109.75148524596,*
ACC,TumorPurity,1.05971888150208,0.547402312177071,**
UCEC,ESTIMATEScore,6067.66932004725,7003.01995195622,****
UCEC,ImmuneScore,4042.2900205933,4884.94128099506,****
UCEC,StromalScore,2580.79122580297,3068.41979560288,****
UCEC,TumorPurity,1.05971888150208,0.624351363118753,****
LUAD,ESTIMATEScore,6067.66932004725,7127.26443392908,****
LUAD,ImmuneScore,4042.2900205933,4278.27479714091,****
LUAD,StromalScore,2580.79122580297,3822.86743469314,***
LUAD,TumorPurity,1.05971888150208,0.724796661106642,****
BRCA,ESTIMATEScore,6067.66932004725,8150.96734493679,****
BRCA,ImmuneScore,4042.2900205933,4858.68897586481,****
BRCA,StromalScore,2580.79122580297,4105.21807343925,****
BRCA,TumorPurity,1.05971888150208,0.809339245465878,****
BLCA,ESTIMATEScore,6067.66932004725,8739.93940629202,**
BLCA,ImmuneScore,4042.2900205933,4672.57580461827,*
BLCA,StromalScore,2580.79122580297,4620.37110882543,**
BLCA,TumorPurity,1.05971888150208,0.760196205978668,**
THCA,ESTIMATEScore,6067.66932004725,6617.28252164056,****
THCA,ImmuneScore,4042.2900205933,4455.73438229304,****
THCA,StromalScore,2580.79122580297,3263.87178630838,*
THCA,TumorPurity,1.05971888150208,0.637008323671624,****
ESCA,ESTIMATEScore,6067.66932004725,8577.46935640359,*
ESCA,ImmuneScore,4042.2900205933,4556.65732072593,**
ESCA,TumorPurity,1.05971888150208,0.814573398683477,*
KIRP,ESTIMATEScore,6067.66932004725,7814.55992806832,**
KIRP,ImmuneScore,4042.2900205933,5041.98144290353,***
KIRP,TumorPurity,1.05971888150208,0.687793843697339,**
HNSC,ESTIMATEScore,6067.66932004725,7353.53184808994,*
HNSC,ImmuneScore,4042.2900205933,4037.78060078137,*
HNSC,TumorPurity,1.05971888150208,0.709002724840351,*
