Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,OrderEffect
ACC,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-1.10439771266106,-0.178500115297444,2.02499874843284e-06,0.000105299934918508,0.925897597363611,0.925897597363611,***,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,0.925897597363611
ACC,B_cells_quantiseq,B cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),BCELLS,-0.260236823426439,-0.200235005727887,5.12078567489793e-05,0.00133140427547346,0.0600018176985515,0.0600018176985515,**,Higher in High,"B cells
(quanTIseq)",B cells,0.0600018176985515
ACC,Fibroblasts_MCPcounter,Fibroblasts,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,-0.668790356393528,-0.611207610100329,0.000841177407239029,0.0145804083921432,0.0575827462931987,0.0575827462931987,*,Higher in High,"Fibroblasts
(MCP-counter)",Fibroblasts,0.0575827462931987
ACC,Macrophages_EPIC,Macrophages,EPIC,IOBR::deconvo_tme(method='epic'),MACROPHAGES,-0.213865998933761,-0.716591675759188,0.00321241840010245,0.0417283483494751,-0.502725676825428,-0.502725676825428,*,Higher in Low,"Macrophages
(EPIC)",Macrophages,-0.502725676825428
ACC,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.725474132041925,-0.444527473198515,0.00466470846159633,0.0417283483494751,0.28094665884341,0.28094665884341,*,Higher in High,"NK Cells
(quanTIseq)",NK Cells,0.28094665884341
ACC,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.393135765550785,-0.109156565652232,0.00481480942493943,0.0417283483494751,0.283979199898553,0.283979199898553,*,Higher in High,"Endothelial Cells
(MCP-counter)",Endothelial Cells,0.283979199898553
ACC,NKT_xCell,NKt,xCell,IOBR::deconvo_tme(method='xcell'),NKT,-0.330679360138414,-0.22308806743411,0.0178988460322582,0.132962856239633,0.107591292704304,0.107591292704304,"",Higher in High,"NKt
(xCell)",NKt,0
ACC,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,-1.17988672645518,-2.10220149549532,0.024278335599504,0.157809181396776,-0.92231476904014,-0.92231476904014,"",Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,0
ACC,Cytotoxic_lymphocytes_MCPcounter,Cytotoxic Lymphocytes,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),CYTOTOXICLYMPHOCYTES,-0.394080232476839,-0.414290709176723,0.0309830277861034,0.17542610311117,-0.0202104766998842,-0.0202104766998842,"",Higher in Low,"Cytotoxic Lymphocytes
(MCP-counter)",Cytotoxic Lymphocytes,0
ACC,CD4+_memory_T-cells_xCell,CD4+ Memory t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD4MEMORYTCELLS,1.78028158799816,-0.628502794168813,0.0389663710240386,0.184204663022728,-2.40878438216697,-2.40878438216697,"",Higher in Low,"CD4+ Memory t-Cells
(xCell)",CD4+ Memory t-Cells,0
