Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,MethodDisplay
ACC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.227409333250168,-0.385273359906838,0.397744536967196,0.626748967342248,-0.15786402665667,-0.15786402665667,"","Adc
(xCell)"
BLCA,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.776713492836383,0.921545936051101,0,0,"","Adc
(xCell)"
BRCA,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.19302143865054,0.40512240949404,0,0,"","Adc
(xCell)"
CESC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.339365146322873,0.678730292645745,0,0,"","Adc
(xCell)"
CHOL,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,4.21422677187001,-0.385273359906838,0.0897931515798866,0.493907179994632,-4.59950013177685,-2.5,"","Adc
(xCell)"
COAD,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.0729365182981764,0.219227174915373,0,0,"","Adc
(xCell)"
DLBC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.690663533390432,0.857976320625104,0,0,"","Adc
(xCell)"
ESCA,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.381759212430866,2.53396495868715,0.652674418314644,0.848476743809037,2.91572417111801,2.5,"","Adc
(xCell)"
GBM,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.462500958960873,0.601251246649135,0,0,"","Adc
(xCell)"
HNSC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,0.133259103048355,0.953943390519872,0.555589762669565,0.749406705670095,0.820684287471517,0.820684287471517,"","Adc
(xCell)"
KICH,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,4.42762357597677,-0.385273359906838,0.161000932088915,0.322001864177831,-4.81289693588361,-2.5,"","Adc
(xCell)"
KIRC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.609290525526892,0.736816449474381,0,0,"","Adc
(xCell)"
KIRP,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.301423100378767,0.43538892276933,0,0,"","Adc
(xCell)"
LAML,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.616594221087826,0.901902595520611,0,0,"","Adc
(xCell)"
LGG,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.196678243154398,0.340908954800957,0,0,"","Adc
(xCell)"
LIHC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.924341845380018,0.992468110596254,0,0,"","Adc
(xCell)"
LUAD,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,2.33996085550243,0.652080295228297,0.579667572861898,0.837297605244963,-1.68788056027413,-1.68788056027413,"","Adc
(xCell)"
LUSC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.385273359906838,-0.385273359906838,0.0992116970996449,0.195912340708274,0,0,"","Adc
(xCell)"
