Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Cancer_chr
ACC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,DYSFUNCTION,39,40,-0.154103137837477,-0.295210432717038,-0.141107294879561,0.000290929340508366,0.00145464670254183,***,P=2.91e-04,FDR=0.00145,Dysfunction__TIDEpy,**,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.304838455098414,-1.7224875753973,-1.41764912029888,ACC
ACC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,MDSC,39,40,0.0203461024761047,0.0343246969924014,0.0139785945162967,0.000934761948751032,0.00233690487187758,***,P=9.35e-04,FDR=0.00234,MDSC__TIDEpy,**,MDSC,2,0.0239026364702057,0.0162518795004761,-0.218838319223129,0.64128339875338,0.860121717976509,ACC
ACC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,39,40,0.00319477897078264,0.00444384012379658,0.00124906115301394,0.243013362171342,0.303766702714177,ns,P=0.243,FDR=0.304,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,-1.19081586478672,-1.06594367334513,0.124872191441589,ACC
ACC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,TAMM2,39,40,-0.0035241798059831,0.00174892460434175,0.00527310441032485,0.324386593485185,0.324386593485185,ns,P=0.324,FDR=0.324,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.211806597925415,0.330607551430113,0.542414149355528,ACC
BLCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,DYSFUNCTION,203,203,-0.0786432132922456,-0.138508153040923,-0.0598649397486774,3.2019589828267e-14,1.60097949141335e-13,****,P=3.20e-14,FDR=1.60e-13,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.453277528491762,-0.148161817673118,-0.601439346164881,BLCA
BLCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,MDSC,203,203,0.0285194598703588,0.0370931526978239,0.0085736928274651,1.92028457241234e-08,4.80071143103084e-08,****,P=1.92e-08,FDR=4.80e-08,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,0.28407935217695,0.811630201124232,0.527550848947283,BLCA
BLCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,TAMM2,203,203,-0.00289690889772666,-0.00608253075461432,-0.00318562185688766,0.1352318362763,0.149021641066316,ns,P=0.135,FDR=0.149,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.147282820347412,-0.474969555752989,-0.327686735405577,BLCA
BLCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,212,219,0.0128387238264297,0.0139814166078666,0.00114269278143692,0.149021641066316,0.149021641066316,ns,P=0.149,FDR=0.149,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,-0.226683303814307,-0.112445060620046,0.114238243194261,BLCA
BRCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,DYSFUNCTION,547,548,-0.136344838537948,-0.262276760430688,-0.12593192189274,5.02535009083259e-52,2.51267504541629e-51,****,P=5.03e-52,FDR=2.51e-51,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.12642785342492,-1.39161601000583,-1.26518815658091,BRCA
BRCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,MDSC,547,548,0.0242669936886075,0.0357993516624955,0.011532357973888,9.8235700017266e-33,2.45589250043165e-32,****,P=9.82e-33,FDR=2.46e-32,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,0.0224193896091293,0.732020883611726,0.709601494002596,BRCA
BRCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,605,621,0.0221347125687237,0.024269764576027,0.00213505200730338,0.00037614383570828,0.000626906392847134,***,P=3.76e-04,FDR=6.27e-04,Tregs_quantiseq__quanTIseq,***,Tregs,3,0.0151061726920464,0.0100027166865107,0.702663096132241,0.916110309945919,0.213447213813678,BRCA
BRCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,TAMM2,547,548,-0.00120135958518582,-0.00207646263455027,-0.00087510304936445,0.0258451616601435,0.0323064520751793,*,P=0.0258,FDR=0.0323,TAM M2__TIDEpy,*,TAM M2,4,-0.00146509210153543,0.00972154656472386,0.0271286584489147,-0.0628881967436425,-0.0900168551925572,BRCA
CESC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,MDSC,152,152,0.0174369348111245,0.0359936380883975,0.018556703277273,1.37763249817303e-13,6.19134700949733e-13,****,P=1.38e-13,FDR=6.19e-13,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.39784331768469,0.743975588659613,1.1418189063443,CESC
CESC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,DYSFUNCTION,152,152,-0.0720512284353716,-0.157094545862469,-0.0850433174270969,2.47653880379893e-13,6.19134700949733e-13,****,P=2.48e-13,FDR=6.19e-13,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.519504590255985,-0.33489194707914,-0.854396537335125,CESC
CESC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,TAMM2,152,152,-0.02207826819836,-0.0102596644242692,0.0118186037740909,5.17483745305963e-06,8.62472908843272e-06,****,P=5.17e-06,FDR=8.62e-06,TAM M2__TIDEpy,****,TAM M2,4,-0.00146509210153543,0.00972154656472386,-2.12035975547581,-0.904647451326956,1.21571230414885,CESC
CESC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,155,154,0.017625826569651,0.0172211115860543,-0.000404714983596663,0.839038446551668,0.839038446551668,ns,P=0.839,FDR=0.839,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,0.251896955254412,0.211436448745967,-0.0404605065084452,CESC
CHOL,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,DYSFUNCTION,17,18,-0.129419205999404,-0.19983204432858,-0.0704128383291755,0.0720553814630122,0.35477265264229,ns,P=0.0721,FDR=0.355,Dysfunction__TIDEpy,"",T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.0568487655105763,-0.764258672279065,-0.707409906768488,CHOL
CHOL,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,MDSC,17,18,0.0221605918914888,0.0310669586698405,0.0089063667783517,0.141909061056916,0.35477265264229,ns,P=0.142,FDR=0.355,MDSC__TIDEpy,"",MDSC,2,0.0239026364702057,0.0162518795004761,-0.107190345502246,0.440830378998621,0.548020724500868,CHOL
CHOL,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,20,23,0.00957916275942797,0.00953472839505371,-4.44343643742576e-05,0.796547910277525,0.830132240640216,ns,P=0.797,FDR=0.83,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,-0.552550882508948,-0.556993112131844,-0.00444222962289664,CHOL
CHOL,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,TAMM2,17,18,-0.00962748821045598,-0.0119901359799093,-0.00236264776945327,0.830132240640216,0.830132240640216,ns,P=0.83,FDR=0.83,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.839619092968095,-1.08265118191848,-0.243032088950389,CHOL
COAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,DYSFUNCTION,228,228,-0.140841293088233,-0.225344948565493,-0.08450365547726,4.80424835909315e-26,2.40212417954657e-25,****,P=4.80e-26,FDR=2.40e-25,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.171601951922919,-1.02057671932688,-0.848974767403962,COAD
COAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,MDSC,228,228,0.038155607630211,0.0444433407708192,0.00628773314060825,1.64531250486772e-07,4.11328126216929e-07,****,P=1.65e-07,FDR=4.11e-07,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,0.877004481825488,1.26389715724952,0.386892675424033,COAD
COAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,264,257,0.014227629540796,0.0196769935455479,0.00544936400475183,1.50380151360216e-05,2.50633585600361e-05,****,P=1.50e-05,FDR=2.51e-05,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-0.08783045434399,0.456957944201847,0.544788398545837,COAD
COAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,TAMM2,228,228,0.00556168884838243,0.00654381694935265,0.000982128100970225,0.12052714950647,0.150658936883088,ns,P=0.121,FDR=0.151,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,0.722804844181442,0.82383075548387,0.101025911302428,COAD
DLBC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,24,24,0,0.0301528388658289,0.0301528388658289,0.0791790660668634,0.395895330334317,ns,P=0.0792,FDR=0.396,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,-1.51020699330793,1.50425795764803,3.01446495095596,DLBC
DLBC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,TAMM2,24,24,0.0103235592924978,0.00192226548423379,-0.00840129380826402,0.235768442708791,0.549227689646953,ns,P=0.236,FDR=0.549,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,1.21263127379446,0.348438138234175,-0.864193135560283,DLBC
DLBC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,MDSC,24,24,0.00729574506917232,0.0024576521627357,-0.00483809290643662,0.439382151717562,0.549227689646953,ns,P=0.439,FDR=0.549,MDSC__TIDEpy,"",MDSC,2,0.0239026364702057,0.0162518795004761,-1.02184435963526,-1.31953872208084,-0.29769436244558,DLBC
DLBC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,DYSFUNCTION,24,24,0.0365730128865952,0.037900930402179,0.0013279175155838,0.718216129533986,0.718216129533986,ns,P=0.718,FDR=0.718,Dysfunction__TIDEpy,"",T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.61080933310897,1.62415039459983,0.013341061490858,DLBC
ESCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,DYSFUNCTION,81,81,-0.0512015136374898,-0.130441264411679,-0.0792397507741892,1.66213440632117e-11,8.31067203160586e-11,****,P=1.66e-11,FDR=8.31e-11,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.728973419397156,-0.0671169816952349,-0.796090401092391,ESCA
ESCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,MDSC,81,81,0.0181101918524983,0.0376610241141104,0.0195508322616121,8.67199691292214e-11,2.16799922823053e-10,****,P=8.67e-11,FDR=2.17e-10,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.356416906582265,0.846572093000176,1.20298899958244,ESCA
ESCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,TAMM2,81,81,-0.0179907606127625,-0.0099197854799562,0.0080709751328063,1.19708940236999e-05,1.99514900394999e-05,****,P=1.20e-05,FDR=2.00e-05,TAM M2__TIDEpy,****,TAM M2,4,-0.00146509210153543,0.00972154656472386,-1.69990118354141,-0.869686044512705,0.83021513902871,ESCA
