Cancer,Feature_Display,FDR,FDR_star,Group,Median_Value,Group_X
BRCA,T-cell dysfunction,2.51267504541629e-51,****,Low,-0.136344838537948,1
BRCA,T-cell dysfunction,2.51267504541629e-51,****,High,-0.262276760430688,2
BRCA,MDSC,2.45589250043165e-32,****,Low,0.0242669936886075,1
BRCA,MDSC,2.45589250043165e-32,****,High,0.0357993516624955,2
BRCA,Tregs,0.000626906392847134,***,Low,0.0221347125687237,1
BRCA,Tregs,0.000626906392847134,***,High,0.024269764576027,2
BRCA,TAM M2,0.0323064520751793,*,Low,-0.00120135958518582,1
BRCA,TAM M2,0.0323064520751793,*,High,-0.00207646263455027,2
GBM,MDSC,1.45141779089394e-09,****,Low,0.0073516648610786,1
GBM,MDSC,1.45141779089394e-09,****,High,0.0289287868409986,2
GBM,T-cell dysfunction,5.38327957086424e-06,****,Low,-0.0677177263508925,1
GBM,T-cell dysfunction,5.38327957086424e-06,****,High,-0.161664987707184,2
GBM,Tregs,0.0174533365868912,*,Low,0,1
GBM,Tregs,0.0174533365868912,*,High,0,2
GBM,TAM M2,0.0196297903459211,*,Low,-0.00280325862736689,1
GBM,TAM M2,0.0196297903459211,*,High,0.00310647006763842,2
HNSC,T-cell dysfunction,2.4060154583156e-23,****,Low,-0.0184416051052189,1
HNSC,T-cell dysfunction,2.4060154583156e-23,****,High,-0.0642809656783163,2
HNSC,MDSC,1.45130604984295e-21,****,Low,0.0153993790802007,1
HNSC,MDSC,1.45130604984295e-21,****,High,0.0275779732017864,2
HNSC,TAM M2,0.00143285400264273,**,Low,-0.0196031601769294,1
HNSC,TAM M2,0.00143285400264273,**,High,-0.0141770655805936,2
HNSC,Tregs,0.00620268615838589,**,Low,0.0200367987537625,1
HNSC,Tregs,0.00620268615838589,**,High,0.0253465547526235,2
KIRC,Tregs,6.87337851013775e-06,****,Low,0.013323914599485,1
KIRC,Tregs,6.87337851013775e-06,****,High,0.0188361990340208,2
KIRC,TAM M2,0.00399401274763711,**,Low,-0.0117563586080741,1
KIRC,TAM M2,0.00399401274763711,**,High,-0.0137861068442685,2
KIRC,T-cell dysfunction,0.0054848661258005,**,Low,-0.0740723091809764,1
KIRC,T-cell dysfunction,0.0054848661258005,**,High,-0.0884291563127808,2
KIRC,MDSC,0.00676924429224313,**,Low,0.0145808830187733,1
KIRC,MDSC,0.00676924429224313,**,High,0.0185793347061559,2
KIRP,T-cell dysfunction,7.96866728258093e-11,****,Low,-0.0991377058195636,1
KIRP,T-cell dysfunction,7.96866728258093e-11,****,High,-0.172762181615818,2
KIRP,MDSC,1.31367804791139e-05,****,Low,-0.000398714094730744,1
KIRP,MDSC,1.31367804791139e-05,****,High,0.00947128510918472,2
KIRP,TAM M2,6.27069336380015e-05,****,Low,-0.00629605418060469,1
KIRP,TAM M2,6.27069336380015e-05,****,High,-0.00912887772356658,2
KIRP,Tregs,0.00012534965357047,***,Low,0.00277135476729817,1
KIRP,Tregs,0.00012534965357047,***,High,0.00480788638565752,2
LUAD,MDSC,8.19616597703251e-22,****,Low,0.00127218035947591,1
LUAD,MDSC,8.19616597703251e-22,****,High,0.0130782757724466,2
LUAD,T-cell dysfunction,3.19858870766447e-17,****,Low,-0.0798056924969114,1
LUAD,T-cell dysfunction,3.19858870766447e-17,****,High,-0.203762030609039,2
LUAD,TAM M2,0.00046247269793815,***,Low,-0.00513745632271483,1
LUAD,TAM M2,0.00046247269793815,***,High,-0.00775092640165545,2
LUAD,Tregs,0.0354084896232968,*,Low,0.0383343344255269,1
LUAD,Tregs,0.0354084896232968,*,High,0.0413434118222636,2
LUSC,T-cell dysfunction,4.28492870782968e-30,****,Low,-0.176545741095776,1
LUSC,T-cell dysfunction,4.28492870782968e-30,****,High,-0.377800408414211,2
LUSC,MDSC,1.76764325900502e-24,****,Low,0.009721934861977,1
LUSC,MDSC,1.76764325900502e-24,****,High,0.0249233668249251,2
LUSC,TAM M2,6.91528078321699e-10,****,Low,-0.00905881620962633,1
LUSC,TAM M2,6.91528078321699e-10,****,High,-0.00122002225990813,2
LUSC,Tregs,1.18690558984449e-05,****,Low,0.0262539350508374,1
LUSC,Tregs,1.18690558984449e-05,****,High,0.0187157857036203,2
TGCT,T-cell dysfunction,3.63509761432927e-06,****,Low,-0.197759289442901,1
TGCT,T-cell dysfunction,3.63509761432927e-06,****,High,-0.324735076289693,2
TGCT,TAM M2,0.000172124970743625,***,Low,0.00466536328097895,1
TGCT,TAM M2,0.000172124970743625,***,High,0.0122038266045341,2
TGCT,MDSC,0.000172124970743625,***,Low,0.0275599098330191,1
TGCT,MDSC,0.000172124970743625,***,High,0.0496479040216954,2
TGCT,Tregs,0.618414929267727,"",Low,0.0210518683592178,1
TGCT,Tregs,0.618414929267727,"",High,0.0189956452403442,2
