Cancer,Feature,Display,Method,Feature_Label,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,NegLogFDR,SignedNegLogFDR,SignedNegLogFDR_cap,Direction
ACC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,39,40,-0.154103137837477,-0.295210432717038,-0.141107294879561,0.000290929340508366,0.00145464670254183,**,2.83724247318518,-2.83724247318518,-2.83724247318518,Low
ACC,MDSC,MDSC,TIDEpy,MDSC,39,40,0.0203461024761047,0.0343246969924014,0.0139785945162967,0.000934761948751032,0.00233690487187758,**,2.63135896602433,2.63135896602433,2.63135896602433,High
ACC,Tregs_xCell,Tregs,xCell,Tregs (xCell),39,40,0,0,0,0.11374607171008,0.189576786183467,"",0.722214843420161,0,0,NS
ACC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,39,40,0.00319477897078264,0.00444384012379658,0.00124906115301394,0.243013362171342,0.303766702714177,"",0.51745983290913,0.51745983290913,0.51745983290913,NS
ACC,TAM M2,TAM M2,TIDEpy,TAM M2,39,40,-0.0035241798059831,0.00174892460434175,0.00527310441032485,0.324386593485185,0.324386593485185,"",0.488937102968033,0.488937102968033,0.488937102968033,NS
BLCA,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,203,203,-0.0786432132922456,-0.138508153040923,-0.0598649397486774,3.2019589828267e-14,1.60097949141335e-13,****,12.7956142313681,-12.7956142313681,-6,Low
BLCA,MDSC,MDSC,TIDEpy,MDSC,203,203,0.0285194598703588,0.0370931526978239,0.0085736928274651,1.92028457241234e-08,4.80071143103084e-08,****,7.3186943985252,7.3186943985252,6,High
BLCA,Tregs_xCell,Tregs,xCell,Tregs (xCell),212,219,1.35052203455699e-23,0,-1.35052203455699e-23,0.0998729028566214,0.149021641066316,"",0.826750658344679,-0.826750658344679,-0.826750658344679,NS
BLCA,TAM M2,TAM M2,TIDEpy,TAM M2,203,203,-0.00289690889772666,-0.00608253075461432,-0.00318562185688766,0.1352318362763,0.149021641066316,"",0.826750658344679,-0.826750658344679,-0.826750658344679,NS
BLCA,Tregs_quantiseq,Tregs,quanTIseq,Tregs,212,219,0.0128387238264297,0.0139814166078666,0.00114269278143692,0.149021641066316,0.149021641066316,"",0.826750658344679,0.826750658344679,0.826750658344679,NS
BRCA,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,547,548,-0.136344838537948,-0.262276760430688,-0.12593192189274,5.02535009083259e-52,2.51267504541629e-51,****,50.5998636734082,-50.5998636734082,-6,Low
BRCA,MDSC,MDSC,TIDEpy,MDSC,547,548,0.0242669936886075,0.0357993516624955,0.011532357973888,9.8235700017266e-33,2.45589250043165e-32,****,31.6097906470957,31.6097906470957,6,High
