Cancer,Feature_Display,FDR,FDR_star,Group,Median_Value,Group_X
KIRC,Endothelial cells,8.93296939091859e-14,****,Low,45.3277683333333,1
KIRC,Endothelial cells,8.93296939091859e-14,****,High,75.9929333333334,2
KIRC,CAF,2.66339199045703e-13,****,Low,0.0806051513517557,1
KIRC,CAF,2.66339199045703e-13,****,High,0.101346152186789,2
KIRC,Exclusion score,1.10714936893306e-08,****,Low,0.587571420644893,1
KIRC,Exclusion score,1.10714936893306e-08,****,High,0.7427124767835,2
KIRC,Fibroblasts,2.43786252085399e-06,****,Low,85.8457625,1
KIRC,Fibroblasts,2.43786252085399e-06,****,High,125.136825,2
KIRC,TGF-beta signaling,0.00263021787068644,**,Low,0.256212650067416,1
KIRC,TGF-beta signaling,0.00263021787068644,**,High,0.291566097754399,2
KIRC,EMT,0.9412977784715,"",Low,0.197695406615745,1
KIRC,EMT,0.9412977784715,"",High,0.195262526318553,2
KIRP,Endothelial cells,1.05767614128127e-12,****,Low,5.06649666666667,1
KIRP,Endothelial cells,1.05767614128127e-12,****,High,7.94405166666667,2
KIRP,Fibroblasts,2.30447275111077e-10,****,Low,25.602725,1
KIRP,Fibroblasts,2.30447275111077e-10,****,High,50.32174375,2
KIRP,CAF,2.97583500807145e-10,****,Low,0.0514573467292951,1
KIRP,CAF,2.97583500807145e-10,****,High,0.0673454297385455,2
KIRP,Exclusion score,3.51158564355581e-09,****,Low,0.342998763612772,1
KIRP,Exclusion score,3.51158564355581e-09,****,High,0.476873028489421,2
KIRP,TGF-beta signaling,9.33314473933204e-05,****,Low,0.366805196334353,1
KIRP,TGF-beta signaling,9.33314473933204e-05,****,High,0.40553440029226,2
KIRP,EMT,0.0162069917567145,*,Low,0.13868925718581,1
KIRP,EMT,0.0162069917567145,*,High,0.175062181049648,2
LGG,Fibroblasts,9.72735092170456e-23,****,Low,18.3099875,1
LGG,Fibroblasts,9.72735092170456e-23,****,High,27.366775,2
LGG,Exclusion score,4.18857345046049e-08,****,Low,0.85169131392428,1
LGG,Exclusion score,4.18857345046049e-08,****,High,0.922368130367151,2
LGG,EMT,4.22081272479007e-06,****,Low,-0.0591415796340146,1
LGG,EMT,4.22081272479007e-06,****,High,-0.0200250912556296,2
LGG,Endothelial cells,6.9400392678995e-06,****,Low,11.65884,1
LGG,Endothelial cells,6.9400392678995e-06,****,High,13.1816433333333,2
LGG,CAF,1.87158106812722e-05,****,Low,0.0903803783671724,1
LGG,CAF,1.87158106812722e-05,****,High,0.0959728090701079,2
LGG,TGF-beta signaling,0.00144845772538373,**,Low,0.612835287056794,1
LGG,TGF-beta signaling,0.00144845772538373,**,High,0.638638986663675,2
LIHC,Exclusion score,5.38006240522024e-13,****,Low,0.0661488263133406,1
LIHC,Exclusion score,5.38006240522024e-13,****,High,0.115115567337179,2
LIHC,CAF,4.2797951628846e-05,****,Low,0.0215494806674075,1
LIHC,CAF,4.2797951628846e-05,****,High,0.0269354882393089,2
LIHC,Fibroblasts,4.2797951628846e-05,****,Low,24.28068125,1
LIHC,Fibroblasts,4.2797951628846e-05,****,High,36.11924375,2
LIHC,Endothelial cells,0.000127414216719818,***,Low,5.92051333333333,1
LIHC,Endothelial cells,0.000127414216719818,***,High,7.31172833333333,2
LIHC,TGF-beta signaling,0.000177009667432149,***,Low,0.39057960061817,1
LIHC,TGF-beta signaling,0.000177009667432149,***,High,0.418652306409833,2
LIHC,EMT,0.0212347709156014,*,Low,0.0207382962443285,1
LIHC,EMT,0.0212347709156014,*,High,0.0487981434572295,2
LUAD,Exclusion score,6.81738454074845e-21,****,Low,0.26535025428362,1
LUAD,Exclusion score,6.81738454074845e-21,****,High,0.563168015865765,2
LUAD,CAF,6.35598441464375e-20,****,Low,0.0205673982830664,1
LUAD,CAF,6.35598441464375e-20,****,High,0.0384525320965926,2
LUAD,Fibroblasts,0.00104657957676241,**,Low,195.02011875,1
LUAD,Fibroblasts,0.00104657957676241,**,High,260.060275,2
LUAD,EMT,0.832404422457592,"",Low,0.27157800356605,1
LUAD,EMT,0.832404422457592,"",High,0.278547836831338,2
LUAD,Endothelial cells,0.832404422457592,"",Low,15.887945,1
LUAD,Endothelial cells,0.832404422457592,"",High,15.9202133333333,2
LUAD,TGF-beta signaling,0.832404422457592,"",Low,0.336024668647038,1
LUAD,TGF-beta signaling,0.832404422457592,"",High,0.334372337817071,2
LUSC,Exclusion score,3.14007755543251e-14,****,Low,0.435197249514187,1
LUSC,Exclusion score,3.14007755543251e-14,****,High,0.754559601987936,2
LUSC,EMT,1.78585788883345e-12,****,Low,0.420489785505028,1
LUSC,EMT,1.78585788883345e-12,****,High,0.298898849429787,2
LUSC,TGF-beta signaling,2.88436354357371e-08,****,Low,0.272642698054312,1
LUSC,TGF-beta signaling,2.88436354357371e-08,****,High,0.33743636558351,2
LUSC,Fibroblasts,3.62785236025564e-05,****,Low,384.3254625,1
LUSC,Fibroblasts,3.62785236025564e-05,****,High,227.2489375,2
LUSC,CAF,0.000155210603015434,***,Low,0.0299093616986892,1
LUSC,CAF,0.000155210603015434,***,High,0.0374324164064526,2
LUSC,Endothelial cells,0.644531238406503,"",Low,10.2960666666667,1
LUSC,Endothelial cells,0.644531238406503,"",High,10.00332,2
MESO,CAF,2.87288530326384e-06,****,Low,0.0671627741483078,1
MESO,CAF,2.87288530326384e-06,****,High,0.137043696939364,2
MESO,Exclusion score,2.87288530326384e-06,****,Low,0.488779570774131,1
MESO,Exclusion score,2.87288530326384e-06,****,High,1.11676068131154,2
MESO,Fibroblasts,0.00161341722263676,**,Low,623.3490875,1
MESO,Fibroblasts,0.00161341722263676,**,High,1311.67373125,2
MESO,Endothelial cells,0.0396189718004881,*,Low,13.2983166666667,1
MESO,Endothelial cells,0.0396189718004881,*,High,16.6501516666667,2
MESO,EMT,0.0396189718004881,*,Low,0.412641084170164,1
MESO,EMT,0.0396189718004881,*,High,0.538765852046382,2
MESO,TGF-beta signaling,0.780336934994424,"",Low,0.186251739843223,1
MESO,TGF-beta signaling,0.780336934994424,"",High,0.202103652064222,2
THCA,Endothelial cells,8.69983304039209e-16,****,Low,18.6720633333333,1
THCA,Endothelial cells,8.69983304039209e-16,****,High,28.1229333333333,2
THCA,CAF,3.683481071596e-10,****,Low,0.0609118629812948,1
THCA,CAF,3.683481071596e-10,****,High,0.077551652798388,2
THCA,Exclusion score,1.85825964636472e-08,****,Low,0.586471702378295,1
THCA,Exclusion score,1.85825964636472e-08,****,High,0.694367239644139,2
THCA,TGF-beta signaling,2.83116486431661e-08,****,Low,0.524951116314876,1
THCA,TGF-beta signaling,2.83116486431661e-08,****,High,0.563163392038104,2
THCA,Fibroblasts,0.0499027151082872,*,Low,62.2612625,1
THCA,Fibroblasts,0.0499027151082872,*,High,70.23795625,2
THCA,EMT,0.754744140000735,"",Low,0.214265947513676,1
THCA,EMT,0.754744140000735,"",High,0.207589010694085,2
