Model,Training,Testing,GSE72094,GSE68465,Average,ExternalMean,Train_Test_Gap,Complexity,FeatureN,IsSelected
StepCox[backward] + RSF,0.868598624376569,0.726975222066386,0.642973017712299,0.622853777502605,0.715350160414465,0.632913397607452,0.141623402310183,2,30,TRUE
RSF,0.893568471493301,0.7054698457223,0.636517132925012,0.625556847525709,0.715278074416581,0.631036990225361,0.188098625771001,1,118,FALSE
GBM,0.78042181438863,0.702664796633941,0.635060420460189,0.629362286887845,0.686877329592651,0.632211353674017,0.077757017754689,1,118,FALSE
StepCox[backward] + GBM,0.779867653290739,0.700327255726975,0.630624068862771,0.632291871158696,0.685777712259795,0.631457970010733,0.0795403975637641,2,30,FALSE
StepCox[both] + RSF,0.867327313622584,0.681626928471248,0.622545936103294,0.568943386539013,0.685110891184035,0.595744661321154,0.185700385151336,2,22,FALSE
StepCox[forward] + RSF,0.868305244971803,0.65684899485741,0.630988246978977,0.573216955346491,0.68233986053867,0.602102601162734,0.211456250114393,2,22,FALSE
CoxBoost + RSF,0.799621866544969,0.719027582982702,0.590332726369806,0.600866794521375,0.677462242604713,0.595599760445591,0.0805942835622671,2,5,FALSE
RSF + GBM,0.758711738435962,0.697522206638616,0.617083264360205,0.633107322450582,0.676606132971341,0.625095293405394,0.061189531797346,2,18,FALSE
Lasso + RSF,0.783420803859569,0.706404862085087,0.607018705512332,0.603917186391024,0.675190389462003,0.605467945951678,0.077015941774482,2,4,FALSE
StepCox[forward] + GBM,0.756462496332757,0.688172043010753,0.632709816255587,0.589193760287522,0.666634528971655,0.610951788271555,0.068290453322004,2,22,FALSE
StepCox[both] + GBM,0.756299507774554,0.69518466573165,0.629167356397947,0.584285951586355,0.666234370372627,0.606726653992151,0.061114842042904,2,22,FALSE
CoxBoost + GBM,0.70332822635851,0.706404862085087,0.609435523919881,0.622128931909817,0.660324386068324,0.615782227914849,0.00307663572657702,2,5,FALSE
Lasso + GBM,0.69270137236366,0.703132304815334,0.621883794073829,0.617251325108349,0.658742199090293,0.619567559591089,0.0104309324516739,2,4,FALSE
RSF + Enet[α=0.1],0.635003422759722,0.686769518466573,0.635854990895547,0.647181407710545,0.651202334958097,0.641518199303046,0.051766095706851,2,13,FALSE
RSF + Enet[α=0.2],0.635753170127457,0.68630201028518,0.636450918722066,0.646109240271213,0.651153834851479,0.64128007949664,0.050548840157723,2,9,FALSE
