Model,Training,Testing,GSE72094,GSE68465,Average,ExternalMean,Train_Test_Gap,Complexity,FeatureN,IsSelected
StepCox[backward] + RSF,0.868598624376569,0.726975222066386,0.642973017712299,0.622853777502605,0.715350160414465,0.632913397607452,0.141623402310183,2,30,TRUE
RSF,0.893568471493301,0.7054698457223,0.636517132925012,0.625556847525709,0.715278074416581,0.631036990225361,0.188098625771001,1,118,FALSE
GBM,0.78042181438863,0.702664796633941,0.635060420460189,0.629362286887845,0.686877329592651,0.632211353674017,0.077757017754689,1,118,FALSE
StepCox[backward] + GBM,0.779867653290739,0.700327255726975,0.630624068862771,0.632291871158696,0.685777712259795,0.631457970010733,0.0795403975637641,2,30,FALSE
StepCox[both] + RSF,0.867327313622584,0.681626928471248,0.622545936103294,0.568943386539013,0.685110891184035,0.595744661321154,0.185700385151336,2,22,FALSE
StepCox[forward] + RSF,0.868305244971803,0.65684899485741,0.630988246978977,0.573216955346491,0.68233986053867,0.602102601162734,0.211456250114393,2,22,FALSE
CoxBoost + RSF,0.799621866544969,0.719027582982702,0.590332726369806,0.600866794521375,0.677462242604713,0.595599760445591,0.0805942835622671,2,5,FALSE
RSF + GBM,0.758711738435962,0.697522206638616,0.617083264360205,0.633107322450582,0.676606132971341,0.625095293405394,0.061189531797346,2,18,FALSE
Lasso + RSF,0.783420803859569,0.706404862085087,0.607018705512332,0.603917186391024,0.675190389462003,0.605467945951678,0.077015941774482,2,4,FALSE
StepCox[forward] + GBM,0.756462496332757,0.688172043010753,0.632709816255587,0.589193760287522,0.666634528971655,0.610951788271555,0.068290453322004,2,22,FALSE
StepCox[both] + GBM,0.756299507774554,0.69518466573165,0.629167356397947,0.584285951586355,0.666234370372627,0.606726653992151,0.061114842042904,2,22,FALSE
CoxBoost + GBM,0.70332822635851,0.706404862085087,0.609435523919881,0.622128931909817,0.660324386068324,0.615782227914849,0.00307663572657702,2,5,FALSE
Lasso + GBM,0.69270137236366,0.703132304815334,0.621883794073829,0.617251325108349,0.658742199090293,0.619567559591089,0.0104309324516739,2,4,FALSE
RSF + Enet[α=0.1],0.635003422759722,0.686769518466573,0.635854990895547,0.647181407710545,0.651202334958097,0.641518199303046,0.051766095706851,2,13,FALSE
RSF + Enet[α=0.2],0.635753170127457,0.68630201028518,0.636450918722066,0.646109240271213,0.651153834851479,0.64128007949664,0.050548840157723,2,9,FALSE
Enet[α=0.2],0.636372526648629,0.692847124824684,0.635259063069028,0.638966490992283,0.650861301383656,0.637112777030656,0.0564745981760551,1,17,FALSE
RSF + Enet[α=0.5],0.636242135802067,0.686769518466573,0.633967886111571,0.64567131272557,0.650662713276445,0.639819599418571,0.050527382664506,2,8,FALSE
RSF + Enet[α=0.4],0.636079147243864,0.685834502103787,0.634696242343983,0.645792120324368,0.650600503004001,0.640244181334176,0.049755354859923,2,8,FALSE
RSF + Enet[α=0.3],0.635590181569254,0.685366993922394,0.635259063069028,0.646003533622265,0.650554943045735,0.640631298345647,0.04977681235314,2,9,FALSE
RSF + Enet[α=0.6],0.636144342667145,0.686769518466573,0.633371958285052,0.645490101327374,0.650443980186536,0.639431029806213,0.0506251757994279,2,7,FALSE
RSF + Enet[α=0.7],0.636046549532223,0.686769518466573,0.633140208574739,0.645429697527975,0.650346493525377,0.639284953051357,0.05072296893435,2,7,FALSE
RSF + Enet[α=0.8],0.636013951820582,0.686769518466573,0.632908458864427,0.645384394678425,0.650269080957502,0.639146426771426,0.050755566645991,2,7,FALSE
RSF + Lasso,0.636046549532223,0.686769518466573,0.632709816255587,0.645278688029477,0.650201143070965,0.638994252142532,0.05072296893435,2,7,FALSE
RSF + CoxBoost,0.636242135802067,0.685834502103787,0.633835457705678,0.643557179746606,0.649867318839535,0.638696318726142,0.04959236630172,2,8,FALSE
Enet[α=0.1],0.636307331225348,0.690509583917719,0.634000993213044,0.638105736850848,0.64973091130174,0.636053365031946,0.054202252692371,1,20,FALSE
RSF + Enet[α=0.9],0.636307331225348,0.684899485741001,0.63264360205264,0.645037072831881,0.649721872962718,0.638840337442261,0.048592154515653,2,7,FALSE
Enet[α=0.3],0.636144342667145,0.686769518466573,0.633901671908624,0.638120837800698,0.64873409271076,0.636011254854661,0.0506251757994279,1,13,FALSE
Lasso + Enet[α=0.1],0.628646868989797,0.696119682094437,0.635821883794074,0.632276770208846,0.648216301271789,0.63404932700146,0.0674728131046399,2,4,FALSE
RSF + Ridge,0.63030935228347,0.683029453015428,0.633703029299785,0.644025309191948,0.647766785947658,0.638864169245867,0.052720100731958,2,18,FALSE
Lasso + Ridge,0.627994914756984,0.693782141187471,0.63588809799702,0.633197928149681,0.647715770522789,0.63454301307335,0.065787226430487,2,4,FALSE
Lasso + Enet[α=0.2],0.629168432376047,0.694249649368864,0.635424598576395,0.631642530315157,0.647621302659116,0.633533564445776,0.065081216992817,2,4,FALSE
Lasso + Enet[α=0.3],0.629201030087688,0.693782141187471,0.636152954808807,0.63085728092297,0.647498351751734,0.633505117865888,0.0645811110997829,2,4,FALSE
Enet[α=0.4],0.630765720246439,0.692847124824684,0.633835457705678,0.632291871158696,0.647435043483874,0.633063664432187,0.0620814045782451,1,9,FALSE
Lasso + Enet[α=0.4],0.629592202627376,0.693314633006078,0.635755669591127,0.630630766675224,0.647323317974951,0.633193218133176,0.063722430378702,2,4,FALSE
CoxBoost + survival-SVM,0.631417674479252,0.684899485741001,0.634232742923357,0.637894323552952,0.647111056674141,0.636063533238154,0.053481811261749,2,5,FALSE
Lasso + plsRcox,0.630211559148548,0.690977092099112,0.636550240026486,0.629437791637094,0.64679417072781,0.63299401583179,0.060765532950564,2,4,FALSE
Lasso + Enet[α=0.5],0.62982038660886,0.691444600280505,0.636450918722066,0.629392488787545,0.646777098599744,0.632921703754805,0.0616242136716451,2,4,FALSE
Enet[α=0.5],0.631189490497767,0.690509583917719,0.63426585002483,0.631023391371317,0.646747078952908,0.632644620698074,0.059320093419952,1,7,FALSE
Enet[α=0.6],0.631417674479252,0.690509583917719,0.634034100314517,0.629498195436493,0.646364888536995,0.631766147875505,0.059091909438467,1,6,FALSE
Lasso + CoxBoost,0.630146363725267,0.690042075736325,0.636053633504387,0.628426027997161,0.646167025240785,0.632239830750774,0.059895712011058,2,4,FALSE
Lasso + Enet[α=0.9],0.630146363725267,0.690042075736325,0.636053633504387,0.628426027997161,0.646167025240785,0.632239830750774,0.059895712011058,2,4,FALSE
Lasso + Enet[α=0.7],0.630015972878704,0.689574567554932,0.6362853832147,0.628712946044306,0.646147217423161,0.632499164629503,0.0595585946762279,2,4,FALSE
Lasso + Enet[α=0.8],0.630113766013626,0.689574567554932,0.636152954808807,0.62850153274641,0.646085705280944,0.632327243777608,0.059460801541306,2,4,FALSE
Lasso + Enet[α=0.6],0.630048570590345,0.689107059373539,0.636119847707333,0.628954561241902,0.64605750972828,0.632537204474618,0.059058488783194,2,4,FALSE
CoxBoost + SuperPC,0.631156892786127,0.682094436652641,0.63264360205264,0.637441295057459,0.645834056637217,0.63504244855505,0.0509375438665141,2,5,FALSE
CoxBoost + Enet[α=0.1],0.634221077680347,0.680691912108462,0.632246316834961,0.635931200072485,0.645772626674064,0.634088758453723,0.0464708344281151,2,5,FALSE
CoxBoost + Enet[α=0.3],0.635948756397301,0.681159420289855,0.631782817414335,0.634194590839764,0.645771396235314,0.63298870412705,0.045210663892554,2,5,FALSE
CoxBoost + Ridge,0.633829905140659,0.679756895745676,0.632345638139381,0.637124175110615,0.645764153534083,0.634734906624998,0.045926990605017,2,5,FALSE
CoxBoost + Enet[α=0.2],0.635720572415816,0.679756895745676,0.63121999668929,0.635387565877894,0.645521257682169,0.633303781283592,0.04403632332986,2,5,FALSE
Lasso + survival-SVM,0.627016983407765,0.684899485741001,0.635060420460189,0.634511710786609,0.645372150098891,0.634786065623399,0.057882502333236,2,4,FALSE
CoxBoost + Enet[α=0.4],0.635524986145973,0.680691912108462,0.631584174805496,0.633303634798629,0.64527617696464,0.632443904802062,0.0451669259624891,2,5,FALSE
CoxBoost,0.63288457150308,0.689107059373539,0.633173315676213,0.625058516180668,0.645055865683375,0.62911591592844,0.056222487870459,1,5,FALSE
CoxBoost + Enet[α=0.5],0.635948756397301,0.680691912108462,0.63092203277603,0.632352274958095,0.644978744059972,0.631637153867063,0.0447431557111611,2,5,FALSE
Enet[α=0.8],0.630765720246439,0.690042075736325,0.631882138718755,0.625149121879766,0.644459764145321,0.628515630299261,0.0592763554898861,1,4,FALSE
Ridge,0.634710043354957,0.681626928471248,0.632908458864427,0.627610576705275,0.644214001848977,0.630259517784851,0.046916885116291,1,118,FALSE
Enet[α=0.9],0.630733122534798,0.690509583917719,0.631352425095183,0.624152459189683,0.644186897684346,0.627752442142433,0.059776461382921,1,4,FALSE
CoxBoost + plsRcox,0.636274733513707,0.678821879382889,0.630061248137726,0.631144198970115,0.644075515001109,0.63060272355392,0.042547145869182,2,5,FALSE
RSF + survival-SVM,0.626430224598233,0.676951846657317,0.631551067704023,0.641276936319295,0.644052518819717,0.636414002011659,0.050521622059084,2,18,FALSE
CoxBoost + Enet[α=0.6],0.636535515206833,0.678354371201496,0.630590961761298,0.630630766675224,0.644027903711213,0.630610864218261,0.0418188559946629,2,5,FALSE
CoxBoost + Enet[α=0.7],0.636568112918473,0.678354371201496,0.630557854659825,0.630540160976126,0.64400512493898,0.630549007817975,0.041786258283023,2,5,FALSE
CoxBoost + Enet[α=0.8],0.636665906053395,0.678354371201496,0.630557854659825,0.630147536280032,0.643931417048687,0.630352695469928,0.041688465148101,2,5,FALSE
CoxBoost + Enet[α=0.9],0.636698503765036,0.678354371201496,0.630458533355405,0.630117334380333,0.643907185675568,0.630287933867869,0.04165586743646,2,5,FALSE
CoxBoost + Lasso,0.636568112918473,0.678354371201496,0.630458533355405,0.630117334380333,0.643874587963927,0.630287933867869,0.041786258283023,2,5,FALSE
Lasso,0.630733122534798,0.690509583917719,0.630789604370137,0.623095392700201,0.643781925880714,0.626942498535169,0.059776461382921,1,4,FALSE
Enet[α=0.7],0.630276754571829,0.68770453482936,0.631551067704023,0.62551154467616,0.643760975445343,0.628531306190091,0.057427780257531,1,6,FALSE
Lasso + SuperPC,0.625973856635264,0.680224403927069,0.633636815096838,0.633530149046375,0.643341306176386,0.633583482071607,0.054250547291805,2,4,FALSE
RSF + SuperPC,0.615901163738306,0.684899485741001,0.629034927992054,0.63973663943462,0.642393054226495,0.634385783713337,0.0689983220026951,2,18,FALSE
RSF + plsRcox,0.633080157772924,0.671809256661992,0.626220824366827,0.638317150148744,0.642356847237622,0.632268987257786,0.038729098889068,2,18,FALSE
StepCox[backward] + survival-SVM,0.613456335365257,0.678354371201496,0.620427081609005,0.625330333277963,0.63439203036343,0.622878707443484,0.064898035836239,2,30,FALSE
Lasso + StepCox[both],0.632395605828471,0.679289387564282,0.622512829001821,0.601485933465215,0.633920938964947,0.611999381233518,0.0468937817358111,2,2,FALSE
Lasso + StepCox[backward],0.632395605828471,0.679289387564282,0.622512829001821,0.601485933465215,0.633920938964947,0.611999381233518,0.0468937817358111,2,2,FALSE
Lasso + StepCox[forward],0.632395605828471,0.679289387564282,0.622512829001821,0.601485933465215,0.633920938964947,0.611999381233518,0.0468937817358111,2,2,FALSE
CoxBoost + StepCox[both],0.637350457997849,0.662926601215521,0.619798046681013,0.610017970130321,0.632523269006176,0.614908008405667,0.0255761432176721,2,3,FALSE
CoxBoost + StepCox[backward],0.637350457997849,0.662926601215521,0.619798046681013,0.610017970130321,0.632523269006176,0.614908008405667,0.0255761432176721,2,3,FALSE
CoxBoost + StepCox[forward],0.637350457997849,0.662926601215521,0.619798046681013,0.610017970130321,0.632523269006176,0.614908008405667,0.0255761432176721,2,3,FALSE
RSF + StepCox[both],0.632167421846986,0.668536699392239,0.615295480880649,0.613219371498467,0.632304743404585,0.614257426189558,0.036369277545253,2,3,FALSE
