Cancer	Feature	P	FDR	Significance	P_label	FDR_label
ACC	BER	3.14946743640417e-05	4.04931527537678e-05	****	P < 0.001	P < 0.001
ACC	DNA damage checkpoint	1.39906905394784e-08	6.29581074276528e-08	****	P < 0.001	P < 0.001
ACC	FA	2.41419107755287e-06	5.43192992449396e-06	****	P < 0.001	P < 0.001
ACC	HR	8.25324147822021e-06	1.48558346607964e-05	****	P < 0.001	P < 0.001
ACC	MMR	5.0960221523703e-07	1.52880664571109e-06	****	P < 0.001	P < 0.001
ACC	NER	0.331133846719593	0.331133846719593	ns	P = 0.331	P = 0.331
ACC	NHEJ	1.3053799502486e-05	1.9580699253729e-05	****	P < 0.001	P < 0.001
ACC	Replication stress	2.0282540712329e-09	1.82542866410961e-08	****	P < 0.001	P < 0.001
ACC	TLS	0.000366102930352988	0.000411865796647112	***	P < 0.001	P < 0.001
BLCA	BER	2.13002926747184e-12	2.39628292590582e-12	****	P < 0.001	P < 0.001
BLCA	DNA damage checkpoint	5.68848873169574e-40	2.55981992926308e-39	****	P < 0.001	P < 0.001
BLCA	FA	3.92872537690972e-42	3.53585283921875e-41	****	P < 0.001	P < 0.001
BLCA	HR	7.5360444712757e-35	1.69561000603703e-34	****	P < 0.001	P < 0.001
BLCA	MMR	1.72445612736027e-35	5.1733683820808e-35	****	P < 0.001	P < 0.001
BLCA	NER	1.49699235279551e-10	1.49699235279551e-10	****	P < 0.001	P < 0.001
BLCA	NHEJ	4.69891639608349e-22	6.04146393782162e-22	****	P < 0.001	P < 0.001
BLCA	Replication stress	3.17108089981708e-27	5.70794561967074e-27	****	P < 0.001	P < 0.001
BLCA	TLS	1.02563024503537e-22	1.53844536755305e-22	****	P < 0.001	P < 0.001
BRCA	BER	1.86318357937168e-11	1.86318357937168e-11	****	P < 0.001	P < 0.001
BRCA	DNA damage checkpoint	8.2634277098966e-87	7.43708493890694e-86	****	P < 0.001	P < 0.001
BRCA	FA	3.83215683940939e-70	8.62235288867112e-70	****	P < 0.001	P < 0.001
BRCA	HR	1.37349280146446e-79	4.12047840439339e-79	****	P < 0.001	P < 0.001
BRCA	MMR	4.52518039700673e-84	2.03633117865303e-83	****	P < 0.001	P < 0.001
BRCA	NER	6.41022449847555e-28	7.211502560785e-28	****	P < 0.001	P < 0.001
BRCA	NHEJ	7.97689651029747e-63	1.19653447654462e-62	****	P < 0.001	P < 0.001
BRCA	Replication stress	1.42409075109601e-48	1.83097382283772e-48	****	P < 0.001	P < 0.001
BRCA	TLS	5.54368088890538e-67	9.97862560002968e-67	****	P < 0.001	P < 0.001
CESC	BER	0.000654643106037949	0.000654643106037949	***	P < 0.001	P < 0.001
CESC	DNA damage checkpoint	3.52191014696151e-21	1.05657304408845e-20	****	P < 0.001	P < 0.001
CESC	FA	1.7983143037522e-23	8.0924143668849e-23	****	P < 0.001	P < 0.001
CESC	HR	2.53132150587449e-20	5.69547338821759e-20	****	P < 0.001	P < 0.001
CESC	MMR	2.54984390574841e-19	4.58971903034713e-19	****	P < 0.001	P < 0.001
CESC	NER	1.18394812461552e-08	1.77592218692328e-08	****	P < 0.001	P < 0.001
CESC	NHEJ	3.63033289454188e-07	4.08412450635962e-07	****	P < 0.001	P < 0.001
CESC	Replication stress	3.06650417745105e-08	3.94264822815135e-08	****	P < 0.001	P < 0.001
CESC	TLS	2.91221460952177e-26	2.62099314856959e-25	****	P < 0.001	P < 0.001
CHOL	BER	0.90922308254732	1	ns	P = 0.909	P = 1
CHOL	DNA damage checkpoint	0.404756973705946	0.607135460558919	ns	P = 0.405	P = 0.607
CHOL	FA	0.102824873145417	0.308474619436252	ns	P = 0.103	P = 0.308
CHOL	HR	0.194929070864652	0.371957861785267	ns	P = 0.195	P = 0.372
CHOL	MMR	0.0153414501709963	0.0760419241352798	ns	P = 0.0153	P = 0.076
CHOL	NER	0.987005105257219	1	ns	P = 0.987	P = 1
CHOL	NHEJ	1	1	ns	P = 1	P = 1
CHOL	Replication stress	0.206643256547371	0.371957861785267	ns	P = 0.207	P = 0.372
CHOL	TLS	0.0168982053633955	0.0760419241352798	ns	P = 0.0169	P = 0.076
COAD	BER	0.000221406898608414	0.000221406898608414	***	P < 0.001	P < 0.001
COAD	DNA damage checkpoint	5.52873505270962e-41	4.97586154743866e-40	****	P < 0.001	P < 0.001
COAD	FA	9.20105171987192e-31	2.76031551596158e-30	****	P < 0.001	P < 0.001
COAD	HR	9.97073467558182e-32	4.48683060401182e-31	****	P < 0.001	P < 0.001
COAD	MMR	2.42181931233262e-29	5.44909345274839e-29	****	P < 0.001	P < 0.001
COAD	NER	2.40614340923865e-11	2.70691133539348e-11	****	P < 0.001	P < 0.001
COAD	NHEJ	1.06542288879687e-17	1.59813433319531e-17	****	P < 0.001	P < 0.001
COAD	Replication stress	5.47719570702719e-16	7.04210876617782e-16	****	P < 0.001	P < 0.001
COAD	TLS	4.12902318696844e-26	7.4322417365432e-26	****	P < 0.001	P < 0.001
DLBC	BER	0.862160641566881	0.862160641566881	ns	P = 0.862	P = 0.862
DLBC	DNA damage checkpoint	1.93711373452339e-06	8.71701180535525e-06	****	P < 0.001	P < 0.001
DLBC	FA	0.000172331536402266	0.000310196765524079	***	P < 0.001	P < 0.001
DLBC	HR	9.61680534304396e-05	0.000216378120218489	***	P < 0.001	P < 0.001
DLBC	MMR	1.39819746121569e-05	4.19459238364706e-05	****	P < 0.001	P < 0.001
DLBC	NER	0.0459206839409298	0.0516607694335461	ns	P = 0.0459	P = 0.0517
DLBC	NHEJ	0.00235418288422422	0.00353127432633633	**	P = 0.00235	P = 0.00353
DLBC	Replication stress	0.00553034220255761	0.00711043997471692	**	P = 0.00553	P = 0.00711
DLBC	TLS	8.86689760919664e-08	7.98020784827697e-07	****	P < 0.001	P < 0.001
ESCA	BER	6.56228091401037e-09	9.84342137101555e-09	****	P < 0.001	P < 0.001
ESCA	DNA damage checkpoint	6.77359659489579e-17	3.04811846770311e-16	****	P < 0.001	P < 0.001
ESCA	FA	3.95665383444693e-16	8.90247112750559e-16	****	P < 0.001	P < 0.001
ESCA	HR	2.91653995996235e-16	8.74961987988706e-16	****	P < 0.001	P < 0.001
ESCA	MMR	6.09856502324057e-19	5.48870852091651e-18	****	P < 0.001	P < 0.001
ESCA	NER	4.7705874095918e-05	4.7705874095918e-05	****	P < 0.001	P < 0.001
