Cancer	Feature	P	FDR	Significance	P_label	FDR_label
ACC	MATH	0.0404366749626961	0.0404366749626961	*	P = 0.0404	P = 0.0404
ACC	log1p_NonSyn_Mutations	0.000979407036239632	0.00146911055435945	**	P < 0.001	P = 0.00147
ACC	log1p_TMB_per_Mb	0.000979407036239632	0.00146911055435945	**	P < 0.001	P = 0.00147
BLCA	MATH	0.00688524771106892	0.0206557431332068	*	P = 0.00689	P = 0.0207
BLCA	log1p_NonSyn_Mutations	0.0348417093613047	0.0348417093613047	*	P = 0.0348	P = 0.0348
BLCA	log1p_TMB_per_Mb	0.0348417093613047	0.0348417093613047	*	P = 0.0348	P = 0.0348
BRCA	MATH	0.019175352109785	0.0575260563293549	ns	P = 0.0192	P = 0.0575
BRCA	log1p_NonSyn_Mutations	0.884107329334706	0.884107329334706	ns	P = 0.884	P = 0.884
BRCA	log1p_TMB_per_Mb	0.884107329334706	0.884107329334706	ns	P = 0.884	P = 0.884
CESC	MATH	0.662736242176121	0.973191992553155	ns	P = 0.663	P = 0.973
CESC	log1p_NonSyn_Mutations	0.973191992553155	0.973191992553155	ns	P = 0.973	P = 0.973
CESC	log1p_TMB_per_Mb	0.973191992553155	0.973191992553155	ns	P = 0.973	P = 0.973
CHOL	MATH	0.732193679580733	0.732193679580733	ns	P = 0.732	P = 0.732
CHOL	log1p_NonSyn_Mutations	0.643822928917761	0.732193679580733	ns	P = 0.644	P = 0.732
CHOL	log1p_TMB_per_Mb	0.643822928917761	0.732193679580733	ns	P = 0.644	P = 0.732
COAD	MATH	0.878472098094839	0.878472098094839	ns	P = 0.878	P = 0.878
COAD	log1p_NonSyn_Mutations	0.0408169331850384	0.0612253997775576	ns	P = 0.0408	P = 0.0612
COAD	log1p_TMB_per_Mb	0.0408169331850384	0.0612253997775576	ns	P = 0.0408	P = 0.0612
DLBC	MATH	0.219181044225538	0.657543132676614	ns	P = 0.219	P = 0.658
DLBC	log1p_NonSyn_Mutations	0.937593020227157	0.937593020227157	ns	P = 0.938	P = 0.938
DLBC	log1p_TMB_per_Mb	0.937593020227157	0.937593020227157	ns	P = 0.938	P = 0.938
ESCA	MATH	0.000215165813707153	0.000645497441121459	***	P < 0.001	P < 0.001
ESCA	log1p_NonSyn_Mutations	0.03357995260783	0.03357995260783	*	P = 0.0336	P = 0.0336
ESCA	log1p_TMB_per_Mb	0.03357995260783	0.03357995260783	*	P = 0.0336	P = 0.0336
GBM	MATH	0.578973004129964	0.684689039968059	ns	P = 0.579	P = 0.685
GBM	log1p_NonSyn_Mutations	0.684689039968059	0.684689039968059	ns	P = 0.685	P = 0.685
GBM	log1p_TMB_per_Mb	0.684689039968059	0.684689039968059	ns	P = 0.685	P = 0.685
HNSC	MATH	0.223721210259743	0.67116363077923	ns	P = 0.224	P = 0.671
HNSC	log1p_NonSyn_Mutations	0.811977674140512	0.811977674140512	ns	P = 0.812	P = 0.812
HNSC	log1p_TMB_per_Mb	0.811977674140512	0.811977674140512	ns	P = 0.812	P = 0.812
KICH	MATH	0.518531827828086	0.693471919733802	ns	P = 0.519	P = 0.693
KICH	log1p_NonSyn_Mutations	0.693471919733802	0.693471919733802	ns	P = 0.693	P = 0.693
KICH	log1p_TMB_per_Mb	0.693471919733802	0.693471919733802	ns	P = 0.693	P = 0.693
KIRC	MATH	0.77456778147894	0.77456778147894	ns	P = 0.775	P = 0.775
