Cancer	Feature	P	FDR	Significance	P_label	FDR_label
ACC	Genomic instability	2.45461160317647e-08	2.94553392381176e-07	****	P < 0.001	P < 0.001
ACC	Telomere attrition	1.57625336124379e-07	9.45752016746274e-07	****	P < 0.001	P < 0.001
ACC	Epigenetic alterations	1.94215605994993e-05	7.76862423979974e-05	****	P < 0.001	P < 0.001
ACC	Loss of proteostasis	0.137997044194332	0.206995566291498	ns	P = 0.138	P = 0.207
ACC	Disabled macroautophagy	0.316708310412783	0.422277747217044	ns	P = 0.317	P = 0.422
ACC	Deregulated nutrient sensing	0.0466620386437453	0.0799920662464204	ns	P = 0.0467	P = 0.08
ACC	Mitochondrial dysfunction	0.00362704838268545	0.00870491611844508	**	P = 0.00363	P = 0.0087
ACC	Cellular senescence	0.000224070446755753	0.000672211340267259	***	P < 0.001	P < 0.001
ACC	Stem cell exhaustion	0.895281927623321	0.957235530401218	ns	P = 0.895	P = 0.957
ACC	Altered intercellular communication	0.68567311297917	0.822807735575004	ns	P = 0.686	P = 0.823
ACC	Chronic inflammation	0.00663308371684359	0.0132661674336872	*	P = 0.00663	P = 0.0133
ACC	Extracellular matrix changes	0.957235530401218	0.957235530401218	ns	P = 0.957	P = 0.957
BLCA	Genomic instability	1.63407799352892e-36	1.9608935922347e-35	****	P < 0.001	P < 0.001
BLCA	Telomere attrition	2.13102705495308e-23	1.27861623297185e-22	****	P < 0.001	P < 0.001
BLCA	Epigenetic alterations	2.10086685138377e-07	4.20173370276754e-07	****	P < 0.001	P < 0.001
BLCA	Loss of proteostasis	1.49822727930099e-07	3.59574547032236e-07	****	P < 0.001	P < 0.001
BLCA	Disabled macroautophagy	2.63580000039536e-08	7.90740000118609e-08	****	P < 0.001	P < 0.001
BLCA	Deregulated nutrient sensing	0.244121721868043	0.325495629157391	ns	P = 0.244	P = 0.325
BLCA	Mitochondrial dysfunction	1.14234613695966e-05	1.95830766335942e-05	****	P < 0.001	P < 0.001
BLCA	Cellular senescence	1.41052082274233e-13	5.64208329096933e-13	****	P < 0.001	P < 0.001
BLCA	Stem cell exhaustion	0.547007215877062	0.596735144593159	ns	P = 0.547	P = 0.597
BLCA	Altered intercellular communication	0.48316813147729	0.579801757772748	ns	P = 0.483	P = 0.58
BLCA	Chronic inflammation	0.607646571012499	0.607646571012499	ns	P = 0.608	P = 0.608
BLCA	Extracellular matrix changes	0.00990808885144519	0.0148621332771678	*	P = 0.00991	P = 0.0149
BRCA	Genomic instability	6.81269908619335e-62	8.17523890343201e-61	****	P < 0.001	P < 0.001
BRCA	Telomere attrition	2.79485850834812e-28	1.67691510500887e-27	****	P < 0.001	P < 0.001
BRCA	Epigenetic alterations	3.29666989488341e-05	6.59333978976683e-05	****	P < 0.001	P < 0.001
BRCA	Loss of proteostasis	0.0180213202410751	0.0216255842892902	*	P = 0.018	P = 0.0216
BRCA	Disabled macroautophagy	6.65360635189238e-05	0.000114061823175298	***	P < 0.001	P < 0.001
BRCA	Deregulated nutrient sensing	0.446923652755311	0.487553075733066	ns	P = 0.447	P = 0.488
BRCA	Mitochondrial dysfunction	7.54815136822547e-13	3.01926054729019e-12	****	P < 0.001	P < 0.001
BRCA	Cellular senescence	3.1549771503434e-11	9.4649314510302e-11	****	P < 0.001	P < 0.001
BRCA	Stem cell exhaustion	0.877803417879919	0.877803417879919	ns	P = 0.878	P = 0.878
BRCA	Altered intercellular communication	0.00383851614604757	0.00575777421907136	**	P = 0.00384	P = 0.00576
BRCA	Chronic inflammation	0.00556357129757789	0.00741809506343719	**	P = 0.00556	P = 0.00742
BRCA	Extracellular matrix changes	7.22429380925279e-06	1.73383051422067e-05	****	P < 0.001	P < 0.001
CESC	Genomic instability	9.23696419902791e-16	1.10843570388335e-14	****	P < 0.001	P < 0.001
CESC	Telomere attrition	3.75728428569308e-07	2.25437057141585e-06	****	P < 0.001	P < 0.001
CESC	Epigenetic alterations	0.132590093626184	0.144643738501292	ns	P = 0.133	P = 0.145
CESC	Loss of proteostasis	0.178281239387428	0.178281239387428	ns	P = 0.178	P = 0.178
CESC	Disabled macroautophagy	0.00064840959975654	0.00129681919951308	**	P < 0.001	P = 0.0013
CESC	Deregulated nutrient sensing	0.0157426412407661	0.0236139618611492	*	P = 0.0157	P = 0.0236
CESC	Mitochondrial dysfunction	4.4291524350661e-05	0.000132874573051983	***	P < 0.001	P < 0.001
CESC	Cellular senescence	0.00170994492147348	0.0029313341510974	**	P = 0.00171	P = 0.00293
CESC	Stem cell exhaustion	0.108615335992357	0.141015320281267	ns	P = 0.109	P = 0.141
CESC	Altered intercellular communication	0.000100478900223694	0.000241149360536865	***	P < 0.001	P < 0.001
CESC	Chronic inflammation	1.68421161296127e-05	6.73684645184509e-05	****	P < 0.001	P < 0.001
CESC	Extracellular matrix changes	0.117512766901056	0.141015320281267	ns	P = 0.118	P = 0.141
CHOL	Genomic instability	0.351399290322426	0.702798580644853	ns	P = 0.351	P = 0.703
CHOL	Telomere attrition	0.462555598482372	0.724157877844532	ns	P = 0.463	P = 0.724
CHOL	Epigenetic alterations	0.482771918563021	0.724157877844532	ns	P = 0.483	P = 0.724
CHOL	Loss of proteostasis	0.0139088024395625	0.0834528146373752	ns	P = 0.0139	P = 0.0835
CHOL	Disabled macroautophagy	0.272656819122025	0.654376365892859	ns	P = 0.273	P = 0.654
CHOL	Deregulated nutrient sensing	0.832280522803886	0.857791085054126	ns	P = 0.832	P = 0.858
CHOL	Mitochondrial dysfunction	0.00161751329481556	0.0194101595377867	*	P = 0.00162	P = 0.0194
CHOL	Cellular senescence	0.659844088936063	0.791812906723275	ns	P = 0.66	P = 0.792
CHOL	Stem cell exhaustion	0.0486524404765624	0.194609761906249	ns	P = 0.0487	P = 0.195
CHOL	Altered intercellular communication	0.636362120573563	0.791812906723275	ns	P = 0.636	P = 0.792
CHOL	Chronic inflammation	0.857791085054126	0.857791085054126	ns	P = 0.858	P = 0.858
CHOL	Extracellular matrix changes	0.258445347475976	0.654376365892859	ns	P = 0.258	P = 0.654
COAD	Genomic instability	2.17735177265752e-28	2.61282212718902e-27	****	P < 0.001	P < 0.001
COAD	Telomere attrition	2.95996540492111e-12	1.77597924295267e-11	****	P < 0.001	P < 0.001
COAD	Epigenetic alterations	0.000973450584530537	0.00233628140287329	**	P < 0.001	P = 0.00234
COAD	Loss of proteostasis	0.0480570320338097	0.0823834834865309	ns	P = 0.0481	P = 0.0824
COAD	Disabled macroautophagy	0.0070755347522418	0.0141510695044836	*	P = 0.00708	P = 0.0142
COAD	Deregulated nutrient sensing	0.365035980102558	0.486714640136745	ns	P = 0.365	P = 0.487
COAD	Mitochondrial dysfunction	0.000138676067553988	0.000416028202661964	***	P < 0.001	P < 0.001
COAD	Cellular senescence	6.62312975511535e-08	2.64925190204614e-07	****	P < 0.001	P < 0.001
COAD	Stem cell exhaustion	0.689319146501953	0.740228911719278	ns	P = 0.689	P = 0.74
COAD	Altered intercellular communication	0.740228911719278	0.740228911719278	ns	P = 0.74	P = 0.74
COAD	Chronic inflammation	0.60462678097648	0.725552137171776	ns	P = 0.605	P = 0.726
COAD	Extracellular matrix changes	0.271403139420651	0.407104709130977	ns	P = 0.271	P = 0.407
DLBC	Genomic instability	0.00042949856560221	0.00257699139361326	**	P < 0.001	P = 0.00258
DLBC	Telomere attrition	0.0205148696492044	0.0492356871580905	*	P = 0.0205	P = 0.0492
DLBC	Epigenetic alterations	0.340867860214887	0.409041432257864	ns	P = 0.341	P = 0.409
DLBC	Loss of proteostasis	0.291171026407298	0.388228035209731	ns	P = 0.291	P = 0.388
DLBC	Disabled macroautophagy	0.0355081424433434	0.0710162848866868	ns	P = 0.0355	P = 0.071
DLBC	Deregulated nutrient sensing	0.00148898952399257	0.0044669685719777	**	P = 0.00149	P = 0.00447
DLBC	Mitochondrial dysfunction	0.000329015259622542	0.00257699139361326	**	P < 0.001	P = 0.00258
DLBC	Cellular senescence	0.00108393455071883	0.00433573820287533	**	P = 0.00108	P = 0.00434
DLBC	Stem cell exhaustion	0.206792440630272	0.310188660945408	ns	P = 0.207	P = 0.31
DLBC	Altered intercellular communication	0.846132512586467	0.923053650094327	ns	P = 0.846	P = 0.923
