Cancer	Feature	P	FDR	Significance	P_label	FDR_label
ACC	HALLMARK_ADIPOGENESIS	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_ALLOGRAFT_REJECTION	0.21967803219678	0.228831283538313	ns	P = 0.22	P = 0.229
ACC	HALLMARK_ANDROGEN_RESPONSE	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_ANGIOGENESIS	0.132405924739792	0.143919483412817	ns	P = 0.132	P = 0.144
ACC	HALLMARK_APICAL_JUNCTION	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_APICAL_SURFACE	0.0683136627325465	0.0794344915494727	ns	P = 0.0683	P = 0.0794
ACC	HALLMARK_APOPTOSIS	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_BILE_ACID_METABOLISM	0.0002999700029997	0.000405364868918514	***	P < 0.001	P < 0.001
ACC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_COAGULATION	0.0720927907209279	0.0819236258192363	ns	P = 0.0721	P = 0.0819
ACC	HALLMARK_COMPLEMENT	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_DNA_REPAIR	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_E2F_TARGETS	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_ESTROGEN_RESPONSE_EARLY	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_ESTROGEN_RESPONSE_LATE	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_FATTY_ACID_METABOLISM	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_G2M_CHECKPOINT	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_GLYCOLYSIS	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_HEDGEHOG_SIGNALING	0.146717373899119	0.156082312658638	ns	P = 0.147	P = 0.156
ACC	HALLMARK_HEME_METABOLISM	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_HYPOXIA	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_IL2_STAT5_SIGNALING	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0608939106089391	0.0724927507249275	ns	P = 0.0609	P = 0.0725
ACC	HALLMARK_INFLAMMATORY_RESPONSE	0.0942905709429057	0.104767301047673	ns	P = 0.0943	P = 0.105
ACC	HALLMARK_INTERFERON_ALPHA_RESPONSE	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_INTERFERON_GAMMA_RESPONSE	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_KRAS_SIGNALING_DN	0.736826317368263	0.736826317368263	ns	P = 0.737	P = 0.737
ACC	HALLMARK_KRAS_SIGNALING_UP	0.0385961403859614	0.0470684638853188	*	P = 0.0386	P = 0.0471
ACC	HALLMARK_MITOTIC_SPINDLE	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_MTORC1_SIGNALING	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_MYC_TARGETS_V1	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_MYC_TARGETS_V2	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_MYOGENESIS	0.0063993600639936	0.007999200079992	**	P = 0.0064	P = 0.008
ACC	HALLMARK_NOTCH_SIGNALING	0.00100150225338007	0.00128397724792317	**	P = 0.001	P = 0.00128
