Cancer	Feature	P	FDR	Significance	P_label	FDR_label
ACC	ImmuneScore_estimate	0.000259534728726797	0.00103813891490719	**	P < 0.001	P = 0.00104
ACC	ESTIMATEScore_estimate	0.00191221780960946	0.00254962374614594	**	P = 0.00191	P = 0.00255
ACC	TumorPurity_estimate	0.00191221780960946	0.00254962374614594	**	P = 0.00191	P = 0.00255
ACC	StromalScore_estimate	0.0380859861777808	0.0380859861777808	*	P = 0.0381	P = 0.0381
BLCA	StromalScore_estimate	0.00113287370704645	0.00453149482818579	**	P = 0.00113	P = 0.00453
BLCA	ESTIMATEScore_estimate	0.00362892783017734	0.00483857044023645	**	P = 0.00363	P = 0.00484
BLCA	TumorPurity_estimate	0.00362892783017734	0.00483857044023645	**	P = 0.00363	P = 0.00484
BLCA	ImmuneScore_estimate	0.033700539266414	0.033700539266414	*	P = 0.0337	P = 0.0337
BRCA	ESTIMATEScore_estimate	3.44259954982977e-11	6.88519909965954e-11	****	P < 0.001	P < 0.001
BRCA	TumorPurity_estimate	3.44259954982977e-11	6.88519909965954e-11	****	P < 0.001	P < 0.001
BRCA	StromalScore_estimate	3.09687174336065e-09	4.12916232448086e-09	****	P < 0.001	P < 0.001
BRCA	ImmuneScore_estimate	5.43991129344688e-09	5.43991129344688e-09	****	P < 0.001	P < 0.001
CESC	ESTIMATEScore_estimate	2.39451381786649e-07	3.96676530586491e-07	****	P < 0.001	P < 0.001
CESC	TumorPurity_estimate	2.39451381786649e-07	3.96676530586491e-07	****	P < 0.001	P < 0.001
CESC	ImmuneScore_estimate	2.97507397939868e-07	3.96676530586491e-07	****	P < 0.001	P < 0.001
CESC	StromalScore_estimate	2.73928485417614e-05	2.73928485417614e-05	****	P < 0.001	P < 0.001
CHOL	StromalScore_estimate	0.634922308664606	0.951460277418797	ns	P = 0.635	P = 0.951
CHOL	ImmuneScore_estimate	0.932084636897773	0.951460277418797	ns	P = 0.932	P = 0.951
CHOL	ESTIMATEScore_estimate	0.951460277418797	0.951460277418797	ns	P = 0.951	P = 0.951
CHOL	TumorPurity_estimate	0.951460277418797	0.951460277418797	ns	P = 0.951	P = 0.951
COAD	ImmuneScore_estimate	0.0130749272575044	0.0522997090300178	ns	P = 0.0131	P = 0.0523
COAD	ESTIMATEScore_estimate	0.0678937381654092	0.0905249842205455	ns	P = 0.0679	P = 0.0905
COAD	TumorPurity_estimate	0.0678937381654092	0.0905249842205455	ns	P = 0.0679	P = 0.0905
COAD	StromalScore_estimate	0.299200391361444	0.299200391361444	ns	P = 0.299	P = 0.299
DLBC	StromalScore_estimate	0.358841654760335	0.705886558210332	ns	P = 0.359	P = 0.706
DLBC	ESTIMATEScore_estimate	0.529414918657749	0.705886558210332	ns	P = 0.529	P = 0.706
DLBC	TumorPurity_estimate	0.529414918657749	0.705886558210332	ns	P = 0.529	P = 0.706
DLBC	ImmuneScore_estimate	0.909707027316574	0.909707027316574	ns	P = 0.91	P = 0.91
ESCA	ImmuneScore_estimate	0.000796659253000379	0.00318663701200151	**	P < 0.001	P = 0.00319
ESCA	ESTIMATEScore_estimate	0.0104708248496008	0.0139610997994677	*	P = 0.0105	P = 0.014
ESCA	TumorPurity_estimate	0.0104708248496008	0.0139610997994677	*	P = 0.0105	P = 0.014
ESCA	StromalScore_estimate	0.191746208159123	0.191746208159123	ns	P = 0.192	P = 0.192
GBM	ImmuneScore_estimate	1.90664185135859e-10	2.59482056791592e-10	****	P < 0.001	P < 0.001
GBM	ESTIMATEScore_estimate	1.94611542593694e-10	2.59482056791592e-10	****	P < 0.001	P < 0.001
GBM	TumorPurity_estimate	1.94611542593694e-10	2.59482056791592e-10	****	P < 0.001	P < 0.001
GBM	StromalScore_estimate	4.47516318100125e-09	4.47516318100125e-09	****	P < 0.001	P < 0.001
HNSC	ImmuneScore_estimate	0.00376589787803726	0.0150635915121491	*	P = 0.00377	P = 0.0151
HNSC	ESTIMATEScore_estimate	0.0140428604334403	0.0187238139112537	*	P = 0.014	P = 0.0187
HNSC	TumorPurity_estimate	0.0140428604334403	0.0187238139112537	*	P = 0.014	P = 0.0187
