Cancer,Group,StatusLabel,N,Total,Proportion,Percent,Label
ACC,Low,Predicted responder,36,39,0.923076923076923,92.3076923076923,92%
ACC,Low,Non-responder,3,39,0.0769230769230769,7.69230769230769,8%
ACC,High,Predicted responder,36,40,0.9,90,90%
ACC,High,Non-responder,4,40,0.1,10,10%
BLCA,Low,Predicted responder,174,203,0.857142857142857,85.7142857142857,86%
BLCA,Low,Non-responder,29,203,0.142857142857143,14.2857142857143,14%
BLCA,High,Predicted responder,188,203,0.926108374384236,92.6108374384236,93%
BLCA,High,Non-responder,15,203,0.0738916256157636,7.38916256157636,7%
BRCA,Low,Predicted responder,494,547,0.903107861060329,90.3107861060329,90%
BRCA,Low,Non-responder,53,547,0.0968921389396709,9.68921389396709,10%
BRCA,High,Predicted responder,540,548,0.985401459854015,98.5401459854015,99%
BRCA,High,Non-responder,8,548,0.0145985401459854,1.45985401459854,""
CESC,Low,Predicted responder,142,152,0.93421052631579,93.421052631579,93%
CESC,Low,Non-responder,10,152,0.0657894736842105,6.57894736842105,7%
CESC,High,Predicted responder,148,152,0.973684210526316,97.3684210526316,97%
CESC,High,Non-responder,4,152,0.0263157894736842,2.63157894736842,""
CHOL,Low,Predicted responder,15,17,0.882352941176471,88.2352941176471,88%
CHOL,Low,Non-responder,2,17,0.117647058823529,11.7647058823529,12%
CHOL,High,Predicted responder,18,18,1,100,100%
CHOL,High,Non-responder,0,18,0,0,""
COAD,Low,Predicted responder,212,228,0.929824561403509,92.9824561403509,93%
COAD,Low,Non-responder,16,228,0.0701754385964912,7.01754385964912,7%
COAD,High,Predicted responder,225,228,0.986842105263158,98.6842105263158,99%
COAD,High,Non-responder,3,228,0.0131578947368421,1.31578947368421,""
DLBC,Low,Predicted responder,6,24,0.25,25,25%
DLBC,Low,Non-responder,18,24,0.75,75,75%
DLBC,High,Predicted responder,8,24,0.333333333333333,33.3333333333333,33%
DLBC,High,Non-responder,16,24,0.666666666666667,66.6666666666667,67%
