Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
ACC,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,39,40,3.93818,7.64517,3.70699,2.02499874843284e-06,0.000105299934918508,****,P=2.02e-06,FDR=1.05e-04
ACC,B_cells_quantiseq,b Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),BCELLS,39,40,0.00323670071402029,0.00804673588141317,0.00481003516739288,5.12078567489793e-05,0.00133140427547346,****,P=5.12e-05,FDR=0.00133
ACC,Fibroblasts_MCPcounter,Fibroblasts,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,39,40,25.723075,45.82009375,20.09701875,0.000841177407239029,0.0145804083921432,***,P=8.41e-04,FDR=0.0146
ACC,Macrophages_EPIC,Macrophages,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),MACROPHAGES,39,40,0.0162283074461288,0.00707394810573173,-0.00915435934039703,0.00321241840010245,0.0417283483494751,**,P=0.00321,FDR=0.0417
ACC,NK_cells_quantiseq,NK Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,39,40,0.00595033770626108,0.0106897838391003,0.00473944613283924,0.00466470846159633,0.0417283483494751,**,P=0.00466,FDR=0.0417
ACC,Endothelial_cells_MCPcounter,Endothelial Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,39,40,8.36548,11.27619,2.91071,0.00481480942493943,0.0417283483494751,**,P=0.00481,FDR=0.0417
ACC,NKT_xCell,NKt,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKT,39,40,7.22077119927246e-24,6.58337097327705e-09,6.58337097327704e-09,0.0178988460322582,0.132962856239633,*,P=0.0179,FDR=0.133
ACC,CD4+_Tem_xCell,CD4+ Tem,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,39,40,7.63219718990229e-07,2.02670305181117e-07,-5.60549413809113e-07,0.024278335599504,0.157809181396776,*,P=0.0243,FDR=0.158
ACC,Cytotoxic_lymphocytes_MCPcounter,Cytotoxic Lymphocytes,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),CYTOTOXICLYMPHOCYTES,39,40,0.569471428571429,0.325957142857143,-0.243514285714286,0.0309830277861034,0.17542610311117,*,P=0.031,FDR=0.175
ACC,CD8_T_cells_MCPcounter,CD8 t Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),CD8TCELLS,39,40,0.1304,0.04355,-0.08685,0.0337357890598404,0.17542610311117,*,P=0.0337,FDR=0.175
ACC,CD4+_memory_T-cells_xCell,CD4+ Memory t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4MEMORYTCELLS,39,40,9.94877612569088e-24,0,-9.94877612569088e-24,0.0389663710240386,0.184204663022728,*,P=0.039,FDR=0.184
ACC,cDC_xCell,Cdc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CDC,39,40,4.38213431996075e-24,0,-4.38213431996075e-24,0.0459418851908537,0.1990815024937,*,P=0.0459,FDR=0.199
ACC,CAFs_EPIC,CAFs,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,39,40,0.0079450775336727,0.0102471859211012,0.00230210838742849,0.0604068889051667,0.241627555620667,ns,P=0.0604,FDR=0.242
ACC,CD4+_Tcm_xCell,CD4+ Tcm,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4TCM,39,40,2.07162656100257e-07,7.27299174018799e-08,-1.34432738698377e-07,0.0773670490272045,0.287363324958188,ns,P=0.0774,FDR=0.287
ACC,Endothelial_EPIC,Endothelial,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,39,40,0.0879645939034571,0.0656546006294276,-0.0223099932740296,0.0888852655713101,0.308135587313875,ns,P=0.0889,FDR=0.308
ACC,Macrophages_xCell,Macrophages,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGES,39,40,2.22984983031992e-23,2.69666132100375e-24,-1.96018369821954e-23,0.100039273862646,0.312844065768298,ns,P=0.1,FDR=0.313
ACC,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,39,40,0.00236214188653286,0.00415582576991455,0.00179368388338169,0.102275944578097,0.312844065768298,ns,P=0.102,FDR=0.313
ACC,CD8+_Tem_xCell,CD8+ Tem,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8TEM,39,40,1.14268459358594e-22,0,-1.14268459358594e-22,0.132025229104462,0.381406217412891,ns,P=0.132,FDR=0.381
ACC,Mast_cells_xCell,Mast Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MASTCELLS,39,40,4.86287750872984e-23,2.31724355866384e-23,-2.545633950066e-23,0.145785823474127,0.398992780034453,ns,P=0.146,FDR=0.399
ACC,NKcells_EPIC,NKcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),NKCELLS,39,40,4.07124039667279e-09,1.71782135531666e-09,-2.35341904135613e-09,0.171340235882152,0.445484613293594,ns,P=0.171,FDR=0.445
ACC,CD4+_T-cells_xCell,CD4+ t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4TCELLS,39,40,2.10361874255687e-23,0,-2.10361874255687e-23,0.195331297176602,0.483677497770634,ns,P=0.195,FDR=0.484
ACC,Basophils_xCell,Basophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),BASOPHILS,39,40,3.63881207775995e-06,3.15505256877093e-06,-4.83759508989024e-07,0.22966640144467,0.493506490472442,ns,P=0.23,FDR=0.494
ACC,CD8_Tcells_EPIC,CD8 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD8TCELLS,39,40,8.97225073881945e-05,0.00429055790251324,0.00420083539512505,0.229669236408216,0.493506490472442,ns,P=0.23,FDR=0.494
ACC,NK_cells_xCell,NK Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKCELLS,39,40,3.35695035196533e-23,0,-3.35695035196533e-23,0.234293219795654,0.493506490472442,ns,P=0.234,FDR=0.494
ACC,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,39,40,0.0555083691599628,0.0484196708668583,-0.00708869829310453,0.245240298446258,0.493506490472442,ns,P=0.245,FDR=0.494
ACC,Monocytes_xCell,Monocytes,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MONOCYTES,39,40,8.23820626914529e-23,4.14561170717926e-23,-4.09259456196603e-23,0.246753245236221,0.493506490472442,ns,P=0.247,FDR=0.494
ACC,Endothelial_cells_xCell,Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,39,40,0,0,0,0.27507139498775,0.517755911889061,ns,P=0.275,FDR=0.518
ACC,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,39,40,0,0,0,0.285902158114242,0.517755911889061,ns,P=0.286,FDR=0.518
