Cancer	Feature	P	FDR	Significance	P_label	FDR_label
LGG	Cisplatin	1.1790887917443e-18	6.60289723376808e-17	****	P < 0.001	P < 0.001
LGG	Niraparib	2.52106357445187e-18	7.05897800846524e-17	****	P < 0.001	P < 0.001
LGG	OSI-027	7.84084389753266e-15	1.4636241942061e-13	****	P < 0.001	P < 0.001
LGG	Talazoparib	1.14276072380088e-13	1.59986501332123e-12	****	P < 0.001	P < 0.001
LGG	MK-1775	1.7241424355228e-13	1.93103952778554e-12	****	P < 0.001	P < 0.001
LGG	AZD7762	5.79273371355312e-13	4.6341869708425e-12	****	P < 0.001	P < 0.001
LUSC	MK-1775	2.54172311850658e-14	1.42336494636368e-12	****	P < 0.001	P < 0.001
LUSC	Refametinib	1.4598841129715e-13	2.72511701088012e-12	****	P < 0.001	P < 0.001
LUSC	AZD8186	1.40012399826057e-13	2.72511701088012e-12	****	P < 0.001	P < 0.001
LUSC	Wee1 Inhibitor	1.65101863583417e-12	2.31142609016784e-11	****	P < 0.001	P < 0.001
LUSC	Trametinib	6.20869518031129e-12	6.95373860194865e-11	****	P < 0.001	P < 0.001
LUSC	Selumetinib	6.21811623987192e-11	5.80357515721379e-10	****	P < 0.001	P < 0.001
MESO	AZD6482	5.99248504449806e-06	0.000335579162491891	***	P < 0.001	P < 0.001
MESO	Osimertinib	7.91961198494729e-05	0.00172291780201176	**	P < 0.001	P = 0.00172
MESO	OSI-027	9.22991679649156e-05	0.00172291780201176	**	P < 0.001	P = 0.00172
MESO	VE-822	0.000318904711252372	0.00410357037186015	**	P < 0.001	P = 0.0041
MESO	Afatinib	0.000366390211773227	0.00410357037186015	**	P < 0.001	P = 0.0041
MESO	Temsirolimus	0.000766236149985136	0.00536365304989595	**	P < 0.001	P = 0.00536
OV	AZD6482	9.06248085693735e-19	5.07498927988492e-17	****	P < 0.001	P < 0.001
OV	Temsirolimus	2.45412685291959e-15	6.87155518817484e-14	****	P < 0.001	P < 0.001
OV	OSI-027	1.75682105167075e-13	3.27939929645206e-12	****	P < 0.001	P < 0.001
OV	AZD8055	1.38894848287317e-10	1.94452787602244e-09	****	P < 0.001	P < 0.001
OV	VE-822	2.77337652705541e-09	3.10618171030206e-08	****	P < 0.001	P < 0.001
OV	Afatinib	4.18305349232539e-07	3.9041832595037e-06	****	P < 0.001	P < 0.001
PAAD	Temsirolimus	0.000111809494545571	0.00373991762164769	**	P < 0.001	P = 0.00374
PAAD	AZD6482	0.000133568486487418	0.00373991762164769	**	P < 0.001	P = 0.00374
PAAD	VE-822	0.000217649509276608	0.00406279083983002	**	P < 0.001	P = 0.00406
PAAD	Uprosertib	0.000361527701271607	0.0050613878178025	**	P < 0.001	P = 0.00506
PAAD	GSK2110183B	0.000603690429218665	0.00676133280724905	**	P < 0.001	P = 0.00676
PAAD	Oxaliplatin	0.000795627032180701	0.00742585230035321	**	P < 0.001	P = 0.00743
PCPG	Temsirolimus	3.52841969148437e-20	1.97591502723125e-18	****	P < 0.001	P < 0.001
PCPG	AZD6482	6.16512235488341e-17	1.72623425936735e-15	****	P < 0.001	P < 0.001
PCPG	VE-822	1.04376402073481e-15	1.94835950537165e-14	****	P < 0.001	P < 0.001
PCPG	AZD8055	1.97374956763108e-14	2.76324939468352e-13	****	P < 0.001	P < 0.001
PCPG	Veliparib	2.36545292862208e-13	2.25576451250021e-12	****	P < 0.001	P < 0.001
PCPG	OSI-027	2.41689054910737e-13	2.25576451250021e-12	****	P < 0.001	P < 0.001
PRAD	Temsirolimus	5.93251421968319e-32	3.32220796302259e-30	****	P < 0.001	P < 0.001
PRAD	AZD6482	2.6044722045318e-30	7.29252217268904e-29	****	P < 0.001	P < 0.001
PRAD	VE-822	2.52053383277466e-23	4.70499648784603e-22	****	P < 0.001	P < 0.001
PRAD	AZD8055	5.98027953199611e-21	8.37239134479455e-20	****	P < 0.001	P < 0.001
PRAD	VE821	5.19782420365025e-17	5.82156310808828e-16	****	P < 0.001	P < 0.001
PRAD	Selumetinib	2.43450781531537e-16	2.27220729429435e-15	****	P < 0.001	P < 0.001
READ	MK-1775	5.33871259522453e-05	0.00298967905332574	**	P < 0.001	P = 0.00299
READ	Wee1 Inhibitor	0.00156787055777838	0.0234563649486391	*	P = 0.00157	P = 0.0235
READ	AZD7762	0.0016754546391885	0.0234563649486391	*	P = 0.00168	P = 0.0235
READ	AZD6482	0.000879343715932415	0.0234563649486391	*	P < 0.001	P = 0.0235
READ	Docetaxel	0.0180740572203751	0.134774348410956	ns	P = 0.0181	P = 0.135
READ	PD0325901	0.0211126487512272	0.134774348410956	ns	P = 0.0211	P = 0.135
SARC	Refametinib	1.5904523406693e-12	8.90653310774808e-11	****	P < 0.001	P < 0.001
SARC	Trametinib	7.78749830760756e-12	2.18049952613012e-10	****	P < 0.001	P < 0.001
SARC	Selumetinib	1.72087090238266e-11	3.21229235111429e-10	****	P < 0.001	P < 0.001
SARC	Temsirolimus	8.13244748874146e-10	1.1385426484238e-08	****	P < 0.001	P < 0.001
SARC	PD0325901	1.297814804593e-09	1.45355258114416e-08	****	P < 0.001	P < 0.001
SARC	AZD8055	1.71345643184043e-09	1.59922600305107e-08	****	P < 0.001	P < 0.001
SKCM	AZD6482	1.19593188225763e-20	6.69721854064275e-19	****	P < 0.001	P < 0.001
SKCM	Alpelisib	6.47444482162798e-08	1.81284455005584e-06	****	P < 0.001	P < 0.001
SKCM	Osimertinib	1.74525486700806e-07	3.25780908508172e-06	****	P < 0.001	P < 0.001
SKCM	Temsirolimus	3.20774203722919e-07	4.49083885212087e-06	****	P < 0.001	P < 0.001
SKCM	Taselisib	1.46134433510268e-06	1.636705655315e-05	****	P < 0.001	P < 0.001
SKCM	OSI-027	2.24615956560385e-06	2.09641559456359e-05	****	P < 0.001	P < 0.001
