Cancer,DrugKey,Comparison,Test,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Sensitive_Group,Drug_Value_Label,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
ACC,Drug_1005__CISPLATIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,5.97786849687839,5.55052622081116,-0.427342276067227,0.0445038651243526,0.138456469275764,High,log2_predicted_IC50,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
ACC,Drug_1007__DOCETAXEL,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,-5.71873480583934,-5.2959836291847,0.422751176654645,0.185001620598795,0.357244508742501,Low,log2_predicted_IC50,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
ACC,Drug_1010__GEFITINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,5.47056550650652,5.53555077233814,0.0649852658316243,0.415002568844462,0.628111996088915,Low,log2_predicted_IC50,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
ACC,Drug_1014__REFAMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,3.57864038830174,3.77390017993823,0.195259791636481,0.398397756139171,0.628111996088915,Low,log2_predicted_IC50,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
ACC,Drug_1016__TEMSIROLIMUS,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,1.32364885153416,1.54735040853623,0.223701557002064,0.0536645418853641,0.153753392065738,Low,log2_predicted_IC50,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
ACC,Drug_1017__OLAPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,7.1419268739487,6.82920012923435,-0.312726744714353,0.00133672522573729,0.0124761021068814,High,log2_predicted_IC50,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
ACC,Drug_1018__VELIPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,7.98718994654247,8.09644510072363,0.109255154181161,0.0445038651243526,0.138456469275764,Low,log2_predicted_IC50,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
ACC,Drug_1022__AZD7762,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,1.28133685663874,1.20982374440026,-0.0715131122384767,0.636172999177034,0.727054856202324,High,log2_predicted_IC50,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
ACC,Drug_1032__AFATINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,3.25766834752947,3.62227030755206,0.364601960022586,2.84776939483314e-06,8.89463817250648e-05,Low,log2_predicted_IC50,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
ACC,Drug_1046__WEE1_INHIBITOR,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,2.96047902881692,2.8778828558861,-0.0825961729308213,0.246746336676618,0.431806089184081,High,log2_predicted_IC50,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
