Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
ACC,Drug_1005__CISPLATIN,79,-0.289070107108082,0.0097726455824085,0.0321922442714633,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
ACC,Drug_1007__DOCETAXEL,79,0.199342745861733,0.0781911483660646,0.145956810283321,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
ACC,Drug_1010__GEFITINIB,79,0.154503407984421,0.173973321574625,0.302278342707388,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
ACC,Drug_1014__REFAMETINIB,79,0.133519961051607,0.240757024325495,0.385211238920793,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
ACC,Drug_1016__TEMSIROLIMUS,79,0.355233690360273,0.00131573045911407,0.00566776197772216,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
ACC,Drug_1017__OLAPARIB,79,-0.458544303797468,2.13947488333176e-05,0.000199684322444298,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
ACC,Drug_1018__VELIPARIB,79,0.254625121713729,0.0235403778514018,0.0549275483199375,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
ACC,Drug_1022__AZD7762,79,-0.0324001947419669,0.776821566326799,0.83657707142886,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
ACC,Drug_1032__AFATINIB,79,0.633106134371957,3.8353053862784e-10,1.07388550815795e-08,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
ACC,Drug_1046__WEE1_INHIBITOR,79,-0.105696202531646,0.35388778036004,0.480069063607042,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
ACC,Drug_1053__MK_2206,79,0.283933787731256,0.0112173018070411,0.0339277492075473,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
ACC,Drug_1057__DACTOLISIB,79,0.00433300876338851,0.969768265160205,0.982673466357235,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
ACC,Drug_1058__PICTILISIB,79,0.359152872444012,0.00115194283452957,0.00537573322780465,Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,966,1.141478,TRUE
ACC,Drug_1059__AZD8055,79,0.454552093476144,2.57469363411693e-05,0.000205975490729354,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
ACC,Drug_1060__PD0325901,79,-0.0897030185004869,0.431764192055284,0.537306550113243,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
ACC,Drug_1062__SELUMETINIB,79,0.215603700097371,0.0563534995340509,0.112706999068102,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
ACC,Drug_1080__PACLITAXEL,79,0.0990749756572541,0.385010364129122,0.501408846307694,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
ACC,Drug_1084__RAPAMYCIN,79,-0.0658958130477118,0.5639482622874,0.619237307609694,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
ACC,Drug_1089__OXALIPLATIN,79,0.120740019474197,0.289172392207524,0.446375098471291,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
ACC,Drug_1129__PF_4708671,79,0.481256085686465,7.13167109723275e-06,9.98433953612586e-05,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
ACC,Drug_1168__ERLOTINIB,79,0.41263388510224,0.000157483265155236,0.00110238285608665,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
ACC,Drug_1175__RUCAPARIB,79,0.11110029211295,0.32967773765697,0.473383418174111,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
ACC,Drug_1177__NIRAPARIB,79,-0.275632911392405,0.013945727209178,0.0390480361856985,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
ACC,Drug_1179__MK_1775,79,0.0159444985394353,0.889080523132176,0.922009431396331,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
ACC,Drug_1190__GEMCITABINE,79,0.153042843232717,0.178128309095425,0.302278342707388,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
