geneName,pathway,Ensembl,Year,PMID
ABRAXAS1,Homologous Recombination (HR),ENSG00000163322,2019,31630195
ALKBH1,Base Excision Repair (BER),ENSG00000100601,2020,33614498
ALKBH2,Base Excision Repair (BER),ENSG00000189046,2025,40516820
ALKBH3,Base Excision Repair (BER),ENSG00000166199,2018,29617664
APEX1,Base Excision Repair (BER),ENSG00000291796,2021,33333017
APEX2,Base Excision Repair (BER),ENSG00000169188,2023,37044098
APLF,Non-Homologous End Joining (NHEJ),ENSG00000169621,2025,39970298
APTX,Base Excision Repair (BER),ENSG00000137074,2018,29934293
ATM,Checkpoint Signaling,ENSG00000149311,2009,19597488
ATR,Checkpoint Signaling,ENSG00000175054,2023,37832547
ATRIP,Checkpoint Signaling,ENSG00000164053,2025,39753713
ATRX,Homologous Recombination (HR),ENSG00000085224,2018,30234181
AUNIP,Homologous Recombination (HR),ENSG00000127423,2023,37645833
BABAM1,Homologous Recombination (HR),ENSG00000105393,2022,36315652
BABAM2,Homologous Recombination (HR),ENSG00000158019,2020,32927585
BARD1,Homologous Recombination (HR),ENSG00000138376,2017,28976962
BLM,Homologous Recombination (HR),ENSG00000197299,2025,40634292
BOD1L1,Replication stress,ENSG00000038219,2022,34718612
BRAT1,Checkpoint Signaling,ENSG00000106009,2021,33705657
BRCA1,Homologous Recombination (HR),ENSG00000012048,2024,39172790
BRCA2,Homologous Recombination (HR),ENSG00000139618,2005,15829966
BRCC3,Homologous Recombination (HR),ENSG00000185515,2024,39596176
BRIP1,Fanconi Anemia (FA),ENSG00000136492,2022,35171259
CCNH,Nucleotide Excision Repair (NER),ENSG00000134480,2024,38413612
CDK7,Nucleotide Excision Repair (NER),ENSG00000277273,2025,40267193
CETN2,Nucleotide Excision Repair (NER),ENSG00000147400,2025,39945187
CHD1L,Base Excision Repair (BER),ENSG00000131778,2023,37532928
CHEK1,Checkpoint Signaling,ENSG00000149554,2018,30234181
CHEK2,Checkpoint Signaling,ENSG00000183765,2017,28199314
CIP2A,Checkpoint Signaling,ENSG00000163507,2023,37316668
CLK2,Checkpoint Signaling,ENSG00000176444,2023,37506701
CLSPN,Checkpoint Signaling,ENSG00000092853,2009,19737971
CTC1,Replication stress,ENSG00000178971,2018,30022158
CUL4A,Nucleotide Excision Repair (NER),ENSG00000139842,2009,19481525
CUL4B,Nucleotide Excision Repair (NER),ENSG00000158290,2023,37679762
CYREN,Non-Homologous End Joining (NHEJ),ENSG00000122783,2018,30017584
DAXX,Homologous Recombination (HR),ENSG00000206279,2021,33876771
DCLRE1A,Fanconi Anemia (FA),ENSG00000198924,2026,41421443
DCLRE1B,Fanconi Anemia (FA),ENSG00000118655,2024,39738287
DCLRE1C,Non-Homologous End Joining (NHEJ),ENSG00000152457,2022,36546626
DDB1,Nucleotide Excision Repair (NER),ENSG00000167986,2022,36378961
DDB2,Nucleotide Excision Repair (NER),ENSG00000134574,2025,39960727
DDX11,Fanconi Anemia (FA),ENSG00000013573,2023,36779347
DMC1,Homologous Recombination (HR),ENSG00000100206,2022,35172124
DNA2,Homologous Recombination (HR),ENSG00000138346,2023,36746606
DONSON,Replication stress,ENSG00000159147,2017,28191891
EME1,Homologous Recombination (HR),ENSG00000154920,2026,41113473
EME2,Homologous Recombination (HR),ENSG00000197774,2022,35290797
ENDOV,Base Excision Repair (BER),ENSG00000173818,2015,26116888
ERCC1,Nucleotide Excision Repair (NER),ENSG00000012061,2021,33981041
ERCC2,Nucleotide Excision Repair (NER),ENSG00000104884,,30252254
ERCC3,Nucleotide Excision Repair (NER),ENSG00000163161,,30252254
ERCC4,Nucleotide Excision Repair (NER),ENSG00000175595,2025,40205037
ERCC5,Nucleotide Excision Repair (NER),ENSG00000134899,2016,27556946
ERCC6,Nucleotide Excision Repair (NER),ENSG00000225830,2022,36099812
ERCC6L2,Non-Homologous End Joining (NHEJ),ENSG00000182150,2020,32649862
ERCC8,Nucleotide Excision Repair (NER),ENSG00000049167,,30252254
EXO1,Mismatch Repair (MMR),ENSG00000174371,2021,33338427
EXO5,Homologous Recombination (HR),ENSG00000164002,2018,29617664
FAAP100,Fanconi Anemia (FA),ENSG00000185504,2025,40541815
FAAP20,Fanconi Anemia (FA),ENSG00000162585,2024,39397154
FAAP24,Fanconi Anemia (FA),ENSG00000131944,2025,39654522
FAN1,Fanconi Anemia (FA),ENSG00000198690,2023,37827155
FANCA,Fanconi Anemia (FA),ENSG00000187741,2023,37057596
FANCB,Fanconi Anemia (FA),ENSG00000181544,2025,40244696
FANCC,Fanconi Anemia (FA),ENSG00000158169,2023,37057596
FANCD2,Fanconi Anemia (FA),ENSG00000144554,2024,39181133
FANCE,Fanconi Anemia (FA),ENSG00000112039,2024,39210375
FANCF,Fanconi Anemia (FA),ENSG00000183161,2023,36652992
FANCG,Fanconi Anemia (FA),ENSG00000221829,2024,39149814
FANCI,Fanconi Anemia (FA),ENSG00000140525,2025,41066557
FANCL,Fanconi Anemia (FA),ENSG00000115392,2025,40479584
FANCM,Fanconi Anemia (FA),ENSG00000187790,2025,40205037
FEN1,Base Excision Repair (BER),ENSG00000168496,2012,23118055
GEN1,Homologous Recombination (HR),ENSG00000178295,2021,32840779
GTF2H1,Nucleotide Excision Repair (NER),ENSG00000288114,2018,29727754
GTF2H2,Nucleotide Excision Repair (NER),ENSG00000276910,2022,36116407
GTF2H3,Nucleotide Excision Repair (NER),ENSG00000111358,2013,23504502
GTF2H4,Nucleotide Excision Repair (NER),ENSG00000226384,2017,28715716
GTF2H5,Nucleotide Excision Repair (NER),ENSG00000272047,2015,25620205
H2AX,Checkpoint Signaling,ENSG00000188486,2021,33597753
HELB,Replication stress,ENSG00000127311,2025,40496644
HELQ,Homologous Recombination (HR),ENSG00000163312,2023,37897354
HFM1,Homologous Recombination (HR),ENSG00000162669,2022,35172124
HLTF,Translesion Synthesis (TLS),ENSG00000071794,2024,39142279
HMCES,Base Excision Repair (BER),ENSG00000183624,2019,30554877
HUS1,Checkpoint Signaling,ENSG00000136273,2022,35439302
LIG1,Base Excision Repair (BER),ENSG00000105486,2023,38044421
LIG3,Base Excision Repair (BER),ENSG00000005156,2025,40300601
LIG4,Non-Homologous End Joining (NHEJ),ENSG00000174405,2024,38423014
MAD2L2,Non-Homologous End Joining (NHEJ),ENSG00000116670,2018,30022168
MBD4,Base Excision Repair (BER),ENSG00000129071,2014,24434851
MCM8,Homologous Recombination (HR),ENSG00000125885,2024,38858601
MCM9,Homologous Recombination (HR),ENSG00000111877,2025,40593474
MDC1,Checkpoint Signaling,ENSG00000234012,2023,37377435
MGMT,Direct Repair (DR),ENSG00000170430,2005,15758010
MLH1,Mismatch Repair (MMR),ENSG00000076242,2021,33338427
MLH3,Mismatch Repair (MMR),ENSG00000119684,2014,24403070
MMS19,Nucleotide Excision Repair (NER),ENSG00000155229,2024,38507470
