Cancer,Gene,DDR_Pathway,Expression_Evidence,Mutation_Frequency,CNV_Frequency,PPI_Degree,Coexpression_Coherence,Expression_Evidence_Method,MO_DDRweight_raw,MO_DDRweight
ACC,ABRAXAS1,HR,0.513153804799635,0,0,21,0.403160975724784,tumor_log2TPM_MAD_no_or_few_normals,0.0498105089067905,0.0320037619083081
ACC,ALKBH1,BER,0.650570877070108,0,0.376623376623377,2,0.488014274221598,tumor_log2TPM_MAD_no_or_few_normals,0.0647381918827861,0.0499528646074694
ACC,ALKBH2,BER,0.567617475893442,0,0.753246753246753,1,0.389985155449127,tumor_log2TPM_MAD_no_or_few_normals,0.0935603375519743,0.0846087220140301
ACC,ALKBH3,BER,0.615102088514144,0,0.311688311688312,1,0.489696117497408,tumor_log2TPM_MAD_no_or_few_normals,0.0566602457854961,0.0402399115435746
ACC,APEX1,BER,1.0365057211026,0.0126582278481013,0.415584415584416,40,0.533395691418426,tumor_log2TPM_MAD_no_or_few_normals,0.176583808179341,0.184436458383279
ACC,APEX2,BER,0.924629002204979,0,0.480519480519481,9,0.253257391301608,tumor_log2TPM_MAD_no_or_few_normals,0.0820121488201574,0.0707231360279133
ACC,APLF,NHEJ,0.367872127033835,0,0.324675324675325,21,0.44430380879183,tumor_log2TPM_MAD_no_or_few_normals,0.0783348437462149,0.0663015304422052
ACC,APTX,BER,0.569511681760474,0,0.415584415584416,21,0.464958079274484,tumor_log2TPM_MAD_no_or_few_normals,0.0916442440855439,0.0823048039535075
ACC,ATM,DNA damage checkpoint,0.533114574966285,0.0253164556962025,0.337662337662338,101,0.480286023918387,tumor_log2TPM_MAD_no_or_few_normals,0.287042907245914,0.31725289857637
ACC,ATR,DNA damage checkpoint,0.670345800031714,0.0126582278481013,0.363636363636364,62,0.460207051670051,tumor_log2TPM_MAD_no_or_few_normals,0.191558622555773,0.20244223205731
ACC,ATRIP,DNA damage checkpoint,0.567297960797556,0,0.285714285714286,41,0.531165836080161,tumor_log2TPM_MAD_no_or_few_normals,0.108698955501301,0.102811453726164
ACC,ATRX,HR,0.90519541447657,0.0506329113924051,0.441558441558442,31,0.35253100254,tumor_log2TPM_MAD_no_or_few_normals,0.300309070668814,0.333204183855164
ACC,AUNIP,HR,0.842347580742233,0,0,0,0.505655155614458,tumor_log2TPM_MAD_no_or_few_normals,0.0315296829935145,0.0100228274075875
ACC,BABAM1,HR,0.714945486214948,0,0.61038961038961,9,0.48929889976912,tumor_log2TPM_MAD_no_or_few_normals,0.0973406842347422,0.0891542252214968
ACC,BABAM2,HR,0.74885242646717,0,0,11,0.163740502742602,tumor_log2TPM_MAD_no_or_few_normals,0.0334709500450861,0.0123570142824822
ACC,BARD1,HR,0.783516110164875,0,0.285714285714286,56,0.516703956068398,tumor_log2TPM_MAD_no_or_few_normals,0.133013489114568,0.132047341278742
ACC,BLM,HR,0.493412331570243,0,0.324675324675325,72,0.488315502545769,tumor_log2TPM_MAD_no_or_few_normals,0.151351245255349,0.154096728901211
ACC,BOD1L1,Replication stress,0.763249080921415,0,0,1,0.450077340402426,tumor_log2TPM_MAD_no_or_few_normals,0.0294530317172698,0.00752585402681581
ACC,BRAT1,DNA damage checkpoint,0.648173209637449,0,0.584415584415584,1,0.474854795934039,tumor_log2TPM_MAD_no_or_few_normals,0.0822502715915531,0.0710094557525258
ACC,BRCA1,HR,0.935042623924314,0,0.337662337662338,122,0.564242876459357,tumor_log2TPM_MAD_no_or_few_normals,0.231809868116522,0.250840482576216
ACC,BRCA2,HR,0.47856846248204,0,0.467532467532468,97,0.531408907248834,tumor_log2TPM_MAD_no_or_few_normals,0.199545648128981,0.212045861937771
ACC,BRCC3,HR,0.766782047254624,0,0.493506493506494,12,0.403086925943249,tumor_log2TPM_MAD_no_or_few_normals,0.0888237805153216,0.0789134678457828
ACC,BRIP1,FA,0.710734726678803,0,0.324675324675325,62,0.491769046749404,tumor_log2TPM_MAD_no_or_few_normals,0.142443871203233,0.143386468514628
ACC,CCNH,NER,0.444912697523518,0,0.688311688311688,22,0.355098998496223,tumor_log2TPM_MAD_no_or_few_normals,0.112258228409244,0.107091136987239
ACC,CDK7,NER,0.673967536063735,0,0.688311688311688,22,0.410584310075889,tumor_log2TPM_MAD_no_or_few_normals,0.118796728166639,0.114953053925899
ACC,CETN2,NER,0.822012041349759,0,0.506493506493507,38,0.362315505699298,tumor_log2TPM_MAD_no_or_few_normals,0.125040938564183,0.122461116220692
ACC,CHD1L,BER,0.0741198423868824,0,0.285714285714286,12,0.290801164716862,tumor_log2TPM_MAD_no_or_few_normals,0.0514988669412249,0.0340338500205589
ACC,CHEK1,DNA damage checkpoint,1.14040729681692,0,0.337662337662338,66,0.533586745225911,tumor_log2TPM_MAD_no_or_few_normals,0.159326015312958,0.163685622703175
ACC,CHEK2,DNA damage checkpoint,1.54741108358898,0.0126582278481013,0.441558441558442,62,0.501505174952377,tumor_log2TPM_MAD_no_or_few_normals,0.218340341258587,0.234644672330851
ACC,CIP2A,DNA damage checkpoint,1.02044998122728,0,0,0,0.561650673077221,tumor_log2TPM_MAD_no_or_few_normals,0.0370272034185392,0.0166330668438202
ACC,CLK2,DNA damage checkpoint,0.885157679326919,0.0126582278481013,0.285714285714286,0,0.492584756907082,tumor_log2TPM_MAD_no_or_few_normals,0.10592984573821,0.0994818656311532
ACC,CLSPN,DNA damage checkpoint,0.515630649870242,0,0.376623376623377,22,0.516138977979452,tumor_log2TPM_MAD_no_or_few_normals,0.0898995885898237,0.0802070235600136
ACC,CTC1,Replication stress,0.596281072545068,0,0.350649350649351,6,0.451308158327783,tumor_log2TPM_MAD_no_or_few_normals,0.0654247958031591,0.0507784397687479
