cancer	group	pval
ACC	2	0.000132396982750701
LIHC	2	0.000561028087720046
LUAD	2	0.0097460868554
THYM	2	0.0199876673210171
STAD	2	0.0294736871395277
COAD	2	0.0450646560397798
READ	2	0.0735376571011923
SKCM	2	0.103539240232192
OV	2	0.109152050594716
UVM	2	0.142125620651275
LUSC	2	0.165824576075088
HNSC	2	0.172735547813587
CESC	2	0.177411508070003
SARC	2	0.184692539469027
BLCA	2	0.211098552542311
UCEC	2	0.235942794822169
DLBC	2	0.363918364057395
KICH	2	0.384489516848965
CHOL	2	0.434017801345516
KIRP	2	0.611470168447103
THCA	2	0.624678483563899
GBM	2	0.625034204957491
TGCT	2	0.764448252440518
PAAD	2	0.769091023019461
PCPG	2	0.8425269845843
UCS	2	0.915042207657706
BRCA	2	0.91751391198066
PRAD	2	0.92274224923411
ESCA	2	0.958348541712964
LAML	2	0.961240977468213
LGG	2	1.73207784629598e-05
KIRC	2	5.02910596884654e-07
MESO	2	9.77221443667258e-10
