Gene A,Gene B,GEMINI sensitive,Cell line
APEX2,BRCA2,-2.4578,K562
APEX2,FANCA,-1.1009,K562
APEX2,FANCD2,-0.9931,K562
APEX2,FANCM,-1.1382,K562
APEX2,HUS1,-1.0226,K562
APEX2,PCNA,-0.7545,K562
APEX2,RAD51C,-1.4916,K562
APEX2,RNF8,-0.5238,K562
APEX2,SLX4,-1.676,K562
APEX2,TDP1,-1.4584,K562
APEX2,UBE2T,-0.1899,K562
APEX2,UVSSA,-0.3323,K562
ATR,ATRIP,-1.9077,K562
ATR,FANCF,-0.526,K562
ATR,GTF2H1,-0.2966,K562
ATR,MNAT1,-1.7865,K562
ATR,POLA1,-1.8781,K562
ATR,POLD3,-2.376,K562
ATR,RAD51,-2.8644,K562
ATR,RAD51C,-2.0517,K562
ATR,RPA3,-2.1485,K562
ATR,TDP2,-2.2836,K562
ATR,TOPBP1,-0.5226,K562
ATRIP,BLM,-1.4192,K562
ATRIP,CHEK1,-0.6833,K562
ATRIP,CHEK2,-1.1225,K562
ATRIP,GTF2H3,-2.35,K562
ATRIP,GTF2H5,-1.191,K562
ATRIP,RECQL4,-0.5697,K562
ATRIP,RMI1,-1.0637,K562
ATRIP,XRCC5,-1.4262,K562
ATRIP,XRCC6,-1.434,K562
ATRX,BRCA1,-1.2137,K562
ATRX,GTF2H1,-1.3942,K562
ATRX,GTF2H4,-1.0281,K562
ATRX,RAD51,-1.3321,K562
ATRX,RAD51C,-0.9118,K562
ATRX,RAD9A,-0.3879,K562
BARD1,CCNH,-1.2993,K562
BARD1,EME1,-1.3176,K562
BARD1,FANCA,-2.0842,K562
BARD1,FANCC,-1.4971,K562
BARD1,FANCD2,-2.6719,K562
BARD1,FANCE,-0.6699,K562
BARD1,FANCF,-2.3391,K562
BARD1,FANCM,-1.5129,K562
BARD1,POLN,-1.4395,K562
BARD1,PRPF19,-1.8015,K562
BARD1,RAD1,-0.1046,K562
BARD1,RPA1,-2.0087,K562
BARD1,RPA3,-1.2172,K562
BARD1,TOP3A,-2.7773,K562
BLM,CHEK1,-3.0151,K562
BLM,TOP3A,-1.2783,K562
BRCA1,DNA2,-1.1808,K562
BRCA1,ERCC2,-2.0417,K562
BRCA1,FANCF,-0.4394,K562
BRCA1,GTF2H1,-2.1522,K562
BRCA1,HUS1,-2.8232,K562
BRCA1,MRE11A,-1.0195,K562
BRCA1,POLQ,-1.2413,K562
BRCA1,PRPF19,-1.7178,K562
BRCA1,RAD9A,-1.6813,K562
BRCA1,RPA3,-2.0055,K562
BRCA1,TOP3A,-1.6199,K562
BRCA2,CHEK1,-0.696,K562
BRCA2,CHEK2,-2.2289,K562
BRCA2,FEN1,-0.5134,K562
BRCA2,LIG1,-2.516,K562
BRCA2,POLA1,-0.7192,K562
BRCA2,POLD2,-2.2803,K562
BRCA2,RAD9A,-1.7662,K562
BRCA2,RPA3,-1.7776,K562
BRCA2,XAB2,-2.1293,K562
CCNH,FAN1,-0.6949,K562
CCNH,GTF2H1,-1.192,K562
CCNH,HUS1,-0.835,K562
CCNH,MAD2L2,-0.9129,K562
CCNH,PRKDC,-0.6709,K562
CCNH,RAD9A,-0.6871,K562
CDK7,ERCC5,-0.6278,K562
CDK7,MSH6,-0.8585,K562
CDK7,REV3L,-0.9035,K562
CDK7,TDP2,-0.2362,K562
CHAF1A,FANCD2,-1.3126,K562
CHAF1A,PRPF19,-1.013,K562
CHEK1,CHEK2,-1.7433,K562
CHEK1,HUS1,-1.2097,K562
CHEK1,POLD3,-1.6285,K562
CHEK1,RAD51,-0.3328,K562
CHEK1,RAD9A,-1.1466,K562
CHEK1,TOP3A,-1.5055,K562
CHEK1,TOPBP1,-0.5627,K562
CHEK2,RAD51C,-1.3456,K562
CHEK2,RAD9A,-1.7024,K562
CHEK2,TOP3A,-1.3104,K562
DDB1,DNA2,-0.8586,K562
DDB1,NBN,-0.9306,K562
