#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABRAXAS1	BARD1	9606.ENSP00000369857	9606.ENSP00000260947	0	0	0	0	0.042	0.994	0.900	0.993	0.999
ABRAXAS1	MDC1	9606.ENSP00000369857	9606.ENSP00000365588	0	0	0	0	0	0.443	0.500	0.748	0.923
ABRAXAS1	BRCA1	9606.ENSP00000369857	9606.ENSP00000418960	0	0	0	0	0.056	0.994	0.900	0.997	0.999
APEX1	TDP1	9606.ENSP00000216714	9606.ENSP00000337353	0	0	0	0	0.120	0.289	0	0.860	0.904
APEX1	TDG	9606.ENSP00000216714	9606.ENSP00000376611	0.120	0	0	0	0.116	0	0.500	0.785	0.905
APEX1	PNKP	9606.ENSP00000216714	9606.ENSP00000323511	0.061	0	0	0	0.055	0.249	0	0.916	0.936
APEX1	APEX2	9606.ENSP00000216714	9606.ENSP00000364126	0	0	0.188	0.649	0.056	0	0.900	0.333	0.942
APEX1	TP53	9606.ENSP00000216714	9606.ENSP00000269305	0	0	0	0	0.104	0.510	0	0.884	0.944
APEX1	UNG	9606.ENSP00000216714	9606.ENSP00000242576	0.042	0	0	0	0.152	0.113	0.500	0.913	0.963
APEX1	PARP1	9606.ENSP00000216714	9606.ENSP00000355759	0	0	0	0	0.266	0.115	0.500	0.912	0.967
APEX1	LIG3	9606.ENSP00000216714	9606.ENSP00000367787	0.087	0	0	0	0.126	0.095	0	0.968	0.973
APEX1	MUTYH	9606.ENSP00000216714	9606.ENSP00000500891	0	0	0	0	0.061	0.647	0.500	0.870	0.975
APEX1	OGG1	9606.ENSP00000216714	9606.ENSP00000306561	0.115	0	0	0	0.056	0.134	0.500	0.969	0.986
APEX1	NTHL1	9606.ENSP00000216714	9606.ENSP00000219066	0.100	0.897	0	0	0.139	0.314	0.500	0.846	0.994
APEX1	LIG1	9606.ENSP00000216714	9606.ENSP00000263274	0.087	0	0	0	0.233	0.143	0.800	0.977	0.996
APEX1	POLB	9606.ENSP00000216714	9606.ENSP00000265421	0	0	0	0	0.049	0.510	0.900	0.970	0.998
APEX1	FEN1	9606.ENSP00000216714	9606.ENSP00000305480	0.042	0	0	0	0.406	0.310	0.800	0.989	0.998
APEX1	XRCC1	9606.ENSP00000216714	9606.ENSP00000262887	0	0	0	0	0.065	0.480	0	0.999	0.999
APLF	XRCC1	9606.ENSP00000307004	9606.ENSP00000262887	0	0	0	0	0	0.854	0	0.995	0.999
APLF	TDP1	9606.ENSP00000307004	9606.ENSP00000337353	0	0	0	0	0	0.780	0	0.589	0.905
APLF	PARP1	9606.ENSP00000307004	9606.ENSP00000355759	0	0	0	0	0	0.847	0	0.496	0.919
APLF	LIG4	9606.ENSP00000307004	9606.ENSP00000484288	0	0	0	0	0.049	0.834	0	0.626	0.935
APLF	LIG3	9606.ENSP00000307004	9606.ENSP00000367787	0	0	0	0	0	0.782	0	0.864	0.969
APLF	APTX	9606.ENSP00000307004	9606.ENSP00000369145	0	0	0	0	0	0	0	0.992	0.992
APLF	XRCC6	9606.ENSP00000307004	9606.ENSP00000352257	0	0	0	0	0	0.967	0	0.793	0.992
APLF	XRCC4	9606.ENSP00000307004	9606.ENSP00000421491	0	0	0	0	0.047	0.741	0	0.997	0.999
APLF	XRCC5	9606.ENSP00000307004	9606.ENSP00000375978	0	0	0	0	0	0.982	0	0.956	0.999
APTX	XRCC1	9606.ENSP00000369145	9606.ENSP00000262887	0	0	0	0	0.049	0.784	0	0.999	0.999
APTX	POLB	9606.ENSP00000369145	9606.ENSP00000265421	0	0	0	0	0.115	0.413	0	0.823	0.900
APTX	TDP1	9606.ENSP00000369145	9606.ENSP00000337353	0	0	0	0	0.095	0.591	0	0.912	0.964
APTX	PARP1	9606.ENSP00000369145	9606.ENSP00000355759	0	0	0	0	0.105	0.613	0	0.781	0.917
APTX	LIG3	9606.ENSP00000369145	9606.ENSP00000367787	0	0	0	0	0.114	0.362	0	0.959	0.975
APTX	XRCC4	9606.ENSP00000369145	9606.ENSP00000421491	0	0	0	0	0.056	0.742	0	0.994	0.998
ATM	ERCC1	9606.ENSP00000278616	9606.ENSP00000013807	0	0	0	0	0	0	0.900	0.769	0.975
ATM	MLH1	9606.ENSP00000278616	9606.ENSP00000231790	0	0	0	0	0.055	0.287	0.540	0.991	0.997
ATM	MSH2	9606.ENSP00000278616	9606.ENSP00000233146	0	0	0	0	0.066	0.324	0.900	0.994	0.999
ATM	MSH6	9606.ENSP00000278616	9606.ENSP00000234420	0	0	0	0	0.073	0.324	0.900	0.993	0.999
ATM	RPA1	9606.ENSP00000278616	9606.ENSP00000254719	0	0	0	0	0.047	0.660	0.500	0.611	0.928
ATM	HUS1	9606.ENSP00000278616	9606.ENSP00000258774	0	0	0	0	0.049	0.108	0.500	0.852	0.928
ATM	BRIP1	9606.ENSP00000278616	9606.ENSP00000259008	0	0	0	0	0.042	0	0.800	0.678	0.933
ATM	TOPBP1	9606.ENSP00000278616	9606.ENSP00000260810	0	0	0	0	0.096	0.534	0.500	0.810	0.954
ATM	BARD1	9606.ENSP00000278616	9606.ENSP00000260947	0	0	0	0	0.044	0.070	0.500	0.892	0.946
ATM	PALB2	9606.ENSP00000278616	9606.ENSP00000261584	0	0	0	0	0	0	0.540	0.886	0.945
