Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Source_File,Feature_Display,SignedLog10FDR,AbsEffect,NegLog10FDR,Direction,EffectScaledWithinFeature,Feature_clean,PlotValue,SigLabel
BLCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,212,219,-160.364879489836,-505.765832046617,-345.400952556781,0.00113287370704645,0.00453149482818579,**,P=0.00113,FDR=0.00453,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,StromalScore,-2.34375851133288,345.400952556781,2.34375851133288,Lower in High,-1.10226682118397,StromalScore,-1.10226682118397,**
BLCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,212,219,597.782013219656,2.12599703393607,-595.65601618572,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-2.31528293207938,595.65601618572,2.31528293207938,Lower in High,-0.438945063568099,ESTIMATEScore,-0.438945063568099,**
BLCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,212,219,0.769497252464686,0.822331845382429,0.0528345929177435,0.00362892783017734,0.00483857044023645,**,P=0.00363,FDR=0.00484,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,TumorPurity,2.31528293207938,0.0528345929177435,2.31528293207938,Higher in High,0.357146862374617,TumorPurity,0.357146862374617,**
BLCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,212,219,561.47089460835,411.446266086283,-150.024628522067,0.033700539266414,0.033700539266414,*,P=0.0337,FDR=0.0337,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BLCA/BLCA_IOBR_estimate_group_comparison.csv,ImmuneScore,-1.47236314961667,150.024628522067,1.47236314961667,Lower in High,0.573983164925071,ImmuneScore,0.573983164925071,*
BRCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,605,621,1703.10918990354,1143.44236992154,-559.666819982,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-10.1620834967094,559.666819982,10.1620834967094,Lower in High,-0.347364275223308,ESTIMATEScore,-0.347364275223308,****
BRCA,TumorPurity_estimate,Tumorpurity Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),TUMORPURITYESTIMATE,605,621,0.656230677251942,0.715936842583977,0.0597061653320351,3.44259954982977e-11,6.88519909965954e-11,****,P=3.44e-11,FDR=6.89e-11,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,TumorPurity,10.1620834967094,0.0597061653320351,10.1620834967094,Higher in High,0.54104880996906,TumorPurity,0.54104880996906,****
BRCA,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,605,621,838.678364620011,544.377508559767,-294.300856060244,3.09687174336065e-09,4.12916232448086e-09,****,P=3.10e-09,FDR=4.13e-09,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,StromalScore,-8.38413804392583,294.300856060244,8.38413804392583,Lower in High,-0.830741370701656,StromalScore,-0.830741370701656,****
BRCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,605,621,791.386489550944,566.256901528642,-225.129588022302,5.43991129344688e-09,5.43991129344688e-09,****,P=5.44e-09,FDR=5.44e-09,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/BRCA/BRCA_IOBR_estimate_group_comparison.csv,ImmuneScore,-8.26440818211811,225.129588022302,8.26440818211811,Lower in High,0.201482050034378,ImmuneScore,0.201482050034378,****
ESCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,87,84,577.435062410199,222.924274619979,-354.51078779022,0.000796659253000379,0.00318663701200151,**,P=7.97e-04,FDR=0.00319,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/ESCA/ESCA_IOBR_estimate_group_comparison.csv,ImmuneScore,-2.49666740394483,354.51078779022,2.49666740394483,Lower in High,-0.440215135879078,ImmuneScore,-0.440215135879078,**
ESCA,ESTIMATEScore_estimate,Estimatescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),ESTIMATESCOREESTIMATE,87,84,313.895531665146,-191.909681849788,-505.805213514934,0.0104708248496008,0.0139610997994677,*,P=0.0105,FDR=0.014,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/F_ESTIMATE_TME/ESCA/ESCA_IOBR_estimate_group_comparison.csv,ESTIMATEScore,-1.85508036838719,505.805213514934,1.85508036838719,Lower in High,-0.210304020977872,ESTIMATEScore,-0.210304020977872,*
