Cancer,Group,StatusLabel,N,Total,Proportion,Percent,Label
LUAD,Low,Predicted responder,181,258,0.701550387596899,70.1550387596899,70%
LUAD,Low,Non-responder,77,258,0.298449612403101,29.8449612403101,30%
LUAD,High,Predicted responder,229,258,0.887596899224806,88.7596899224806,89%
LUAD,High,Non-responder,29,258,0.112403100775194,11.2403100775194,11%
UCEC,Low,Predicted responder,251,272,0.922794117647059,92.2794117647059,92%
UCEC,Low,Non-responder,21,272,0.0772058823529412,7.72058823529412,8%
UCEC,High,Predicted responder,273,273,1,100,100%
UCEC,High,Non-responder,0,273,0,0,""
BRCA,Low,Predicted responder,494,547,0.903107861060329,90.3107861060329,90%
BRCA,Low,Non-responder,53,547,0.0968921389396709,9.68921389396709,10%
BRCA,High,Predicted responder,540,548,0.985401459854015,98.5401459854015,99%
BRCA,High,Non-responder,8,548,0.0145985401459854,1.45985401459854,""
STAD,Low,Predicted responder,108,187,0.577540106951872,57.7540106951872,58%
STAD,Low,Non-responder,79,187,0.422459893048128,42.2459893048128,42%
STAD,High,Predicted responder,159,188,0.845744680851064,84.5744680851064,85%
STAD,High,Non-responder,29,188,0.154255319148936,15.4255319148936,15%
SKCM,Low,Predicted responder,183,234,0.782051282051282,78.2051282051282,78%
SKCM,Low,Non-responder,51,234,0.217948717948718,21.7948717948718,22%
SKCM,High,Predicted responder,222,235,0.94468085106383,94.468085106383,94%
SKCM,High,Non-responder,13,235,0.0553191489361702,5.53191489361702,6%
ESCA,Low,Predicted responder,64,81,0.790123456790123,79.0123456790123,79%
ESCA,Low,Non-responder,17,81,0.209876543209877,20.9876543209877,21%
ESCA,High,Predicted responder,80,81,0.987654320987654,98.7654320987654,99%
ESCA,High,Non-responder,1,81,0.0123456790123457,1.23456790123457,""
HNSC,Low,Predicted responder,189,251,0.752988047808765,75.2988047808765,75%
HNSC,Low,Non-responder,62,251,0.247011952191235,24.7011952191235,25%
HNSC,High,Predicted responder,221,251,0.880478087649402,88.0478087649403,88%
HNSC,High,Non-responder,30,251,0.119521912350598,11.9521912350598,12%
BLCA,Low,Predicted responder,174,203,0.857142857142857,85.7142857142857,86%
BLCA,Low,Non-responder,29,203,0.142857142857143,14.2857142857143,14%
BLCA,High,Predicted responder,188,203,0.926108374384236,92.6108374384236,93%
BLCA,High,Non-responder,15,203,0.0738916256157636,7.38916256157636,7%
