Gene A,Gene B,GEMINI sensitive,Cell line
ABL1,CCNH,-1.5064,RPE-1
ABL1,MCM7,-1.2693,RPE-1
ABL1,PCNA,-1.2285,RPE-1
ABL1,RFC2,-1.0858,RPE-1
ABL1,SHFM1,-1.1708,RPE-1
ACTB,CCNH,-1.4433,RPE-1
ACTB,WDHD1,-1.0614,RPE-1
ACTB,WDR70,-1.8208,RPE-1
ACTL6A,ACTR5,-1.0037,RPE-1
ACTL6A,ALKBH1,-1.016,RPE-1
ACTL6A,BRD8,-1.082,RPE-1
ACTL6A,CDC45,-1.6097,RPE-1
ACTL6A,COPS5,-2.5655,RPE-1
ACTL6A,DCLRE1B,-1.1164,RPE-1
ACTL6A,DDX11,-1.0718,RPE-1
ACTL6A,DMAP1,-2.2007,RPE-1
ACTL6A,DNA2,-1.5835,RPE-1
ACTL6A,ERCC6,-1.0117,RPE-1
ACTL6A,FANCC,-1.5174,RPE-1
ACTL6A,GINS4,-1.4411,RPE-1
ACTL6A,MCM4,-1.0763,RPE-1
ACTL6A,MCRS1,-1.8863,RPE-1
ACTL6A,MEN1,-2.4733,RPE-1
ACTL6A,OBFC1,-1.0066,RPE-1
ACTL6A,OTUB1,-1.0213,RPE-1
ACTL6A,PARPBP,-1.0013,RPE-1
ACTL6A,PPP4C,-1.0373,RPE-1
ACTL6A,SHFM1,-1.6671,RPE-1
ACTL6A,SMC6,-1.1529,RPE-1
ACTL6A,SUMO1,-1.487,RPE-1
ACTL6A,SUV420H1,-1.3174,RPE-1
ACTL6A,UHRF1,-1.0226,RPE-1
ACTR2,ASCC3,-1.1246,RPE-1
ACTR2,BIVM.ERCC5,-1.2995,RPE-1
ACTR2,CDK7,-1.0032,RPE-1
ACTR2,DCLRE1B,-1.0753,RPE-1
ACTR2,DHX9,-1.7277,RPE-1
ACTR2,FAM175A,-1.0159,RPE-1
ACTR2,FANCC,-1.3185,RPE-1
ACTR2,FZR1,-1.4649,RPE-1
ACTR2,GTF2H5,-1.332,RPE-1
ACTR2,HUS1,-1.6471,RPE-1
ACTR2,ING3,-1.3585,RPE-1
ACTR2,MEN1,-1.5711,RPE-1
ACTR2,PCNA,-1.1279,RPE-1
ACTR2,PIAS4,-1.3439,RPE-1
ACTR2,POLR2B,-1.0632,RPE-1
ACTR2,RAD1,-1.0674,RPE-1
ACTR2,RAD51D,-1.3145,RPE-1
ACTR2,RAD9A,-1.5905,RPE-1
ACTR2,RFC1,-1.6207,RPE-1
ACTR2,SUMO1,-1.7523,RPE-1
ACTR2,SUPT16H,-1.2811,RPE-1
