cancer,gene,status,ok,contentType,error
"BLCA","ABRAXAS1","500","false","application/json;charset=utf-8",""
"BLCA","ALKBH1","500","false","application/json;charset=utf-8",""
"BLCA","ALKBH2","500","false","application/json;charset=utf-8",""
"BLCA","ALKBH3","500","false","application/json;charset=utf-8",""
"BLCA","APEX1","500","false","application/json;charset=utf-8",""
"BLCA","APEX2","500","false","application/json;charset=utf-8",""
"BLCA","APLF","500","false","application/json;charset=utf-8",""
"BLCA","APTX","500","false","application/json;charset=utf-8",""
"BLCA","ATM","200","true","application/octet-stream;charset=utf-8",""
"BLCA","ATR","500","false","application/json;charset=utf-8",""
"BLCA","ATRIP","500","false","application/json;charset=utf-8",""
"BLCA","ATRX","500","false","application/json;charset=utf-8",""
"BLCA","AUNIP","500","false","application/json;charset=utf-8",""
"BLCA","BABAM1","500","false","application/json;charset=utf-8",""
"BLCA","BABAM2","500","false","application/json;charset=utf-8",""
"BLCA","BARD1","500","false","application/json;charset=utf-8",""
"BLCA","BLM","500","false","application/json;charset=utf-8",""
"BLCA","BOD1L1","500","false","application/json;charset=utf-8",""
"BLCA","BRAT1","500","false","application/json;charset=utf-8",""
"BLCA","BRCA1","500","false","application/json;charset=utf-8",""
"BLCA","BRCA2","500","false","application/json;charset=utf-8",""
"BLCA","BRCC3","500","false","application/json;charset=utf-8",""
"BLCA","BRIP1","500","false","application/json;charset=utf-8",""
"BLCA","CCNH","500","false","application/json;charset=utf-8",""
"BLCA","CDK7","500","false","application/json;charset=utf-8",""
"BLCA","CETN2","500","false","application/json;charset=utf-8",""
"BLCA","CHD1L","500","false","application/json;charset=utf-8",""
"BLCA","CHEK1","500","false","application/json;charset=utf-8",""
"BLCA","CHEK2","500","false","application/json;charset=utf-8",""
"BLCA","CIP2A","500","false","application/json;charset=utf-8",""
"BLCA","CLK2","500","false","application/json;charset=utf-8",""
"BLCA","CLSPN","500","false","application/json;charset=utf-8",""
"BLCA","CTC1","500","false","application/json;charset=utf-8",""
"BLCA","CUL4A","500","false","application/json;charset=utf-8",""
"BLCA","CUL4B","500","false","application/json;charset=utf-8",""
"BLCA","CYREN","500","false","application/json;charset=utf-8",""
"BLCA","DAXX","500","false","application/json;charset=utf-8",""
"BLCA","DCLRE1A","500","false","application/json;charset=utf-8",""
"BLCA","DCLRE1B","500","false","application/json;charset=utf-8",""
"BLCA","DCLRE1C","500","false","application/json;charset=utf-8",""
"BLCA","DDB1","500","false","application/json;charset=utf-8",""
"BLCA","DDB2","500","false","application/json;charset=utf-8",""
"BLCA","DDX11","500","false","application/json;charset=utf-8",""
"BLCA","DMC1","500","false","application/json;charset=utf-8",""
"BLCA","DNA2","500","false","application/json;charset=utf-8",""
"BLCA","DONSON","500","false","application/json;charset=utf-8",""
"BLCA","EME1","500","false","application/json;charset=utf-8",""
"BLCA","EME2","500","false","application/json;charset=utf-8",""
"BLCA","ENDOV","500","false","application/json;charset=utf-8",""
"BLCA","ERCC1","500","false","application/json;charset=utf-8",""
"BLCA","ERCC2","500","false","application/json;charset=utf-8",""
"BLCA","ERCC3","500","false","application/json;charset=utf-8",""
"BLCA","ERCC4","500","false","application/json;charset=utf-8",""
"BLCA","ERCC5","500","false","application/json;charset=utf-8",""
"BLCA","ERCC6","500","false","application/json;charset=utf-8",""
"BLCA","ERCC6L2","500","false","application/json;charset=utf-8",""
"BLCA","ERCC8","500","false","application/json;charset=utf-8",""
"BLCA","EXO1","500","false","application/json;charset=utf-8",""
"BLCA","EXO5","500","false","application/json;charset=utf-8",""
"BLCA","FAAP100","500","false","application/json;charset=utf-8",""
"BLCA","FAAP20","500","false","application/json;charset=utf-8",""
"BLCA","FAAP24","500","false","application/json;charset=utf-8",""
"BLCA","FAN1","500","false","application/json;charset=utf-8",""
"BLCA","FANCA","500","false","application/json;charset=utf-8",""
"BLCA","FANCB","500","false","application/json;charset=utf-8",""
"BLCA","FANCC","500","false","application/json;charset=utf-8",""
"BLCA","FANCD2","500","false","application/json;charset=utf-8",""
"BLCA","FANCE","500","false","application/json;charset=utf-8",""
"BLCA","FANCF","500","false","application/json;charset=utf-8",""
"BLCA","FANCG","500","false","application/json;charset=utf-8",""
"BLCA","FANCI","500","false","application/json;charset=utf-8",""
"BLCA","FANCL","500","false","application/json;charset=utf-8",""
"BLCA","FANCM","500","false","application/json;charset=utf-8",""
"BLCA","FEN1","500","false","application/json;charset=utf-8",""
"BLCA","GEN1","500","false","application/json;charset=utf-8",""
"BLCA","GTF2H1","500","false","application/json;charset=utf-8",""
"BLCA","GTF2H2","500","false","application/json;charset=utf-8",""
"BLCA","GTF2H3","500","false","application/json;charset=utf-8",""
"BLCA","GTF2H4","500","false","application/json;charset=utf-8",""
"BLCA","GTF2H5","500","false","application/json;charset=utf-8",""
"BLCA","H2AX","500","false","application/json;charset=utf-8",""
"BLCA","HELB","500","false","application/json;charset=utf-8",""
"BLCA","HELQ","500","false","application/json;charset=utf-8",""
"BLCA","HFM1","500","false","application/json;charset=utf-8",""
