Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,SignedLog10FDR,AbsEffect,NegLog10FDR,Direction,EffectScaledWithinFeature,PlotValue,SigLabel
BLCA,CD47,CD47,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD47,212,219,5.17855049226852,5.68101909140382,0.502468599135297,2.03497630445315e-09,4.68044550024224e-08,****,P=2.03e-09,FDR=4.68e-08,CD47,7.32971280737702,0.502468599135297,7.32971280737702,Higher in High,0.102024491051468,0.102024491051468,****
BLCA,CD276,CD276,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD276,212,219,5.73877909465739,6.15742576348118,0.418646668823786,3.35907091407757e-08,3.86293155118921e-07,****,P=3.36e-08,FDR=3.86e-07,CD276,6.41308298722256,0.418646668823786,6.41308298722256,Higher in High,0.160990300404068,0.160990300404068,****
BLCA,CD274,CD274,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD274,212,219,1.70809875459298,2.42945528388071,0.721356529287734,6.18666616513792e-08,4.74311072660574e-07,****,P=6.19e-08,FDR=4.74e-07,CD274,6.32393673674544,0.721356529287734,6.32393673674544,Higher in High,1.2864079789989,1.2864079789989,****
BLCA,TIGIT,TIGIT,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,TIGIT,212,219,1.23238446925722,1.57153119841353,0.339146729156317,0.00925652727058343,0.0304143038890599,*,P=0.00926,FDR=0.0304,TIGIT,1.5169221190531,0.339146729156317,1.5169221190531,Higher in High,1.12580271289328,1.12580271289328,*
BLCA,PDCD1LG2,PDCD1lg2,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1LG2,212,219,1.51901073507447,1.784545860262,0.26553512518753,0.0196347886206252,0.0451600138274381,*,P=0.0196,FDR=0.0452,PDCD1LG2,1.34524593377145,0.26553512518753,1.34524593377145,Higher in High,0.359608881651992,0.359608881651992,*
BLCA,PDCD1,PDCD1,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1,212,219,1.24761292742674,1.49021069545115,0.242597768024411,0.0663726912028766,0.101771459844411,ns,P=0.0664,FDR=0.102,PDCD1,0.992373995770256,0.242597768024411,0.992373995770256,Higher in High,0.521701973059059,0.521701973059059,""
BLCA,CTLA4,CTLA4,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CTLA4,212,219,1.64096137504959,1.78458773637889,0.143626361329296,0.0975533713117921,0.131983972951248,ns,P=0.0976,FDR=0.132,CTLA4,0.879478802744359,0.143626361329296,0.879478802744359,Higher in High,0.266320215293827,0.266320215293827,""
BRCA,CD47,CD47,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD47,605,621,5.54603939044348,5.89900882131019,0.352969430866708,2.45594822649556e-19,5.6486809209398e-18,****,P=2.46e-19,FDR=5.65e-18,CD47,17.2480529567186,0.352969430866708,17.2480529567186,Higher in High,-0.378982831886069,-0.378982831886069,****
BRCA,CD276,CD276,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD276,605,621,6.2031463297304,6.43680813493515,0.233661805204751,7.97219306689486e-10,6.86880351549603e-09,****,P=7.97e-10,FDR=6.87e-09,CD276,8.16311890658998,0.233661805204751,8.16311890658998,Higher in High,-0.402354855526523,-0.402354855526523,****
BRCA,CD274,CD274,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD274,605,621,1.93606310190092,2.1823109180257,0.246247816124775,2.23118170822465e-07,1.02634358578334e-06,****,P=2.23e-07,FDR=1.03e-06,CD274,5.98870722749861,0.246247816124775,5.98870722749861,Higher in High,-0.171103591926013,-0.171103591926013,****
BRCA,PDCD1LG2,PDCD1lg2,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1LG2,605,621,2.64874153049173,2.76557717794607,0.116835647454344,0.00387296602093366,0.0111347773101843,*,P=0.00387,FDR=0.0111,PDCD1LG2,1.95331846420922,0.116835647454344,1.95331846420922,Higher in High,-0.170656743632824,-0.170656743632824,*
BRCA,PDCD1,PDCD1,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1,605,621,1.38521012917473,1.37222778347286,-0.0129823457018734,0.207671900863879,0.367419516913017,ns,P=0.208,FDR=0.367,PDCD1,-0.434837778181264,0.0129823457018734,0.434837778181264,Lower in High,-0.224558286959299,-0.224558286959299,""
BRCA,TIGIT,TIGIT,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,TIGIT,605,621,1.54220851432284,1.64362534009972,0.101416825776875,0.39778239564895,0.571812193745366,ns,P=0.398,FDR=0.572,TIGIT,0.242746587663127,0.101416825776875,0.242746587663127,Higher in High,0.107317330271614,0.107317330271614,""
BRCA,CTLA4,CTLA4,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CTLA4,605,621,1.49789334127367,1.61060557999446,0.112712238720785,0.432072394652434,0.574237513325297,ns,P=0.432,FDR=0.574,CTLA4,0.240908439672998,0.112712238720785,0.240908439672998,Higher in High,0.140530420397523,0.140530420397523,""
ESCA,CD276,CD276,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD276,87,84,5.51909209302881,6.2181876514983,0.699095558469485,1.04309875986997e-07,2.39912714770092e-06,****,P=1.04e-07,FDR=2.40e-06,CD276,5.61994673490769,0.699095558469485,5.61994673490769,Higher in High,1.01505760286935,1.01505760286935,****
ESCA,CD47,CD47,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD47,87,84,5.53509493123989,5.75126102651529,0.216166095275399,0.176446529740331,0.725537718136614,ns,P=0.176,FDR=0.726,CD47,0.139340005207221,0.216166095275399,0.139340005207221,Higher in High,-0.819141844031737,-0.819141844031737,""
ESCA,CD274,CD274,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD274,87,84,2.41058533253684,2.34211301806215,-0.0684723144746919,0.357986450058811,0.725537718136614,ns,P=0.358,FDR=0.726,CD274,-0.139340005207221,0.0684723144746919,0.139340005207221,Lower in High,-1.13658416351551,-1.13658416351551,""
ESCA,TIGIT,TIGIT,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,TIGIT,87,84,1.14032058464356,1.24491198588644,0.10459140124288,0.666451002896736,0.802576407224485,ns,P=0.666,FDR=0.803,TIGIT,0.0955136110646992,0.10459140124288,0.0955136110646992,Higher in High,0.120917885616959,0.120917885616959,""
ESCA,CTLA4,CTLA4,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CTLA4,87,84,1.95158779481475,2.16697978160584,0.215391986791087,0.694761275586182,0.802576407224485,ns,P=0.695,FDR=0.803,CTLA4,0.0955136110646992,0.215391986791087,0.0955136110646992,Higher in High,0.558335079236895,0.558335079236895,""
ESCA,PDCD1,PDCD1,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1,87,84,1.6156517047923,1.67057222388006,0.0549205190877611,0.732787154422356,0.802576407224485,ns,P=0.733,FDR=0.803,PDCD1,0.0955136110646992,0.0549205190877611,0.0955136110646992,Higher in High,-0.02629086781192,-0.02629086781192,""
ESCA,PDCD1LG2,PDCD1lg2,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1LG2,87,84,1.81688637401492,1.82286629982621,0.00597992581129381,0.959340405811628,0.959340405811628,ns,P=0.959,FDR=0.959,PDCD1LG2,0.0180272633883866,0.00597992581129381,0.0180272633883866,Higher in High,-0.56597069798932,-0.56597069798932,""
HNSC,CD276,CD276,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD276,275,272,6.16203476529526,6.52380033241196,0.361765567116698,2.94998498427148e-05,0.000339248273191221,***,P=2.95e-05,FDR=3.39e-04,CD276,3.46948235426641,0.361765567116698,3.46948235426641,Higher in High,-0.0122330243792791,-0.0122330243792791,***
HNSC,CD47,CD47,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD47,275,272,5.97464402604025,6.08704251389949,0.112398487859242,0.0324713263351812,0.0829822784121297,ns,P=0.0325,FDR=0.083,CD47,1.08101464508874,0.112398487859242,1.08101464508874,Higher in High,-1.15300978208746,-1.15300978208746,""
HNSC,CTLA4,CTLA4,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CTLA4,275,272,2.37439963676144,2.57831804358654,0.203918406825096,0.045465952292633,0.104571690273056,ns,P=0.0455,FDR=0.105,CTLA4,0.980585872086994,0.203918406825096,0.980585872086994,Higher in High,0.511648996991398,0.511648996991398,""
HNSC,TIGIT,TIGIT,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,TIGIT,275,272,1.77302576520969,1.98893201401622,0.215906248806528,0.0807139859893901,0.168765607068725,ns,P=0.0807,FDR=0.169,TIGIT,0.772716054050086,0.215906248806528,0.772716054050086,Higher in High,0.59781432775861,0.59781432775861,""
HNSC,PDCD1,PDCD1,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1,275,272,1.76515280594604,2.04970043452097,0.284547628574927,0.102767582066438,0.168832456252006,ns,P=0.103,FDR=0.169,PDCD1,0.772544061168892,0.284547628574927,0.772544061168892,Higher in High,0.644190039073807,0.644190039073807,""
HNSC,CD274,CD274,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD274,275,272,3.07724299893246,3.08663150082915,0.00938850189668594,0.293622743502134,0.355438057923636,ns,P=0.294,FDR=0.355,CD274,0.449236072700318,0.00938850189668594,0.449236072700318,Higher in High,-0.897727165866595,-0.897727165866595,""
HNSC,PDCD1LG2,PDCD1lg2,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,PDCD1LG2,275,272,2.70626530654784,2.58690640755227,-0.119358898995568,0.436219651901093,0.456047817896597,ns,P=0.436,FDR=0.456,PDCD1LG2,-0.340989617949932,0.119358898995568,0.340989617949932,Lower in High,-1.01293171844381,-1.01293171844381,""
LGG,CD276,CD276,Checkpoint / biomarker,log2(TPM+1),TCGA TPM,CD276,261,271,4.5252921521959,5.17846368122778,0.653171529031885,2.38588329264018e-35,5.48753157307242e-34,****,P=2.39e-35,FDR=5.49e-34,CD276,33.2606229679851,0.653171529031885,33.2606229679851,Higher in High,0.87520248705963,0.87520248705963,****
