#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABRAXAS1	BARD1	9606.ENSP00000369857	9606.ENSP00000260947	0	0	0	0	0.042	0.994	0.900	0.993	0.999
ABRAXAS1	PALB2	9606.ENSP00000369857	9606.ENSP00000261584	0	0	0	0	0.050	0	0	0.699	0.701
ABRAXAS1	NBN	9606.ENSP00000369857	9606.ENSP00000265433	0	0	0	0	0	0	0.500	0.566	0.773
ABRAXAS1	ATM	9606.ENSP00000369857	9606.ENSP00000278616	0	0	0	0	0.058	0	0.500	0.582	0.785
ABRAXAS1	UBE2N	9606.ENSP00000369857	9606.ENSP00000316176	0	0	0	0	0.044	0	0.500	0.446	0.712
ABRAXAS1	RNF168	9606.ENSP00000369857	9606.ENSP00000320898	0	0	0	0	0	0	0.500	0.570	0.776
ABRAXAS1	MRE11	9606.ENSP00000369857	9606.ENSP00000325863	0	0	0	0	0.067	0	0.500	0.691	0.843
ABRAXAS1	RAD51C	9606.ENSP00000369857	9606.ENSP00000336701	0	0	0	0	0.050	0	0	0.712	0.714
ABRAXAS1	RNF8	9606.ENSP00000369857	9606.ENSP00000362578	0	0	0	0	0	0	0.500	0.705	0.846
ABRAXAS1	MDC1	9606.ENSP00000369857	9606.ENSP00000365588	0	0	0	0	0	0.443	0.500	0.748	0.923
ABRAXAS1	BRCA2	9606.ENSP00000369857	9606.ENSP00000369497	0	0	0	0	0.048	0	0	0.754	0.755
ABRAXAS1	RAD51D	9606.ENSP00000369857	9606.ENSP00000466399	0	0	0	0	0.066	0	0	0.712	0.719
ABRAXAS1	RAD51	9606.ENSP00000369857	9606.ENSP00000493712	0	0	0	0	0.049	0.191	0	0.671	0.724
ABRAXAS1	H2AX	9606.ENSP00000369857	9606.ENSP00000434024	0	0	0	0	0	0	0.500	0.574	0.777
ABRAXAS1	TP53BP1	9606.ENSP00000369857	9606.ENSP00000371475	0	0	0	0	0.044	0.330	0.500	0.419	0.789
ABRAXAS1	CHEK2	9606.ENSP00000369857	9606.ENSP00000372023	0	0	0	0	0.048	0	0.500	0.595	0.790
ABRAXAS1	RBBP8	9606.ENSP00000369857	9606.ENSP00000382628	0	0	0	0	0.049	0.292	0.500	0.729	0.896
ABRAXAS1	BRCA1	9606.ENSP00000369857	9606.ENSP00000418960	0	0	0	0	0.056	0.994	0.900	0.997	0.999
APEX1	ERCC1	9606.ENSP00000216714	9606.ENSP00000013807	0	0	0	0	0.099	0.189	0	0.715	0.774
APEX1	TDP2	9606.ENSP00000216714	9606.ENSP00000367440	0	0	0	0	0.056	0	0	0.708	0.712
APEX1	NEIL2	9606.ENSP00000216714	9606.ENSP00000284503	0	0	0	0	0	0	0	0.714	0.714
APEX1	HUS1	9606.ENSP00000216714	9606.ENSP00000258774	0	0	0	0	0.075	0	0	0.712	0.722
APEX1	EXO1	9606.ENSP00000216714	9606.ENSP00000355506	0.042	0	0	0	0.136	0.073	0	0.685	0.726
APEX1	RPA1	9606.ENSP00000216714	9606.ENSP00000254719	0	0	0	0	0.161	0.076	0.500	0.389	0.732
APEX1	XRCC3	9606.ENSP00000216714	9606.ENSP00000451974	0	0	0	0	0.143	0.059	0	0.696	0.734
APEX1	LIG4	9606.ENSP00000216714	9606.ENSP00000484288	0.087	0	0	0	0.125	0	0	0.701	0.741
APEX1	ERCC2	9606.ENSP00000216714	9606.ENSP00000375809	0.093	0	0	0	0.110	0	0	0.707	0.743
APEX1	MSH6	9606.ENSP00000216714	9606.ENSP00000234420	0	0	0	0	0.162	0	0	0.724	0.759
APEX1	POLD1	9606.ENSP00000216714	9606.ENSP00000472445	0	0	0	0	0.140	0.095	0.500	0.459	0.761
APEX1	POLD2	9606.ENSP00000216714	9606.ENSP00000480186	0	0	0	0	0.234	0	0.500	0.439	0.766
APEX1	NEIL3	9606.ENSP00000216714	9606.ENSP00000264596	0.057	0	0	0	0.055	0	0	0.759	0.767
APEX1	MBD4	9606.ENSP00000216714	9606.ENSP00000249910	0	0	0	0	0.060	0	0.500	0.591	0.791
APEX1	NEIL1	9606.ENSP00000216714	9606.ENSP00000347170	0	0	0	0	0	0	0	0.793	0.793
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0	0	0	0	0.240	0.292	0	0.656	0.799
APEX1	XPA	9606.ENSP00000216714	9606.ENSP00000364270	0	0	0	0	0	0.185	0	0.763	0.799
APEX1	ERCC4	9606.ENSP00000216714	9606.ENSP00000310520	0	0	0	0	0.140	0.494	0	0.645	0.832
APEX1	SMUG1	9606.ENSP00000216714	9606.ENSP00000424191	0	0	0	0	0.049	0	0.500	0.715	0.852
APEX1	RECQL4	9606.ENSP00000216714	9606.ENSP00000482313	0.077	0	0	0	0.110	0	0	0.841	0.858
APEX1	PCNA	9606.ENSP00000216714	9606.ENSP00000368458	0	0	0	0	0.334	0.455	0.500	0.341	0.864
APEX1	PARP2	9606.ENSP00000216714	9606.ENSP00000250416	0	0	0	0	0.139	0	0.500	0.715	0.866
APEX1	WRN	9606.ENSP00000216714	9606.ENSP00000298139	0.077	0	0	0	0.119	0	0	0.861	0.877
APEX1	APTX	9606.ENSP00000216714	9606.ENSP00000369145	0	0	0	0	0.049	0.079	0	0.875	0.881
APEX1	MPG	9606.ENSP00000216714	9606.ENSP00000219431	0.059	0	0	0	0.054	0	0.500	0.786	0.892
APEX1	TDP1	9606.ENSP00000216714	9606.ENSP00000337353	0	0	0	0	0.120	0.289	0	0.860	0.904
APEX1	TDG	9606.ENSP00000216714	9606.ENSP00000376611	0.120	0	0	0	0.116	0	0.500	0.785	0.905
APEX1	PNKP	9606.ENSP00000216714	9606.ENSP00000323511	0.061	0	0	0	0.055	0.249	0	0.916	0.936
APEX1	APEX2	9606.ENSP00000216714	9606.ENSP00000364126	0	0	0.188	0.649	0.056	0	0.900	0.333	0.942
APEX1	TP53	9606.ENSP00000216714	9606.ENSP00000269305	0	0	0	0	0.104	0.510	0	0.884	0.944
APEX1	UNG	9606.ENSP00000216714	9606.ENSP00000242576	0.042	0	0	0	0.152	0.113	0.500	0.913	0.963
APEX1	PARP1	9606.ENSP00000216714	9606.ENSP00000355759	0	0	0	0	0.266	0.115	0.500	0.912	0.967
APEX1	LIG3	9606.ENSP00000216714	9606.ENSP00000367787	0.087	0	0	0	0.126	0.095	0	0.968	0.973
APEX1	MUTYH	9606.ENSP00000216714	9606.ENSP00000500891	0	0	0	0	0.061	0.647	0.500	0.870	0.975
APEX1	OGG1	9606.ENSP00000216714	9606.ENSP00000306561	0.115	0	0	0	0.056	0.134	0.500	0.969	0.986
APEX1	NTHL1	9606.ENSP00000216714	9606.ENSP00000219066	0.100	0.897	0	0	0.139	0.314	0.500	0.846	0.994
APEX1	LIG1	9606.ENSP00000216714	9606.ENSP00000263274	0.087	0	0	0	0.233	0.143	0.800	0.977	0.996
APEX1	POLB	9606.ENSP00000216714	9606.ENSP00000265421	0	0	0	0	0.049	0.510	0.900	0.970	0.998
APEX1	FEN1	9606.ENSP00000216714	9606.ENSP00000305480	0.042	0	0	0	0.406	0.310	0.800	0.989	0.998
APEX1	XRCC1	9606.ENSP00000216714	9606.ENSP00000262887	0	0	0	0	0.065	0.480	0	0.999	0.999
APEX2	NTHL1	9606.ENSP00000364126	9606.ENSP00000219066	0.100	0	0	0	0.127	0.314	0	0.587	0.747
APEX2	UNG	9606.ENSP00000364126	9606.ENSP00000242576	0.042	0	0	0	0.135	0.113	0	0.723	0.769
APEX2	FEN1	9606.ENSP00000364126	9606.ENSP00000305480	0.042	0	0	0	0.329	0.066	0	0.644	0.758
APEX2	OGG1	9606.ENSP00000364126	9606.ENSP00000306561	0.115	0	0	0	0.152	0.134	0	0.665	0.753
APEX2	ERCC4	9606.ENSP00000364126	9606.ENSP00000310520	0	0	0	0	0.132	0.494	0	0.485	0.754
APEX2	TOP3A	9606.ENSP00000364126	9606.ENSP00000321636	0	0	0	0	0.154	0	0	0.829	0.849
APEX2	TDP1	9606.ENSP00000364126	9606.ENSP00000337353	0	0	0	0	0.129	0.289	0	0.674	0.780
APEX2	PCNA	9606.ENSP00000364126	9606.ENSP00000368458	0	0	0	0	0.215	0.465	0	0.364	0.710
APLF	PARP2	9606.ENSP00000307004	9606.ENSP00000250416	0	0	0	0	0	0.713	0	0.622	0.887
APLF	XRCC1	9606.ENSP00000307004	9606.ENSP00000262887	0	0	0	0	0	0.854	0	0.995	0.999
APLF	POLB	9606.ENSP00000307004	9606.ENSP00000265421	0	0	0	0	0	0.832	0	0.363	0.888
APLF	XPC	9606.ENSP00000307004	9606.ENSP00000285021	0	0	0	0	0	0.779	0	0.239	0.824
APLF	WRN	9606.ENSP00000307004	9606.ENSP00000298139	0	0	0	0	0.095	0	0	0.721	0.737
APLF	CETN2	9606.ENSP00000307004	9606.ENSP00000359300	0	0	0	0	0	0.675	0	0.174	0.720
APLF	HLTF	9606.ENSP00000307004	9606.ENSP00000308944	0	0	0	0	0	0.737	0	0.093	0.751
APLF	PRKDC	9606.ENSP00000307004	9606.ENSP00000313420	0	0	0	0	0	0.292	0	0.699	0.778
APLF	PNKP	9606.ENSP00000307004	9606.ENSP00000323511	0	0	0	0	0	0	0	0.868	0.868
APLF	NHEJ1	9606.ENSP00000307004	9606.ENSP00000349313	0	0	0	0	0	0	0	0.879	0.879
APLF	PARP3	9606.ENSP00000307004	9606.ENSP00000381740	0	0	0	0	0	0	0	0.880	0.880
APLF	TDP1	9606.ENSP00000307004	9606.ENSP00000337353	0	0	0	0	0	0.780	0	0.589	0.905
APLF	PARP1	9606.ENSP00000307004	9606.ENSP00000355759	0	0	0	0	0	0.847	0	0.496	0.919
APLF	LIG4	9606.ENSP00000307004	9606.ENSP00000484288	0	0	0	0	0.049	0.834	0	0.626	0.935
APLF	LIG3	9606.ENSP00000307004	9606.ENSP00000367787	0	0	0	0	0	0.782	0	0.864	0.969
APLF	APTX	9606.ENSP00000307004	9606.ENSP00000369145	0	0	0	0	0	0	0	0.992	0.992
APLF	XRCC6	9606.ENSP00000307004	9606.ENSP00000352257	0	0	0	0	0	0.967	0	0.793	0.992
APLF	XRCC4	9606.ENSP00000307004	9606.ENSP00000421491	0	0	0	0	0.047	0.741	0	0.997	0.999
APLF	XRCC5	9606.ENSP00000307004	9606.ENSP00000375978	0	0	0	0	0	0.982	0	0.956	0.999
